Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1996 00:00:00,2637.999756,,33767,1233.000488,,,6222,2526,1823,,,30896,17147,24674,,214894,,2526
12/31/1997 00:00:00,2657.000244,,31265,572.000366,,,5603,1715,2511,1.885301,10.25274,29784,16520,24181,5.438251,213057,,1715
12/31/1998 00:00:00,,,29673,1305,12.169525,3004.999695,6274,3409,2808,4.164141,23.21651,32894,17883,26620,5.575342,162793,,3409
12/31/1999 00:00:00,865,,24356,1360,1.839112,1917,4588,3367,3586,4.285354,26.588465,30578,15882,25990,6.204497,164154,5899,3367
12/31/2000 00:00:00,703,,22967,1443,12.087447,2221,5492,3587,3776,4.689633,30.565558,30962,15452,25470,6.517687,160818,5745,3587
12/31/2001 00:00:00,654,,18334,-729,-20.403023,1304,2190,4701,5003,-2.304519,-20.403023,32305,20166,30115,8.853484,156865,4795,4701
12/31/2002 00:00:00,547,,17466,-783,-52.409639,957,1271,2576,5376,-2.532423,-52.409639,29533,18414,28262,20.695448,139051,4399,2576
12/31/2003 00:00:00,635,,20427,-779,,953,3202,1644,6290,-2.599526,-39.643766,30401,17020,27199,15.250382,116464,4499,1644
12/31/2004 00:00:00,690,,20610,-35,-1.2193,1767,3118,626,4717,-0.127092,-1.2193,24677,13459,21559,9.593799,102500,4929,626
12/31/2005 00:00:00,679,,22442,735,23.307436,2279,3824,169,3933,3.13079,23.307436,22276,11606,18452,7.444585,,5612,169
12/31/2006 00:00:00,758,,23281,1390,21.233279,3191,6489,122,3160,5.862753,29.198614,25142,12485,18653,4.980359,108000,6770,122
12/31/2007 00:00:00,871,3.274868654585,29183,3757,31.381414,4682,11549,536,2138,13.383681,44.213004,31001,14479,19452,3.303501,112000,8991,536
12/31/2008 00:00:00,1027,14.923147421902,34912,3118,19.073036,5259,11770,354,2009,9.71612,28.198056,33181,16004,21411,2.902193,120000,10940,354
12/31/2009 00:00:00,1037,5.53023107215,31795,2901,14.558342,4781,14473,161,2172,8.543787,23.256373,34728,14579,20255,2.722022,116100,9325,161
12/31/2010 00:00:00,1082,7.706780970327,31589,2561,8.633427,4520,15458,1043,1139,7.211748,17.862249,36295,16738,20837,2.476827,116500,9529,1043
12/31/2011 00:00:00,1371,10.6090426721,37990,3168,9.637041,5662,16336,765,3231,8.343099,20.664014,39648,16561,23312,2.476779,133600,11434,765
12/31/2012 00:00:00,1464,10.837583035166,39336,2704,6.337185,5240,17446,2537,7534,6.095719,16.546829,49070,18974,31624,2.7145,146100,11378,2537
12/31/2013 00:00:00,1470,11.320010334418,41848,2787,6.020562,5705,19208,453,7570,5.738464,15.664344,48064,16675,28856,2.72971,147700,11992,453
12/31/2014 00:00:00,1499,8.288506405381,39830,2594,4.569802,5443,16815,353,7312,5.583538,14.845337,44852,15580,28037,2.658769,140400,11215,353
12/31/2015 00:00:00,1406,9.651904231477,35481,1933,1.586491,4220,14988,1454,5985,4.484503,12.572358,41356,15844,26368,2.803512,135800,10134,1454
12/31/2016 00:00:00,1300,9.427832809114,33828,1899,1.682647,4078,13897,1003,5800,4.697298,13.624623,39499,15407,25602,2.900524,132000,9747,1003
12/31/2017 00:00:00,1365,9.455411102932,34312,2213,4.220499,4535,15349,738,6709,5.34793,15.687247,43262,16273,27913,2.933331,134800,10266,738
12/31/2017 00:00:00,1365,9.45541110293163,34312,2213,,4535,15349,738,6709,5.3479295803579,15.6872474657971,43262,16273,27913,2.94769982451915,134800,10266,738
