Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/2005 00:00:00,,,14.530585,-6.551578,,-16.924069,25.292558,2.262672,0,,,39.047725,12.037309,13.755167,,,,2.262672
12/31/2006 00:00:00,,,,-1.249109,,-5.777131,155.967269,0,57.486909,-0.930483,-1.397744,233.150251,19.696072,77.182981,1.50217,6,,0
12/31/2007 00:00:00,,,,-18.824452,,-39.697551,158.837594,0,68.746072,-7.831506,-11.966493,248.63268,11.048279,89.795086,1.527994,18,,0
12/31/2008 00:00:00,,,,8.2322,5.222511,-89.209093,128.083603,0,56.237449,3.319948,5.222511,202.445881,8.617396,74.362278,1.57307,33,,0
12/31/2009 00:00:00,0,,42.365281,-83.2378,,-220.930198,665.041538,188.303598,67.462305,-11.415869,-21.960205,1332.145978,350.025562,667.10444,1.923656,176,19.941097,188.303598
12/31/2010 00:00:00,0,,59.983447,-114.355254,,-270.356278,541.78419,262.702944,0,-8.946678,-19.694276,1323.4614,428.472629,781.67721,2.201295,193,34.314709,262.702944
12/31/2011 00:00:00,,,64.600694,-66.116366,,-182.165979,615.239968,63.514509,98.231367,-4.797507,-10.831562,1291.205027,180.156966,675.965226,2.257748,172,32.121602,63.514509
12/31/2012 00:00:00,0,,55.904115,-164.612186,,-209.859898,672.118983,102.013924,339.787544,-11.905784,-25.827233,1504.722782,306.348492,832.603799,2.169301,214,19.626361,102.013924
12/31/2013 00:00:00,0,,158.875893,-93.402296,,-153.159567,525.959223,78.85751,744.035004,-5.803519,-15.844884,1738.865758,288.63185,1212.906536,2.73022,230,116.376904,78.85751
12/31/2014 00:00:00,0,0.175965452271,411.996,-279.139,,563.083,651.662,0,2290.44,-7.837419,-47.407264,5384.372,652.879,4732.71,6.048836,507,345.242,0
12/31/2015 00:00:00,0,0.975,1158.684,-312.652,,952.791,339.026,0,2622.375,-5.914057,-63.118156,5188.809,394.839,4849.783,10.672564,534,1017.684,0
12/31/2016 00:00:00,0,1.457,1260.804,34.971,-6.455105,896.49,2449.207,0,2540.546,0.484229,2.50847,9255.196,884.739,6805.988,5.180344,757,1033.986,0
12/31/2017 00:00:00,0,1.917,2575.654,274.787,0.911655,1733.898,2988.596,1496.374,1892.595,2.583343,10.106545,12018.56,2888.476,9029.964,3.912197,1341,2052.275,1496.374
12/31/2017 00:00:00,0,1.917,2579.684,274.787,-9.67571612691767,1733.896,2988.596,1496.374,1892.595,2.58334259356928,10.1065448674768,12018.56,2888.476,9029.964,3.84920168619727,1341,2056.3060090332,1496.374
