Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
4/2/1988 00:00:00,,,2272,108.900002,,188.899994,1554.199976,46.799999,11.5,,,2018.699951,440.100006,464.500006,,53877,615.699951,46.799999
4/1/1989 00:00:00,,,2496.399902,196.199997,8.989659,211.800003,1733.300024,41.200001,9.3,9.264331,12.138614,2216.899902,460.600006,483.600006,1.31052,53024,679.499878,41.200001
3/31/1990 00:00:00,,,2774.699951,267.200012,10.864303,230.300003,1957.199955,41.700001,9.2,11.36441,14.738237,2485.5,487.899994,528.299994,1.297071,52345,743.299927,41.700001
9/14/1991 00:00:00,,,4877.399902,193.600006,8.209345,449.299988,1675.600052,228.199997,160.800003,7.371728,10.874256,2767,901.599976,1091.399979,1.475587,53975,1297.599854,228.199997
9/12/1992 00:00:00,7,,3954,166,6.160474,391,1743,144,159,6.021037,9.929994,2747,826,1004,1.649614,51724,1015,144
9/18/1993 00:00:00,8,,4386,228,8.979637,411,1922,136,164,8.009837,12.717434,2946,841,1024,1.588006,49968,1081,136
9/17/1994 00:00:00,7,,4513,308,1.86586,448,2143,90,158,10.013004,15.532022,3206,897,1063,1.551185,50241,1144,90
9/16/1995 00:00:00,9,,4894,250,7.872928,489,2323,69,159,7.591862,11.510129,3380,849,1057,1.516114,43665,1166,69
9/14/1996 00:00:00,7,,4443,278,7.593554,511,2526,33,163,7.912338,11.812195,3647,908,1121,1.492883,45173,1030,33
9/13/1997 00:00:00,7,,4437,681,12.830479,498,2988,51,157,17.841237,25.382035,3987,773,999,1.422661,40371,1057,51
9/12/1998 00:00:00,9,,4195,265,5.786802,468,3063,44,157,6.624172,8.967851,4014,726,951,1.353807,32712,1012,44
9/18/1999 00:00:00,7,,4299,184,3.493912,464,2753,53,157,4.768692,6.493736,3703,733,950,1.361743,35267,1016,53
9/16/2000 00:00:00,8,,4406,138,1.803792,539,2841,57,160,3.645971,5.080066,3867,792,1026,1.393337,34372,1060,57
9/15/2001 00:00:00,7,,4418,243,5.404432,493,2865,82,157,6.244379,8.755179,3916,754,1051,1.40209,33989,1063,82
9/14/2002 00:00:00,6,,4346,322,7.390923,527,3066,64,387,7.756233,11.139941,4387,800,1321,1.436257,34957,926,64
9/13/2003 00:00:00,7,,4909,326,6.703733,562,3328,92,382,7.167198,10.357427,4710,885,1382,1.445115,35416,,92
9/18/2004 00:00:00,8,,5165,342,6.28968,606,3496,68,357,7.151072,10.098922,4855,897,1359,1.412225,35584,,68
9/17/2005 00:00:00,11,,5622,379,7.762744,709,3877,447,539,6.936945,10.359437,6072,1371,2195,1.493372,42375,1568,447
9/16/2006 00:00:00,12,,5996,301,3.920061,728,4182,531,176,4.791468,7.712016,6492,1673,2310,1.609531,46703,1561,531
9/16/2007 00:00:00,16,1.696,6800,369,5.242624,832,4464,125,598,5.478029,8.997805,6980,1443,2516,1.642526,84636,1742,125
9/16/2008 00:00:00,21,1.727,8235,357,4.478291,878,4844,278,870,4.718789,8.115481,8151,1842,3307,1.719823,95816,1908,278
9/16/2009 00:00:00,23,2.011,9255,359,4.171146,987,5076,584,806,4.178305,7.71877,9033,2460,3957,1.847345,96251,2170,584
9/18/2010 00:00:00,22,2.147,10167,546,7.130764,1214,5744,367,794,5.960373,10.875411,9288,2127,3544,1.824619,96915,2613,367
9/17/2011 00:00:00,24,1.337,11065,541,6.267548,1221,6175,729,897,5.551565,9.799837,10202,2542,4027,1.765239,102253,2718,729
9/15/2012 00:00:00,23,1.796,12252,555,5.698498,1364,6221,538,914,5.429997,9.583837,10240,2588,4019,1.76498,106243,2960,538
9/14/2013 00:00:00,25,5.832,13315,585,5.53841,1611,6519,394,772,5.675754,9.758946,10374,2526,3855,1.719409,112652,3220,394
9/13/2014 00:00:00,38,7.47,12943,762,7.830368,1573,6753,358,607,7.310755,12.102922,10472,2684,3719,1.655496,118209,3150,358
9/12/2015 00:00:00,37,3.139,12800,528,3.934786,1379,6511,319,577,5.103668,8.277159,10219,2742,3708,1.621806,124036,3019,319
9/17/2016 00:00:00,36,3.133,13399,818,7.895327,1535,7122,245,640,7.575828,12.231776,11376,2960,4254,1.614579,129916,3141,245
9/16/2017 00:00:00,37,4.855,15357,1198,11.355811,1852,8412,265,612,9.906558,15.565517,12810,3153,4398,1.571234,132590,3606,265
9/16/2017 00:00:00,,4.855,15357,1198,9.08450090430253,1852,8412,265,612,9.9065575126106,15.5655167933476,12810,3153,4398,1.53909057118077,132590,,265
