Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1988 00:00:00,0,,12812,714,,1448,3394,1477,1661,,,11377,4456,7983,,19207,4702,1477
12/31/1989 00:00:00,402,,15035,853,15.019711,2063,4855,2288,1413,6.925107,21.255918,13258,5640,8403,3.069399,20057,5767,2288
12/31/1990 00:00:00,455,,15915,698,7.5964,1886,6303,1745,2183,5.126887,12.755848,13971,4978,7668,2.48803,21507,,1745
12/31/1991 00:00:00,465,,15030,495,3.390101,1518,6415,2033,1922,3.530419,7.90293,14071,5246,7656,2.238525,19544,,2033
12/31/1992 00:00:00,479,,16007,604,4.70853,1661,7385,2129,252,4.017159,8.868008,16000,6001,8615,2.207532,19195,,2129
12/31/1993 00:00:00,581,,18906,867,6.841366,1829,8513,1733,264,5.126841,11.05233,17822,6514,9309,2.155778,18247,,1733
12/31/1994 00:00:00,620,,20914,1194,8.783217,2777,9303,1385,90,6.62965,13.585936,18198,6224,8895,2.049269,18104,,1385
12/31/1995 00:00:00,718,,24454,1823,12.946554,3377,10599,2586,556,9.029893,18.5481,22179,7853,11580,2.054077,19751,,2586
12/31/1996 00:00:00,779,,25121,1938,11.196551,3702,12005,1889,571,8.532371,17.361702,23248,7311,11243,2.034804,21085,,1889
12/31/1997 00:00:00,808,,30032,2208,11.287235,5166,13635,7610,2201,7.608808,17.451786,34790,14276,21155,2.293629,22296,10408,7610
12/31/1998 00:00:00,945,,33740,2283,10.147479,6107,15465,4922,5308,6.345544,15.898329,37166,11342,21701,2.505432,23857,11695,4922
12/31/1999 00:00:00,943,,36234,2247,6.922937,7003,21077,8192,10969,4.948467,12.430848,53650,15946,32573,2.51206,24249,12084,8192
12/31/2000 00:00:00,969,,46527,2924,8.019257,10400,24201,9987,11999,5.070315,13.034078,61688,19359,37487,2.570664,26392,15373,9987
12/31/2001 00:00:00,1107,,51139,3067,7.42653,10946,27789,8091,11594,4.866516,11.899127,64357,18032,36568,2.445102,25529,16005,8091
12/31/2002 00:00:00,900,,47562,-3889,,9333,20354,2450,10822,-6.881663,-16.284913,48668,10811,28314,2.366421,25787,14759,2450
12/31/2003 00:00:00,878,,44619,3274,8.260254,8677,21068,3042,6957,6.926902,15.889733,45862,11679,24794,2.293916,25958,13516,3042
12/31/2004 00:00:00,849,,43192,4657,18.343117,9761,22601,712,6950,9.905349,21.386421,48168,13371,25567,2.159078,27968,14682,712
12/31/2005 00:00:00,978,,42205,6560,12.490022,10249,25808,1867,7652,12.722671,27.190583,54955,15699,29147,2.137176,21431,15524,1867
12/31/2006 00:00:00,1111,,50512,15349,28.158271,11311,32708,5977,1163,27.854097,52.626346,55255,18497,22547,1.889357,24378,18996,5977
12/31/2007 00:00:00,1286,,63355,7439,15.91312,13863,14640,2743,19926,13.294137,31.561307,56659,18974,42019,2.374077,,23459,2743
12/31/2008 00:00:00,1473,20.44,74177,10157,33.770915,15989,23768,1485,26997,15.383217,53.246311,75394,21892,51626,3.461325,34043,26391,1485
12/31/2009 00:00:00,1410,20.648,63762,6244,10.567693,11718,25671,2959,21008,8.716531,25.415174,67874,18180,42203,2.915744,29802,21131,2959
12/31/2010 00:00:00,1517,20.719,69875,9921,18.550951,16419,29321,499,19615,14.224064,36.307411,71622,18899,42301,2.552534,32790,26407,499
12/31/2011 00:00:00,1805,19.197,81203,12963,23.844225,20072,28839,3422,17013,17.669068,44.764059,75109,25324,46270,2.53347,37579,31152,3422
12/31/2012 00:00:00,2034,25.754,90533,13920,23.056258,22112,34185,902,20150,17.857257,44.255806,80794,21505,46609,2.478309,39811,34762,902
12/31/2013 00:00:00,2117,19.612,83888,12072,14.630378,20000,39794,5595,19997,14.313069,32.725203,87891,24585,48097,2.286386,40241,32122,5595
12/31/2014 00:00:00,2933,30.194,93721,12169,10.775642,20504,50753,2284,22182,12.599134,26.975682,105281,26730,54528,2.141074,44056,35052,2284
12/31/2015 00:00:00,3151,31.078,98973,11717,8.413002,24361,46750,1101,21888,11.250606,24.11749,103010,29055,56260,2.143661,43114,39625,1101
12/31/2016 00:00:00,3096,51.852,101356,11931,9.578119,24495,53177,1574,23148,10.900768,23.934762,115892,33043,62715,2.195695,44695,40119,1574
12/31/2017 00:00:00,3723,,116421,16671,-2.566884,29972,60723,1513,23635,13.798783,29.313195,125738,36171,65015,2.124332,47599,48316,1513
12/31/2017 00:00:00,3723,,116421,16671,,29310,60723,1513,23635,13.7987832636676,29.3131945421297,125738,36171,65015,2.14385414318659,47599,48316,1513
