Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1990 00:00:00,,,,,,,,,,,,,,,,21619,,
12/31/1991 00:00:00,,,,,,,,,,,,,,,,21782,,
12/31/1992 00:00:00,,,,,,,,,,,,,,,,22505,,
12/31/1993 00:00:00,,,,,,,,,,,,,,,,22894,,
12/31/1994 00:00:00,,,,,,,,,,,,,,,,24764,,
12/31/1995 00:00:00,,,,,,,,,,,,,,,,25317,,
12/31/1996 00:00:00,,,,,,,,,,,,,,,,25622,,
12/31/1997 00:00:00,,,20905,1512,,,8529,795,795,,,91481,,82952,,51756,,795
12/31/1998 00:00:00,,,22508,498,0.240211,,9551,523,1115,0.5047,5.777084,105864,,96313,11.851129,51965,,523
12/31/1999 00:00:00,,,37384,1020,1.742971,,16257,2198,1152,0.705765,8.251748,183184,,166927,11.890086,68250,,2198
12/31/2000 00:00:00,,,36430,-1713,,,14217,2692,1018,-0.909955,-11.969833,193318,,179101,13.025047,72749,,2692
12/31/2001 00:00:00,,,34202,259,,,12403,3914,1916,0.135729,1.937162,188324,,175921,15.274845,68107,,3914
12/31/2002 00:00:00,,,32098,-534,,,10412,2412,1275,-0.286138,-5.242377,184923,,174511,17.755911,64562,,2412
12/31/2003 00:00:00,,,36431,949,5.050473,,7365,1485,3451,0.482212,11.78032,208680,,201315,24.875371,60740,,1485
12/31/2004 00:00:00,,,40176,1275,10.643919,,8993,6049,4041,0.569218,18.99298,239303,,230310,33.817695,55872,,6049
12/31/2005 00:00:00,,,50432,1767,14.169911,,11092,7368,3645,0.702934,21.803791,263447,,252355,32.089743,54791,,7368
12/31/2006 00:00:00,,,44687,2215,14.716792,,14064,7819,4318,0.793483,21.66416,294851,,280787,27.984862,57138,,7819
12/31/2007 00:00:00,,3.792,40761,1320,3.092273,,15931,8358,4299,0.428448,10.363983,321326,,305395,25.544192,57011,,8358
12/31/2008 00:00:00,,2.22,20484,-915,,,14573,,,-0.270755,-8.058031,354562,,339989,28.016083,54758,,
12/31/2009 00:00:00,,2.491,59587,1085,3.352682,,15086,9511,5489,0.306085,9.5101,354391,,339305,32.920966,46327,,9511
12/31/2010 00:00:00,,2.474,50360,1463,0.280931,,17725,8883,6066,0.403866,12.12959,370107,,352382,31.29581,45341,,8883
12/31/2011 00:00:00,,2.685,30842,225,-0.571617,,15363,3195,5255,0.065936,1.297323,312376,,297013,26.830326,37038,,3195
12/31/2012 00:00:00,,1.128,43401,-3102,,,11360,3040,5139,-0.989722,-30.623111,314467,,303107,30.068739,33122,,3040
12/31/2013 00:00:00,,3.266,34526,2008,6.904658,,11017,2694,5125,0.673719,23.490846,281627,,270610,36.868753,27718,,2694
12/31/2014 00:00:00,,2.6,43350,1569,10.110253,,12276,2068,5310,0.553102,16.28295,285719,,273443,31.550773,26368,,2068
12/31/2015 00:00:00,,5.67,23548,936,0.147173,,18270,1858,6912,0.27793,6.676995,387831,,369561,26.086367,29639,,1858
12/31/2016 00:00:00,,4.523,55076,703,-2.011961,,19551,1718,8577,0.169756,3.79083,440419,,420868,25.402546,29530,,1718
12/31/2017 00:00:00,,4.334,49612,1497,1.865451,,19135,2314,7972,0.339031,8.379723,442685,,423550,26.148999,30021,,2314
12/31/2017 00:00:00,,4.334,49612,1497,0.517266842427726,,19135,2314,7972,0.339031416458311,8.37972284732915,442685,,423550,26.22394533571,30021,,2314
