Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1987 00:00:00,73,,4075,-110,,333,1019,81,326,,,4329,2332,3310,,86800,,81
12/31/1988 00:00:00,76,,5639,156,6.575168,505,2114,138,437,2.88275,9.958506,6494,2945,4380,3.454516,133600,,138
12/31/1989 00:00:00,,,9085,233,6.912911,499,2500,356,994,2.973835,9.578674,9176,4791,6676,3.540043,127500,,356
12/31/1990 00:00:00,,,10540,260,7.281858,520,2856,223,925,2.815834,10.002092,9291,4819,6435,3.864198,127900,,223
12/31/1991 00:00:00,,,10562,-132,,521,2964,314,1036,-1.356699,-6.00471,10168,4966,7204,3.818485,123200,,314
12/31/1992 00:00:00,,,9411,-888,,518,2018,342,1386,-8.437055,-41.870106,10882,5509,8864,4.847996,108500,,342
12/31/1993 00:00:00,,,5845,-232,,510,1549,908,1438,-2.136673,-16.460638,10834,5916,9285,7.064411,96800,,908
12/31/1994 00:00:00,,,6346,138,,457,856,156,1142,1.47807,10.934579,7839,3990,6983,8.725701,56400,,156
12/31/1995 00:00:00,408,,5741,138,7.80964,520,939,192,1093,1.782485,14.276998,7645,4074,6706,9.447224,45200,,192
12/31/1996 00:00:00,465,,6464,309,17.779566,631,1706,440,691,4.02082,23.169751,7725,4034,6019,6.182623,44200,,440
12/31/1997 00:00:00,344,,7267,164,4.13179,683,1452,170,1097,2.110003,10.186999,7820,3756,6368,5.536955,43000,,170
12/31/1998 00:00:00,621,,7042,692,37.994543,804,2026,264,898,8.203912,45.770805,9050,4538,7024,5.753752,46500,,264
12/31/1999 00:00:00,871,,7043,324,2.284809,980,7445,2025,1267,2.44676,6.854428,17434,6896,9989,2.995589,50500,,2025
12/31/2000 00:00:00,1503,,9646,-25,,1116,7077,2397,1063,-0.143641,-0.66657,17375,7140,10298,2.522026,84900,,2397
12/31/2001 00:00:00,1747,,9041,-134,,1195,6658,1256,2119,-0.774992,-2.369487,17206,6537,10548,2.643201,72700,,1256
12/31/2002 00:00:00,1603,,8076,-686,,787,5685,1070,1913,-4.183054,-12.012573,15593,6559,9908,2.786424,68100,,1070
12/31/2003 00:00:00,1713,,8387,6,,892,5606,779,1749,0.038766,-0.279746,15362,6625,9756,2.886516,68400,,779
12/31/2004 00:00:00,1110,,8817,2,-0.148878,1419,2665,951,2113,0.012649,-0.47619,16262,7111,13153,3.962907,69400,,951
12/31/2005 00:00:00,1449,,11019,553,5.056933,1211,2804,905,3534,3.030386,20.319677,20235,8921,17431,6.70531,74000,,905
12/31/2006 00:00:00,1248,,12333,1636,20.341765,1363,4134,334,2776,8.524829,47.385952,18147,7942,14013,5.558581,79000,,334
12/31/2007 00:00:00,1460,2.639,14309,901,8.731639,1800,6002,299,2197,4.691853,17.871665,20260,9524,14258,3.809085,83000,,299
12/31/2008 00:00:00,1044,5.311,16671,1745,23.348485,2512,7289,173,2608,7.597692,26.439394,25675,10790,18386,3.479924,90000,,173
12/31/2009 00:00:00,1211,2.953,20374,-67,,2379,4663,453,2840,-0.261903,-1.133192,25489,12139,20826,4.326765,94000,,453
12/31/2010 00:00:00,1298,4.136,20980,1052,7.367694,2369,5403,920,2133,4.248874,21.203265,24030,11658,18627,4.990326,95000,,920
12/31/2011 00:00:00,1149,4.035,17770,1240,11.860112,2200,4299,518,2682,5.26193,25.908901,23101,10275,18802,4.92384,89000,,518
12/31/2012 00:00:00,1138,5.196,16691,948,6.239698,2183,3774,21,2967,4.178512,23.819095,22274,8917,18500,5.700377,81000,,21
12/31/2013 00:00:00,1051,4.787,16864,168,-13.43133,2092,3418,402,2524,0.800858,4.731728,19681,8445,16263,5.908323,78000,,402
12/31/2014 00:00:00,1343,5.722,15430,740,3.584126,1874,1877,482,2868,3.749778,28.336205,19788,8045,17911,7.556768,76000,,482
12/31/2015 00:00:00,1198,5.479,16787,918,10.61788,1852,3002,237,3775,4.604851,38.004554,20083,7153,17081,8.253157,75000,,237
12/31/2016 00:00:00,1394,6.46,17790,913,7.362929,1997,3464,0,4425,4.240693,28.411389,22976,7299,19512,6.699704,76000,,0
12/31/2017 00:00:00,1556,8.197,18322,854,3.900299,2092,4784,14,4069,3.759713,20.882749,22453,7106,17669,5.554346,83200,,14
12/31/2017 00:00:00,,8.197,18322,854,-8.06655616655036,2092,4784,14,4069,3.75971295868278,20.8827485022619,22453,7106,17669,5.4819512195122,83200,,14
