Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1988 00:00:00,914.650059,,21703.829065,720.819319,,,6458.894791,383.162148,913.218417,,,16734.378555,6478.579427,10275.484053,,132306,7946.498418,383.162148
12/31/1989 00:00:00,999.013219,,23716.018263,1030.253141,9.226231,3780.287703,7136.254222,461.389806,1203.683322,5.93903,15.299169,17959.946193,6615.861297,10823.691246,2.576038,134367,8498.336144,461.389806
12/31/1990 00:00:00,1057.658435,,23135.036899,566.153525,2.405899,3084.26604,7335.862522,606.494405,1148.259332,3.080883,7.890377,18792.736811,7152.82013,11456.875311,2.561077,134056,7646.01158,606.494405
12/31/1991 00:00:00,1054.743972,,22905.364986,531.385677,2.526745,2848.918362,7482.552265,907.134031,1125.097785,2.800306,7.222703,19159.231231,7223.531698,11676.679516,2.579255,128105,6626.34278,907.134031
12/31/1992 00:00:00,1047.33024,,21706.693098,314.239978,0.279984,2397.754394,7455.964888,1274.395014,1287.688603,1.607945,4.231981,19926.680345,7517.626887,12470.715807,2.631919,123500,7002.654603,1274.395014
12/31/1993 00:00:00,989.043027,,20742.292754,438.535053,2.571384,2251.882826,7640.796903,1631.021101,1136.704085,2.162327,5.858387,20634.717741,8303.226863,12993.920814,2.709297,112020,6606.707974,1631.021101
12/31/1994 00:00:00,979.635244,,22330.161619,656.498775,4.385672,3349.064055,8139.664687,813.823262,1059.345599,3.201324,8.412859,20379.481234,6061.518539,12239.816094,2.627931,146700,7419.765921,813.823262
12/31/1995 00:00:00,1067.526269,,23636.512376,1263.146592,9.740077,3960.978204,9166.185107,499.941195,793.013708,6.033402,14.831291,21492.308013,5640.418746,12326.122314,2.458197,106565,8417.142594,499.941195
12/31/1996 00:00:00,1168.711007,,24938.772797,1426.606582,9.225908,4036.75176,10476.115047,356.57497,685.540179,6.507482,14.850218,22352.812249,5757.453158,11876.696875,2.282022,103406,9047.411697,356.57497
12/31/1997 00:00:00,1303.231826,,28519.913061,1654.387115,9.224388,4741.46526,12030.544427,373.191957,762.694074,7.056689,15.037597,24535.671077,6518.511123,12505.125277,2.130971,104979,10358.569795,373.191957
12/31/1998 00:00:00,1309.265095,,27642.943629,1699.380801,8.152168,4955.696558,13250.078078,680.120435,676.745921,6.63337,13.762904,26701.655276,6821.094058,13451.57829,2.074798,105945,10368.436131,680.120435
12/31/1999 00:00:00,1333,,29472.699219,1236.800049,4.002887,4632.300049,14145.19989,577.200012,717.200012,4.361833,9.252271,30009,9763.299805,15863.799622,2.121189,104628,11081.398438,577.200012
12/31/2000 00:00:00,1525.800049,,35945.699219,1239.800049,0.180982,5993.699951,14294.800476,6139.700195,1811.900024,3.616359,8.974498,38557.199219,15430.099609,24262.399536,2.481639,103273,12690.599609,6139.700195
12/31/2001 00:00:00,1247.099976,,32499.599609,5858.200195,,5398.5,17521.80011,933.700012,1925.599976,15.53236,37.824611,36875,9814,19353.200073,2.435213,92545,10311.798828,933.700012
12/31/2002 00:00:00,1135.300049,,32215.5,1504.400024,4.19129,5517.199951,16942.19989,1845.400024,1796.699951,4.181165,8.926071,35085.800781,8933.299805,18143.599854,2.134829,89389,10400,1845.400024
12/31/2003 00:00:00,1104.699951,,33361.199219,910.200012,0.819073,5700.899902,15878.400299,517,3026.100098,2.650268,5.682322,33601.601562,7854.700195,17723.200195,2.144056,87159,10028.199219,517
12/31/2004 00:00:00,986.5,,37536.6,2004.3,6.833522,8502.3,16602.2,1452.8,1844.6,5.805434,12.619947,35447.5,8474.1,18845.3,2.173816,81955,11815.4,1452.8
12/31/2005 00:00:00,1063.7,,42744.9,3006.7,11.872587,8880.9,17523.5,259.3,3681.7,8.455572,18.049911,35670.1,8385,18146.6,2.134676,80945,13178.1,259.3
12/31/2006 00:00:00,1276.6,,52609.7,3215.2,9.7762,10186.9,18578.1,3694.9,5788.2,7.94258,18.325814,45291,13980.3,26712.9,2.307287,95247,14912.2,3694.9
12/31/2007 00:00:00,1379.7,4.04,57951.3,4065.5,11.838824,10480,20097.9,3147.7,6953.8,8.829109,21.872638,46802.1,12481.7,26704.2,2.477332,95175,16051.9,3147.7
12/31/2008 00:00:00,1355,3.432,62304,2912,6.060325,10238,18722,6224,8290,5.963419,15.870204,50860,16295,32138,2.661259,96924,15849,6224
12/31/2009 00:00:00,1398,2.73,50693,1410,-0.861675,7383,18609,2393,12506,2.761241,8.046108,51268,11680,32659,2.913947,104779,14011,2393
12/31/2010 00:00:00,1492,4.469,63873,4557,13.044932,11230,22657,3379,11719,8.235964,23.440755,59393,15568,36736,2.846146,109140,18563,3379
12/31/2011 00:00:00,1605,6.908,73497,6188,17.09154,12019,25385,3995,9069,10.264747,27.174319,61175,16477,35790,2.647344,111141,19511,3995
12/31/2012 00:00:00,1732,5.286,72129,4819,9.973333,9653,25621,4094,8704,7.778791,19.770256,62726,16710,37105,2.541559,110782,17863,4094
12/31/2013 00:00:00,1849,5.4,73973,4792,8.951872,10291,27673,3256,11151,7.550618,18.554226,64204,14339,36531,2.457312,112206,18397,3256
12/31/2014 00:00:00,1884,5.4,74326,5155,9.451671,10862,28195,3545,11839,7.60532,18.863092,71359,15893,43164,2.48025,113292,18487,3545
12/31/2015 00:00:00,1953,6.849,70449,3987,4.520759,10770,31545,4074,11123,5.607792,13.623783,70836,14236,39291,2.429438,112435,19077,4074
12/31/2016 00:00:00,1863,8.352,57550,4056,4.148399,10717,32568,3767,12545,5.505932,12.933055,76496,15317,43928,2.348931,113830,18285,3767
12/31/2017 00:00:00,1888,6.039,64475,6078,9.844007,12265,34756,2497,15535,7.829246,18.518067,78768,14880,44012,2.365243,115490,20546,2497
12/31/2017 00:00:00,1888,6.039,64475,6078,,12265,34756,2497,15535,7.82924567188788,18.5180671500823,78768,14880,44012,2.33435379279143,115490,20546,2497
