Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
3/31/1988 00:00:00,195,,10185,1455,,4066,8232,648,3186,,,16522,4733,8290,,237205,,648
3/31/1989 00:00:00,214,,11071,1566,11.105141,4351,8949,834,3622,9.054117,18.675742,18070,5111,9121,2.065317,244418,,834
3/31/1990 00:00:00,228,,12315,1509,8.731257,4923,9336,805,4320,8.109197,16.698943,19147,4777,9811,2.05926,245665,,805
3/31/1991 00:00:00,243,,13154,2080,12.750051,5383,10664,614,4468,10.484399,21.014346,20531,4693,9867,2.004344,226900,,614
3/31/1992 00:00:00,240,,13337,2044,10.355639,5411,11862,958,3768,9.730322,18.31049,21482,5098,9620,1.881797,210500,,958
3/31/1993 00:00:00,233,,13242,1220,2.110796,4519,12290,342,3386,5.712145,10.178542,21234,4367,8944,1.781912,170700,,342
3/31/1994 00:00:00,265,,13675,1767,5.767707,5141,13121,800,3199,8.068677,13.999366,22565,5486,9444,1.735026,165700,,800
3/31/1995 00:00:00,271,,13893,1731,4.979419,4800,12129,190,3361,7.863892,13.835272,21459,5047,9330,1.759341,148900,,190
3/31/1996 00:00:00,282,,14446,1986,6.500507,5289,12858,315,3322,8.827648,16.097264,23536,6061,10678,1.823506,135200,,315
3/31/1997 00:00:00,291,,14935,2077,-12.045053,5510,11324,483,2693,8.547677,17.458183,25062,9641,13738,2.042448,129600,,483
3/31/1998 00:00:00,307,,15640,1702,4.438154,5881,11008,881,3889,7.040768,15.542669,23285,6962,12277,2.207525,129200,,881
3/31/1999 00:00:00,268,,16953,2983,12.913508,6516,15156,947,3386,11.641657,23.191448,27962,8029,12806,1.992109,124900,,947
3/31/2000 00:00:00,345,,18715,2055,4.093054,6583,16293,5650,5354,6.270023,13.372377,37588,14885,21295,2.132748,132100,,5650
3/31/2001 00:00:00,364,,17141,-1870,-7.811777,6375,12553,12136,18775,-4.048189,-13.429567,54799,20733,42246,3.317426,133400,,12136
3/31/2002 00:00:00,362,,18447,995,,6695,-286,2195,16245,2.41294,,27673,9390,27959,7.0513,108600,,2195
3/31/2003 00:00:00,380,,18727,2686,,5793,2705,2548,13456,9.611737,,28217,9680,25512,24.470228,104700,,2548
3/31/2004 00:00:00,334,,18519,1417,23.88424,5808,3140,1273,12426,5.168232,49.407252,26618,8548,23478,9.559798,103100,,1273
3/31/2005 00:00:00,352,,18429,1830,60.337687,5515,95,4261,7744,6.758878,116.597643,27533,12104,27438,17.251035,102100,,4261
3/31/2006 00:00:00,486,,19514,1547,69.25,5515,1607,1940,7995,5.923458,193.375,24700,9480,23093,32.645625,104400,,1940
3/31/2007 00:00:00,692,1.86,20223,3829,74.353342,5638,4272,2203,6387,15.674957,132.194027,24155,9572,19883,8.433454,106200,,2203
3/31/2008 00:00:00,857,1.816,20704,1737,10.386649,5792,5432,1524,9818,6.492608,36.011195,29352,9704,23920,5.546491,111858,,1524
3/31/2009 00:00:00,1021,1.751,21390,-193,,3221,169,1542,12365,-0.658411,-6.953702,29274,9068,29105,10.56134,107000,,1542
3/31/2010 00:00:00,935,2.105,20859,1028,,5169,-2626,3269,9522,3.547641,,28680,10420,31306,,,,3269
3/31/2011 00:00:00,833,2.359,20076,1502,,5540,1951,485,9371,5.752585,,23540,7031,21589,,92600,,485
3/31/2012 00:00:00,821,2.505,18897,2003,83.985102,5898,1308,2887,7599,8.435815,124.332713,23948,9255,22640,14.738672,89000,,2887
3/31/2013 00:00:00,829,9.402,18103,1948,,5786,-262,1736,8277,7.987862,,24826,7551,25088,47.124638,87900,,1736
3/31/2014 00:00:00,739,8.729,18287,2018,,5838,-592,1873,7941,8.116805,,24898,7687,25490,,87800,,1873
3/31/2015 00:00:00,580,4.562,17979,2135,,6017,808,1900,7868,8.197508,,27191,7708,26383,241.152778,88500,,1900
3/31/2016 00:00:00,574,5.28,19012,2466,20.915751,6243,10112,3736,11025,7.029947,45.164835,42966,11651,32854,6.424634,102500,,3736
3/31/2017 00:00:00,638,1.345,24062,1908,4.076544,6727,8335,2632,10081,4.47163,20.68629,42372,10925,34037,4.626118,106400,,2632
12/31/2017 00:00:00,,1.345,23878,1690,,6522,8170,2194,13268,3.80592057111329,22.0958357847944,45132,10093,36962,5.50616438356164,,,2194
