Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/2006 00:00:00,,,7030.975098,932.942993,,,12025.872833,20808.613281,32861.757812,,,119748.570312,,107722.700684,,21433,,20808.613281
12/31/2007 00:00:00,,,6406.513,617.223,1.690612,,11074.788,25058.888,30151.847,0.497477,5.509555,128392.741,,117317.953,11.074993,21813,,25058.888
12/31/2008 00:00:00,,,8201.885,-333.372,,,10187.659,8086.685,24252.656,-0.266997,-3.259398,121327.23,,111139.571,12.207636,20410,,8086.685
12/31/2009 00:00:00,,,6127.527,267.038,2.042614,,12112.212,7245.698,25227.52,0.207782,2.505417,135709.091,,123596.879,12.057892,20375,,7245.698
12/31/2010 00:00:00,,,5909.333,308.015,2.480004,,11940.395,8321.591,23435.479,0.227431,2.671385,135155.672,,123215.277,11.745923,19872,,8321.591
12/31/2011 00:00:00,,,6419.175,-2258.437,,,9423.308,13363.254,28007.941,-1.677375,-21.963986,134126.618,,124703.31,13.094261,19280,,13363.254
12/31/2012 00:00:00,,,5769.142,-944.556,,,8980.904,16716.302,22151.862,-0.710064,-10.703296,131921.384,,122940.48,15.073699,18693,,16716.302
12/31/2013 00:00:00,,,5543.643,-606.295,,,8522.653,17412.244,20358.1,-0.471233,-7.223817,125401.527,,116878.874,15.329614,17179,,17412.244
12/31/2014 00:00:00,,,5149.837,-1945.891,,,8076.349,17383.645,16709.575,-1.566215,-23.967373,123081.686,,115005.337,15.302732,11441,,17383.645
12/31/2015 00:00:00,,,7220.696,2561.379,,,14158.532,29853.626,25193.594,1.739498,23.12022,171414.739,,157256.207,13.291321,,,29853.626
12/31/2016 00:00:00,,,4478.004,-1609.467,,,11999.173,23276.415,,-0.947666,-12.364459,168254.92,,156255.747,13.047275,,,23276.415
12/31/2017 00:00:00,,,4462.691,2616.362,21.948273,,11963.54,27199.304,,1.588265,21.948273,161206.765,,149243.225,13.819026,23331,,27199.304
12/31/2017 00:00:00,,,4482.156,2665.743,,,11963.54,27199.304,,1.61824158703007,22.3625229723464,161206.765,,149243.225,13.4508356225223,23331,,27199.304
