Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
4/30/1990 00:00:00,,,98.098,0.133,,5.026,80.735001,9.553,1.535,,,105.971001,23.291,25.236,,304,14.483002,9.553
4/30/1991 00:00:00,,,100.287003,0.109,-2.29116,0.66,120.124001,26.046,1.469,0.076465,0.108534,179.125,56.703999,59.000999,1.419384,237,9.505005,26.046
4/30/1992 00:00:00,,,126.400002,8.208,4.117899,11.815,129.954998,8.678,0,4.63662,6.564326,174.925995,44.022999,44.970999,1.415757,432,24.125,8.678
4/30/1993 00:00:00,,,182.001999,10.428,3.917108,15.332,180.376007,3.767,0,4.943387,6.720566,246.970993,65.561996,66.594996,1.359506,424,28.981995,3.767
4/30/1994 00:00:00,,,228.106003,25.780001,10.624376,26.58,203.382999,6.621,0,9.839188,13.435516,277.056,73.313004,73.673004,1.365511,506,45.249008,6.621
4/30/1995 00:00:00,,,283.428986,25.013,8.894172,37.241001,224.042992,1.861,0,8.312356,11.704015,324.770996,96.775002,100.728002,1.408026,646,61.088989,1.861
4/30/1996 00:00:00,,,334.251007,28.864,7.811107,44.119,318.696991,1.512,0,7.340131,10.636401,461.700012,142.643005,143.003005,1.449075,654,71.287018,1.512
4/30/1997 00:00:00,,,485.316986,49.669998,11.281276,69.744999,394.466996,16.518999,0,9.218719,13.929475,615.890015,221.423004,221.423004,1.510999,843,107.659973,16.518999
4/30/1998 00:00:00,,,599.596008,68.702003,11.497864,95.954003,578.391998,1.215,0,9.612322,14.123733,813.567017,235.175003,235.175003,1.469336,1116,147.897003,1.215
4/30/1999 00:00:00,0,,697.325012,77.262001,10.236102,107.987998,654.421021,0.77,0,9.044356,12.534261,894.945984,240.524994,240.524994,1.385865,1292,172.184021,0.77
4/30/2000 00:00:00,0,,798.888977,99.303001,11.904666,139.398006,738.747009,108.067001,0,9.964983,14.255711,1098.093018,346.291992,359.345992,1.43058,1394,204.305969,108.067001
4/30/2001 00:00:00,0,,833.882996,116.650002,12.64417,163.559996,804.747009,139.156006,100,9.666856,15.115057,1315.307983,383.941986,510.560986,1.563596,1413,234.799988,139.156006
4/30/2002 00:00:00,0,,976.770996,136.828995,12.953012,195.971997,968.215027,46.562,200,9.589192,15.435073,1538.509033,355.667999,570.294,1.609632,1456,276.664001,46.562
4/30/2003 00:00:00,0,,1150.839966,154.684006,12.821267,222.804004,1056.156006,0.153,200,9.872576,15.282179,1595.100952,316.726013,538.945013,1.547943,1521,315.069946,0.153
4/30/2004 00:00:00,,,924.620972,162.020004,11.868846,189.760003,1142.609995,25,75,10.251556,14.74071,1565.785034,338.596008,423.175009,1.4379,1261,139.366943,25
4/30/2005 00:00:00,,,794.460999,138.957993,13.047445,155.546998,621.409014,0.088,600,8.799396,15.763641,1592.567993,326.10199,971.158989,1.791446,935,229.065979,0.088
4/30/2006 00:00:00,0,,917.926025,202.147003,27.727472,162.523,837.19002,0.085,0,15.027646,27.727472,1097.766968,234.940994,260.576994,1.845098,766,231.76001,0.085
4/30/2007 00:00:00,,,918.41,135.545,16.746717,179.062,781.575,59.368,0,11.049343,16.746717,1355.682,511.288,574.107,1.51563,865,268.861,59.368
4/30/2008 00:00:00,0,,991.465,137.827,18.841927,208.81,681.407,4.549,0,10.314883,18.841927,1316.709,587.1,635.302,1.826674,996,304.394,4.549
4/30/2009 00:00:00,0,,702.192,86.127,11.617566,126.36,801.296,0.066,0,6.046531,11.617566,1532.098,673.244,730.802,1.921361,836,199.801,0.066
4/30/2010 00:00:00,0,1.126554,615.303,79.674,9.599902,107.179,862.316,7.048,25.203,4.886799,9.599902,1728.687,789.32,866.371,1.964456,748,166.364,7.048
4/30/2011 00:00:00,0,1.901419,742.612,95.109,10.638531,136.635,933.778,200.029,24.233,4.981088,10.638531,2090.117,1081.097,1156.339,2.135784,935,209.07,200.029
4/30/2012 00:00:00,0,1.98906,1041.069,158.513,15.622832,228.477,1099.834,48.13,12.498,7.470773,15.622832,2153.433,1010.71,1053.599,2.091193,1139,295.296,48.13
4/30/2013 00:00:00,0,2.198,1372.6,209.7,9.305459,283.6,1322.4,22.1,0,9.018709,17.314595,2496.9,1031.1,1174.5,1.919853,1326,403.4,22.1
4/30/2014 00:00:00,0,2.271,1620.6,292.9,3.849911,376.8,1441.3,1,0,10.754149,21.196222,2950.3,1311.9,1509,1.970981,1874,508.9,1
4/30/2015 00:00:00,0,12.357,2120,423.5,11.610158,526.8,1637.9,0,0,13.324733,27.507145,3406.3,1575.6,1768.4,2.064367,2185,716.8,0
4/30/2016 00:00:00,0,10.993,2047.5,404.1,8.372313,505,1812.8,0,0,11.155741,23.421335,3838.4,1867,2025.6,2.099487,2277,701.7,0
4/30/2017 00:00:00,0,27.963,2723.5,645.1,19.536145,759,2136.9,0,300,15.412366,32.665772,4532.8,1953.7,2395.9,2.119452,2443,939.8,0
10/31/2017 00:00:00,0,27.963,2917.8,767.6,35.0686433515316,877.7,2408.6,0,300,17.9065481605897,35.0686433515316,4590.5,1740.9,2181.9,2.00710592894071,,1026.60001220703,0
