Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1988 00:00:00,,,7899.96941,360.811764,,1189.21589,2434.027863,2129.705327,2805.98346,,,9724.364316,3909.745013,7290.336547,,119000,,2129.705327
12/31/1989 00:00:00,,,8423.671683,373.408161,13.946319,1186.16449,2884.295191,2036.033147,2962.358337,3.710653,15.510829,10401.915636,3944.873197,7517.620315,4.180081,124000,,2036.033147
12/31/1990 00:00:00,,,9564.123129,-733.379594,,820.985654,1856.088111,2000.317052,4156.584685,-6.667804,-33.926164,11595.718879,4610.662718,9739.630805,5.088056,140000,,2000.317052
12/31/1991 00:00:00,,,10313.018803,-106.583813,,1228.19851,1860.880178,1923.340124,3918.857712,-0.929721,-6.263845,11332.398932,4628.235147,9471.518986,6.737335,135000,,1923.340124
12/31/1992 00:00:00,,,10190.795186,12.080212,0.538863,1289.408949,1835.815798,1886.075421,3933.137898,0.103905,0.709783,11919.94459,4101.190906,10084.12896,6.831056,130000,,1886.075421
12/31/1993 00:00:00,,,9649.70777,-559.466865,,947.738191,1215.083456,1596.823807,4078.601653,-4.801023,-39.969542,11386.206289,3899.765259,10171.123307,8.325213,124000,,1596.823807
12/31/1994 00:00:00,,,10247.840893,196.773718,13.108722,1596.191233,1438.778011,1214.901279,3647.828371,1.78125,16.155521,10707.687871,3647.273659,9268.910223,9.069767,117776,,1214.901279
12/31/1995 00:00:00,,,10078.45217,426.232341,24.151358,1844.105939,1974.316921,1226.211313,3456.932724,3.975213,27.23897,10736.817543,3714.47926,8762.500939,6.852204,114397,,1226.211313
12/31/1996 00:00:00,,,10861.358862,440.786831,17.919416,1899.667799,2655.590085,1998.910472,2515.71666,3.943749,20.767019,11616.879517,4434.06661,8961.289246,5.265807,119780,,1998.910472
12/31/1997 00:00:00,,,12148.957554,591.951011,16.787967,1776.592686,3954.794312,1367.911633,2302.466538,4.917616,19.385162,12457.835937,4009.633361,8503.042239,3.941984,123254,,1367.911633
12/31/1998 00:00:00,,,12485.638826,535.616968,11.455671,1801.76382,4207.604376,1776.66824,1265.877982,4.235297,14.156283,12835.171074,5467.451206,8627.56614,3.342454,127241,,1776.66824
12/31/1999 00:00:00,,,13763.135388,154.428565,1.559557,2072.283856,4192.33398,2027.343256,1706.980727,1.132243,3.972352,14443.180679,6081.843374,10250.846699,3.508393,130434,,2027.343256
12/31/2000 00:00:00,645.307007,,15395.570312,399.037994,7.14105,2117.757019,3997.060974,3378.846924,2477.625,2.539369,10.557956,16984.939453,6799.294922,12987.875,4.157708,128122,,3378.846924
12/31/2001 00:00:00,701.901978,,15774.610352,295.971985,,2004.27002,4161.65097,,3038.8479,1.730702,7.873425,17217.599609,6058.455078,13055.951904,4.549267,127467,,
12/31/2002 00:00:00,703.978,,15645.074,580.803,,2116.582,4502.267,1977,3050,3.464511,14.233716,16311.118,5315.009,11808.851,4.108435,126285,10354.21,1977
12/31/2003 00:00:00,710.474976,,15369.820312,317.532013,4.255495,1961.593018,4409.06311,1973.494995,3240.022949,1.955366,7.336525,16166.900391,5511.457031,11757.840087,3.751997,127210,,1973.494995
12/31/2004 00:00:00,576,,15048,645,13.111903,2039,3546,1894,3054,4.001129,16.529222,16074,5465,12528,4.13114,126474,4836,1894
12/31/2005 00:00:00,565,,15590,889,17.770812,2380,4527,1647,3092,5.395236,22.258388,16881,5341,12354,4.125563,119030,4755,1647
12/31/2006 00:00:00,591,,16384,572,8.237412,1970,4688,2157,2736,3.389128,12.451023,16874,5844,12186,3.673814,115755,4731,2157
12/31/2007 00:00:00,571,,16867,774,10.915689,2523,5291,1145,2924,4.64544,15.542169,16449,4711,11158,3.345683,113529,5050,1145
12/31/2008 00:00:00,499,,16408,360,4.138246,1847,5113,1440,3446,2.178979,6.929073,16594,4788,11481,3.179963,117565,4384,1440
12/31/2009 00:00:00,506,,14807,106,-0.781818,1390,5495,725,3534,0.640251,2,16518,3936,11023,3.123774,109193,4280,725
12/31/2010 00:00:00,542,,17891,1085,11.89348,2716,7470,863,3186,6.01158,16.745119,19579,4845,12109,2.785477,111100,5504,863
12/31/2011 00:00:00,592,,20719,1462,13.927281,2878,8101,1327,2432,7.225641,18.78453,20888,5601,12787,2.599704,115000,5898,1327
12/31/2012 00:00:00,622,2.107699,21474,1490,12.648676,3546,8535,1242,2002,7.020354,17.917268,21560,5437,13025,2.552189,113400,6710,1242
12/31/2013 00:00:00,643,2.106856,20247,1127,7.452071,3025,9256,839,1440,5.335922,12.675027,20682,4857,11426,2.375415,111200,6406,839
12/31/2014 00:00:00,656,2.306894,19553,1031,6.042701,3107,9518,679,1548,4.782891,10.993815,22430,5108,12912,2.298571,106700,6254,679
12/31/2015 00:00:00,689,1.856931,21199,1168,6.839471,3564,9542,510,2341,5.042851,12.297973,23893,5220,14351,2.438694,105800,6961,510
12/31/2016 00:00:00,718,2.383869,20907,1676,10.740592,4183,10646,1239,1673,6.810932,16.567105,25322,6419,14676,2.44997,105700,7097,1239
12/31/2017 00:00:00,641,3.303789,21960,1700,10.116838,3976,11261,464,2215,6.720829,15.477663,25267,5882,14006,2.317938,107807,7145,464
12/31/2017 00:00:00,,3.303789,21960,,,,,,,,,,,,,,,
