Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1988 00:00:00,155.497998,,8975.43589,616.503826,,1693.403683,3407.845331,2032.907645,1623.582034,,,10527.824232,4143.25939,7119.978901,,82119,2855.82744,2032.907645
12/31/1989 00:00:00,164.797388,,10075.812896,657.207713,15.489558,1875.275361,4272.688606,2250.75729,1597.208354,5.869259,19.575434,11867.088849,4587.953174,7594.400243,3.335248,85765,3170.482211,2250.75729
12/31/1990 00:00:00,187.817189,,10530.568315,512.076249,9.397434,1848.749232,4586.276235,2624.257383,2255.178312,4.017846,13.080473,13622.996629,5195.462507,9036.720395,3.255593,96080,3226.888348,2624.257383
12/31/1991 00:00:00,210.684542,,11443.585479,382.494584,5.321487,1804.843915,5195.614956,2462.356526,2555.807774,2.724553,8.758181,14454.606018,5068.015129,9258.991062,3.214539,104080,3352.048991,2462.356526
12/31/1992 00:00:00,209.007603,,11282.294419,362.371314,4.357386,1767.341457,5537.863,2696.06087,2272.405051,2.506511,7.604088,14459.789285,5141.038208,8921.926285,3.033734,104002,2562.058184,2696.06087
12/31/1993 00:00:00,212.361481,,10906.050244,200.318009,0.80862,1584.707534,5417.123379,1887.318833,2753.229251,1.396068,4.059502,14237.671067,4178.780011,8820.547688,2.907812,96172,2322.25588,1887.318833
12/31/1994 00:00:00,213.276175,,11356.53709,552.627687,6.649006,1854.847193,6422.0673,1190.474376,1921.467413,3.937051,10.184873,13835.510559,3537.274547,7413.443259,2.58693,89613,2696.518217,1190.474376
12/31/1995 00:00:00,211.141889,,10718.690402,642.115261,7.031381,1872.226381,7416.339791,1219.592138,1274.473784,4.49887,10.451872,14710.110571,3872.357487,7293.770781,2.323221,89852,2663.741678,1219.592138
12/31/1996 00:00:00,229.58822,,13931.400991,659.037102,6.388313,2263.563008,9481.566627,1815.972693,1847.224742,3.886681,9.689783,19202.478211,5389.225208,9720.911584,2.493074,111701,3373.8492,1815.972693
12/31/1997 00:00:00,239.802304,,16323.935868,857.983069,7.756914,2538.733484,10357.996027,1987.782736,2301.370364,4.301141,10.976216,20693.124702,5567.28566,10335.128675,2.551931,107968,4118.105303,1987.782736
12/31/1998 00:00:00,249.71149,,17821.442564,1097.023128,9.279543,2809.482939,10714.116931,2547.270629,2498.182045,5.117265,12.483953,22182.246702,6441.733223,11468.129771,2.439575,117287,4573.470517,2547.270629
12/31/1999 00:00:00,342,,22952,1226,9.853065,3605,11542,3803,4114,4.894386,13.113247,27916,9286,16374,2.679243,164698,6851,3803
12/31/2000 00:00:00,300,,28815,1517,11.347805,4063,12115.000244,4553,4999,5.113167,14.84417,31421,10528,19306,2.903126,167477,8146,4553
12/31/2001 00:00:00,320,,30390,1134,6.62187,4133,12738.999756,4154,5247,3.568114,9.936038,32142,10380,19403,2.784675,171175,7698,4154
12/31/2002 00:00:00,312,,30274,1040,5.684071,4016,11933.000244,2144,6238,3.33922,8.950086,30148,7844,18215,2.680293,169641,7604,2144
12/31/2003 00:00:00,306,,29590,1039,5.821159,3779,11480,2213,6518,3.449363,9.275957,30095,8161,18615,2.68918,169797,7327,2213
12/31/2004 00:00:00,312,,32172,1239,7.376244,3751,10910,3487,5629,4.094514,11.387868,30425,10350,19515,2.78125,174247,8078,3487
12/31/2005 00:00:00,305,,35110,1264,6.997537,3974,12318,3615,11315,3.528903,11.154253,41212,12125,28894,3.160828,199630,8661,3615
12/31/2006 00:00:00,362,,41596,1637,7.728142,5039,14487,3190,9877,3.949908,12.517204,41676,12951,27189,3.168986,,10416,3190
12/31/2007 00:00:00,393,,43421,1487,4.941322,5983,15267,2475,8747,3.59118,10.205202,41138,12557,25871,2.84174,204864,11186,2475
12/31/2008 00:00:00,377,1.261357,43800,1378,3.794742,5330,14530,3251,10365,3.260265,9.4219,43395,12977,28865,2.889918,207684,10877,3251
12/31/2009 00:00:00,386,0.980156,37786,202,-1.881667,3097,16214,2879,8781,0.467495,1.338369,43023,11922,26809,2.86285,189876,8982,2879
12/31/2010 00:00:00,402,1.430059,40119,1129,3.102214,4279,18232,2120,7796,2.594806,6.684429,43997,11876,25765,2.576081,192922,10060,2120
12/31/2011 00:00:00,431,2.564802,42116,1284,3.535941,4538,18218,2920,8326,2.846029,7.196704,46234,13196,28016,2.528683,190041,10353,2920
12/31/2012 00:00:00,451,2.33158,43198,693,0.266795,3954,17830,3082,9566,1.478116,3.933812,47534,13657,29704,2.661369,194447,10152,3082
12/31/2013 00:00:00,415,1.937552,41761,595,-0.337529,3742,17887,2522,9308,1.277523,3.40389,45615,12702,27728,2.664445,183835,9966,2522
12/31/2014 00:00:00,391,2.017412,38349,953,-2.419133,3501,18418,2022,8655,2.107964,5.360709,44804,12047,26386,2.543074,169903,9555,2022
12/31/2015 00:00:00,435,2.280752,39623,1295,-6.297626,3336,19320,2867,7325,2.888691,7.00587,44856,12632,25536,2.425275,169400,9929,2867
12/31/2016 00:00:00,440,2.386719,39093,1311,3.254053,3642,19140,2423,6959,2.9586,6.951035,43767,12448,24627,2.349434,172063,9987,2423
12/31/2017 00:00:00,450,,40810,1566,8.411893,3684,18852,1584,7655,3.613124,8.411893,42917,12003,24065,2.32815,179149,10390,1584
12/31/2017 00:00:00,,2.632531,40810,,,,,,,,,,,,,,,
