Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/2008 00:00:00,,,,,,,,,,,,,,,,1047,,
12/31/2009 00:00:00,,,,,,,,,,,,,,,,990,,
12/31/2010 00:00:00,,,,,,,,,,,,,,,,900,,
12/31/2012 00:00:00,39.9,,1646.2,-161.1,,438.8,-1856.7,45.2,2906.1,,,4495.3,326.3,6352,,,905.2,45.2
12/31/2013 00:00:00,32,,1700.7,-173.7,,502.4,-2132.5,73.6,2892.9,-3.835665,,4561.8,387,6694.3,,8000,947.2,73.6
12/31/2014 00:00:00,37.2,,1735.5,-286.5,,401.8,-2174.6,43.7,2685.8,-6.696663,,3994.7,344.9,6169.3,,9000,913.7,43.7
12/31/2015 00:00:00,40.3,,1650.4,-93.4,,411.5,-218.8,21.5,3477,-2.399147,,3791.4,285.6,4010.2,,9100,850.5,21.5
12/31/2016 00:00:00,38.1,1.56395496312,1688.3,-202.8,,335.8,1246.2,38.5,1737.1,-5.552133,,3513.9,300,2267.7,7.110473,8524,867.3,38.5
12/31/2017 00:00:00,41.2,,1764.6,158.4,3.40549,427.2,1523.8,78.2,1744.7,4.330945,11.436823,3800.9,323.1,2277.1,2.640722,,926.3,78.2
12/31/2017 00:00:00,41.1999996185303,1.56395496311951,1764.6,158.4,,427.2,1523.8,78.2,1744.7,4.33094548039591,11.4368231046931,3800.9,323.1,2277.1,2.58125930284884,,926.3,78.2
