Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/2009 00:00:00,1.6,,6356.448,72.676,,171.674,939.165,187.448,18.982,,,2600.406,1575.678,1661.241,,20744,,187.448
12/31/2010 00:00:00,1.5,,7295.4,128.4,,272.9,1053.7,109.5,46.7,4.70812,13.102108,2854,1698.8,1800.3,2.782874,22586,1108.5,109.5
12/31/2011 00:00:00,2.2,,7340,147.1,,275.4,1022.7,226.6,44.2,4.967832,14.485475,3068.1,1938.5,2045.4,2.915854,24342,1148.4,226.6
12/31/2012 00:00:00,2.5,5.55,8808.8,200.1,18.620882,317.1,1187.1,114.3,80.9,6.254004,18.620882,3331,1997.2,2143.9,2.977433,25788,,114.3
12/31/2013 00:00:00,2.5,6.063,9559,228.7,18.816076,347.6,1315.1,59.9,50.2,6.808979,18.816076,3386.6,1954.2,2071.5,2.763421,26693,,59.9
12/31/2014 00:00:00,2.9,5.363,9818.2,192.2,14.100213,308.2,1489.9,72.2,28.9,5.210296,14.100213,3991.1,2402.9,2501.2,2.706221,27550,,72.2
12/31/2015 00:00:00,2.8,5.832,10050.8,202.6,7.980809,337.2,1539.7,26.3,76.3,5.010573,13.697519,4095.8,2432,2556.1,2.733723,28340,,26.3
12/31/2016 00:00:00,2.5,6.199,10505.2,208.6,-5.337565,334.1,1677.7,41.6,57.2,4.901834,13.240241,4415.3,2637.8,2737.6,2.701079,30318,,41.6
12/31/2017 00:00:00,1.5,9.073,11006.4,207,-5.325544,331,1633.7,76.4,22.5,4.569385,12.864334,4645,2942.5,3011.3,2.815332,31973,,76.4
12/31/2017 00:00:00,,9.073,11006.4,207,,331,1633.7,76.4,22.5,4.56938511969802,12.8643340998073,4645,2942.5,3011.3,2.93475575144412,31973,,76.4
