Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1997 00:00:00,,,247.234996,40.488,,72.066,187.461567,0,0,,,359.585325,135.488597,172.12375,,1086,,0
12/31/1998 00:00:00,,,357.111009,57.885998,,104.871999,222.834376,0.011,0,12.673634,28.305489,550.181598,283.018124,327.347204,2.233415,1185,,0.011
12/31/1999 00:00:00,6.569,,476.247986,68.574997,4.383423,108.760002,233.832009,10,0,8.662733,30.501605,1033.036987,748.836975,799.204975,3.521014,1276,,10
12/31/2000 00:00:00,5.999,,702.301025,220.132004,58.272049,256.943993,424.03499,124.5,90,22.511711,67.751582,922.674011,355.480988,498.638988,3.009615,1001,,124.5
12/31/2001 00:00:00,17.700001,,760.299988,203.699997,16.837686,316.599998,1570.900049,10,80,13.323417,20.574905,2135.100098,368,564.199997,1.544266,1123,,10
12/31/2002 00:00:00,6.2,,1223.599976,235.100006,10.014815,536,2175.300012,781.099976,9.2,5.417488,12.66532,6544.200195,4149.700195,4368.900195,2.337859,3318,,781.099976
12/31/2003 00:00:00,2.8,,1580.099976,246.300003,8.225763,721.399994,2353.3,570,503.200012,3.320951,10.963233,8288.900391,5224.200195,5935.600204,3.301233,,,570
12/31/2004 00:00:00,2.4,,1573.7,266.1,7.686955,708.1,2552.5,915.8,502.3,1.478802,10.8919,27699.7,24440.6,25147.2,7.365356,3262,,915.8
12/31/2005 00:00:00,72.3,,1833.3,427.4,9.163338,853.2,2200.8,803.4,501.6,1.406048,18.064625,33094.8,30229.9,30894,12.847799,,,803.4
12/31/2006 00:00:00,0,,2114.2,668.7,15.109773,1125.5,2283.3,1734.4,499.9,1.363026,30.053257,65025.1,62095.4,62741.8,22.04892,2966,,1734.4
12/31/2007 00:00:00,0,,2653.2,911.7,21.923417,1312.7,2690.2,2517,1.2,1.260275,39.291486,79657.6,76196,76967.4,31.176913,3281,,2517
12/31/2008 00:00:00,0,3.5591,2947,1033.3,25.562445,1627.6,2978.3,926.8,1512.9,0.916305,41.072422,145878.6,140686.6,142900.3,44.823953,3115,,926.8
12/31/2009 00:00:00,89.2,2.4711,2159.1,496.1,3.82574,1207.4,3338.8,0,1514.9,0.322941,17.97301,161360.5,155928.2,158021.7,55.654216,3600,,0
12/31/2010 00:00:00,98.9,3.6575,1954.8,417.8,0.931656,1101.3,3410.3,20.1,1455.2,0.269365,14.363311,148850.5,143569.8,145440.2,53.322848,3490,,20.1
12/31/2011 00:00:00,111.6,3.5957,2064.4,855.2,14.344109,1245.2,3132.6,0.4,1458.3,0.466236,29.131042,218002.5,212953.1,214869.9,62.48135,3588,,0.4
12/31/2012 00:00:00,168.6,3.4015,1920.6,645,8.8126,1078.7,3169.6,0.1,1160,0.312508,21.988886,194786.8,190000.8,191617.2,70.362612,3704,,0.1
12/31/2013 00:00:00,203.7,3.567,1891.7,478.4,3.068592,844.2,3268,0.1,1521.9,0.249104,15.991443,189309.9,180022,186041.9,64.195865,3811,,0.1
12/31/2014 00:00:00,221.7,3.7795,2024.7,762.3,11.614061,1053.8,3752.1,0.7,1428.5,0.376242,23.577626,215908.1,204193.5,212156,62.666131,3911,,0.7
12/31/2015 00:00:00,202.2,4.7456,2196.7,665.5,6.002001,1082.4,3695.1,42.2,2546.5,0.336125,19.052936,180075.8,165795.3,176380.7,56.684116,5283,,42.2
12/31/2016 00:00:00,171,7.3293,2356.1,1272.7,12.41686,1204.3,4623.2,0.1,2284.7,0.740116,31.670627,163843.1,150550.1,159219.9,42.791417,5176,,0.1
12/31/2017 00:00:00,154.4,5.0365,2430.9,874.3,8.948545,1332.4,4959.4,7.3,1688.4,0.584846,18.757174,135141.4,123158.2,130182,32.071967,5640,,7.3
12/31/2017 00:00:00,,5.0365,2430.9,874.3,,1330,4959.4,7.3,1688.4,0.58484637163465,18.757173658861,135141.4,123158.2,130182,30.3895976139396,5640,,7.3
