Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
3/31/1988 00:00:00,,,310.899994,29.299999,,48.8,83.700001,1.4,14.1,,,176.800003,78,93.1,,3225,114.299988,1.4
3/31/1989 00:00:00,,,380.899994,33.900002,24.568743,58.000001,107.599997,0,14.2,17.683881,35.441717,206.600006,83.800003,99.000003,2.004182,3771,143,0
3/31/1990 00:00:00,,,394.399994,37.299999,20.699496,60.500001,134.899998,8.7,6.2,16.858757,30.762887,235.899994,91.699997,100.999997,1.824742,3800,155.899994,8.7
3/31/1991 00:00:00,,,415.5,7.9,4.08833,63.199998,107.999999,29.5,9,3.21073,6.597077,256.200012,114.699997,148.199997,2.054697,4108,174,29.5
3/31/1992 00:00:00,,,316.200012,7.3,4.096874,,121.100002,20.200001,0.5,2.885946,6.561798,249.699997,104.699997,128.599997,2.273708,3305,137.700012,20.200001
3/31/1993 00:00:00,,,346.600006,31,14.275256,66.400001,144.099998,1.2,0.6,12.56587,23.94747,243.699997,83.300003,99.600003,1.905755,2757,154,1.2
3/31/1994 00:00:00,,,396.5,48.099998,18.175938,75.900002,171.100005,1.3,0.9,18.045395,31.112547,289.399994,103.599998,118.299999,1.724127,2646,179.699997,1.3
3/31/1995 00:00:00,,,472.600006,57.700001,18.216014,92.900003,206.900008,1.6,0.9,17.975078,31.004836,352.600006,132.100006,145.700006,1.724879,2959,214.800018,1.6
3/31/1996 00:00:00,,,559.900024,66.699997,17.087737,107.800002,249.300003,4.4,1.4,17.527262,29.624693,408.5,144,159.2,1.690207,3440,257.700012,4.4
3/31/1997 00:00:00,,,611.299988,75.300003,16.050087,123.300003,283.899996,0.6,0.9,17.624342,28.57143,446,147.399994,162.099994,1.621135,3754,305.699982,0.6
3/31/1998 00:00:00,,,662.400024,80.599998,14.063285,131.499996,316.500011,5.6,0.3,17.170856,26.988112,492.799988,163.800003,176.300003,1.571739,4316,328.100036,5.6
3/31/1999 00:00:00,0,,677.099976,76.400002,9.346073,126.099997,353.300003,3.7,0.2,14.95254,22.81278,529.099976,157.199997,175.799997,1.525679,4302,335.299988,3.7
3/31/2000 00:00:00,0,,711.200012,73.900002,5.948462,138.299999,374.5,33.599998,103.5,11.998701,20.307777,702.700012,206.699997,328.199997,1.692498,4704,358.900024,33.599998
3/31/2001 00:00:00,0,,823.900024,71,4.179578,151.800003,414.900009,23.799999,69,10.08881,17.988345,704.799988,202.100006,289.900005,1.783,5041,404.400024,23.799999
3/31/2002 00:00:00,0,,759.599976,62.900002,-1.523579,127.699997,412.099991,21.6,52.799999,9.166424,15.211609,667.599976,184.5,255.5,1.659492,4974,387.199982,21.6
3/31/2003 00:00:00,0,,743.700012,60.3,-3.398725,120.700003,388.199997,29.299999,44.299999,9.112202,15.069349,655.900024,204.600006,267.700004,1.653755,5028,392.100006,29.299999
3/31/2004 00:00:00,,,759.299988,65.900002,-3.603602,131.300003,344.400002,24.9,82.900002,10.025101,17.990718,658.799988,210,314.400002,1.794567,4973,408.399994,24.9
3/31/2005 00:00:00,,,773.900024,67.599998,-3.54235,123.100002,355.699989,2.2,92.5,10.116732,19.311527,677.599976,155.899994,321.899994,1.90887,4993,412.100037,2.2
