Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
9/30/1997 00:00:00,,,1385.335484,-3.724177,,,21.35797,284.521429,104.612888,,,664.251082,511.105641,642.893139,,,,284.521429
9/30/1998 00:00:00,,,1385.756505,1.558181,3.273396,116.499401,157.903692,118.971202,623.517134,0.160682,3.273396,1266.694025,440.494056,1108.790343,20.371909,27084,,118.971202
9/30/1999 00:00:00,,,1516.709913,12.321997,10.748193,128.656907,169.556238,109.037485,638.695802,0.936092,10.748193,1359.532445,513.041263,1189.976157,11.481988,30719,,109.037485
9/30/2000 00:00:00,,,1819.92416,14.279442,2.327594,149.943523,447.311635,104.748935,534.155303,0.942063,4.92086,1671.993678,632.915394,1224.681641,5.223494,37594,,104.748935
9/30/2001 00:00:00,,,2067.199951,16,2.051581,159.799995,470.799988,173,697.700012,0.864236,3.729724,2030.699951,802.700012,1559.900024,4.315632,45072,,173
9/30/2002 00:00:00,,,2328.699951,16.299999,1.849294,182.900002,482.699993,102.300003,680.700012,0.813191,3.738961,1978.199951,753.200012,1495.500022,4.59789,45385,,102.300003
9/30/2003 00:00:00,,,2422,25,2.351835,197.300004,580.599998,123,516.200012,1.282808,5.0005,1919.5,755.200012,1338.900024,3.89809,47416,,123
9/30/2004 00:00:00,,,2542.199951,36.900002,3.446969,209.599998,588.100025,41,556.400024,1.919276,6.474252,1925.699951,702.799988,1337.600014,3.373278,49965,,41
9/30/2005 00:00:00,,,2827,47.099998,4.689474,233.5,603.699986,92.199997,453.100006,2.43216,8.037542,1947.400024,811.200012,1343.70002,3.304693,55811,,92.199997
9/30/2011 00:00:00,0,,4158.2,98.9,,353.5,971.6,57.6,1648,,,3923.4,1129.9,2951.8,,84362,,57.6
9/30/2012 00:00:00,0,,4464.4,-30.1,,242.6,618.9,76.9,1977.8,-0.743862,-3.936184,4169.5,1383.3,3550.6,5.291552,98208,,76.9
9/30/2013 00:00:00,0,1.034745,5016.9,8.7,1.510417,310.7,650.8,136.1,2240.8,0.198358,1.510417,4602.5,1510.9,3951.7,7.614583,105410,,136.1
9/30/2014 00:00:00,0,2.25817,5340.8,47.8,1.603555,372.8,1322.6,90,1498.5,1.028244,5.135367,4694.9,1503.5,3372.3,4.994306,106000,,90
9/30/2015 00:00:00,0,2.54598367,5674.1,107.2,3.80818,431.6,1486.1,123.5,1530.4,2.267176,7.842277,4761.8,1526.3,3275.7,3.459051,,,123.5
9/30/2016 00:00:00,0,1.277561,5896,135.3,4.443211,444.4,1557.4,11.5,1846,2.73906,9.105899,5117.5,1460.7,3560.1,3.324461,118990,,11.5
9/30/2017 00:00:00,0,1.826951,6421.9,113.7,2.725023,461.6,1617.7,75.1,1685.3,2.205561,7.384555,5192.8,1643.8,3575.1,3.348152,127153,,75.1
12/31/2017 00:00:00,,1.826951,5208.29597671799,,,,,,,,,,,,,,,
