Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1988 00:00:00,0,,1238.527378,39.094026,,142.803574,286.566952,124.514568,159.735157,,,997.234899,502.24299,710.667924,,16464,,124.514568
12/31/1989 00:00:00,11.428494,,1415.997388,26.297455,,177.124413,2.750796,145.602229,484.006574,2.54303,,1070.963353,540.811512,1068.212543,9.984119,16373,,145.602229
12/31/1990 00:00:00,24.758024,,1343.230673,30.325921,,165.167535,36.182866,121.334781,459.531025,2.902147,,1018.932459,482.450671,982.749614,,15183,,121.334781
12/31/1991 00:00:00,0,,1599.989357,14.95845,16.315142,174.243737,119.875699,263.708904,419.785601,1.314635,29.610973,1256.749055,651.723494,1136.873286,22.524106,18322,,263.708904
12/31/1992 00:00:00,,,1772.946638,13.154978,9.581502,181.368747,133.211936,164.006335,409.821368,1.097787,15.976412,1139.886462,533.371099,1006.674526,14.553288,17178,,164.006335
12/31/1993 00:00:00,,,1502.700533,-51.768179,57.095877,115.823139,124.439402,193.487076,364.567644,-4.624247,-59.89118,1099.102256,492.145215,974.662814,12.951554,16876,,193.487076
12/31/1994 00:00:00,,,1707.700394,13.952744,3.930869,151.523195,192.170668,136.531819,318.616622,1.234129,10.552885,1162.045686,573.932289,969.875018,8.550875,14898,,136.531819
12/31/1995 00:00:00,,,1910.445379,14.071045,2.764785,146.335811,206.385481,223.429276,263.523367,1.194743,7.657375,1193.447131,650.881079,987.061649,6.409222,16098,,223.429276
12/31/1996 00:00:00,,,2114.666023,46.222544,17.023307,181.368598,248.446163,127.386395,251.129274,3.85812,22.117665,1202.670297,605.100632,954.224132,5.732757,16099,,127.386395
12/31/1997 00:00:00,182.786372,,3540.475976,63.266342,9.966221,343.924983,955.397991,133.697788,636.322198,3.200555,11.614077,2750.790067,1055.556995,1795.392076,3.628769,16681,,133.697788
12/31/1998 00:00:00,235.533732,,3937.148319,31.0996,2.265186,330.661918,945.183907,167.54147,674.891799,1.096479,3.580518,2921.837864,1189.407232,1976.653958,3.265467,29154,,167.54147
