Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/2006 00:00:00,,,613.717459,65.103367,,,313.195556,796.98466,,,,9094.153847,,8780.958291,,763,,796.98466
12/31/2007 00:00:00,,,766.168227,62.897498,,,350.779703,3707.074681,,0.560433,18.945735,13351.871598,,13001.091895,33.805515,760,,3707.074681
12/31/2008 00:00:00,,,1095.867734,91.834001,,,385.134686,865.332374,,0.657787,24.957795,14570.244685,,14185.109999,37.942071,855,,865.332374
12/31/2009 00:00:00,,,682.316936,43.842923,,,352.106278,1568.440154,0,0.30261,11.893784,14406.235013,,14054.128735,39.303947,829,,1568.440154
12/31/2010 00:00:00,,,553.052461,51.880863,,,363.989287,431.178506,0,0.404439,14.489927,11249.456686,,10885.467399,35.82719,825,,431.178506
12/31/2011 00:00:00,,,628.074888,62.763703,,,377.239515,5778.979623,0,0.44004,16.935042,17276.888644,,16899.649129,38.485209,910,,5778.979623
12/31/2012 00:00:00,,,812.291811,125.466685,,,444.06064,5148.12196,0,0.705476,30.553187,18292.469616,,17848.408976,43.308598,919,,5148.12196
12/31/2013 00:00:00,,,734.110254,85.215605,,,419.148916,3973.487833,0,0.473753,19.743898,17682.1974,,17263.048484,41.675474,965,,3973.487833
12/31/2014 00:00:00,,,791.985789,149.906668,26.744759,,552.253544,1856.412613,0,0.870366,30.863967,16764.621012,,16212.367468,35.460913,1008,,1856.412613
12/31/2015 00:00:00,,,892.69143,191.052791,11.819137,,632.797633,114.367759,0,1.08885,32.243804,18327.948975,,17695.151342,29.612704,1067,,114.367759
12/31/2016 00:00:00,,,869.365366,211.843794,6.413268,,681.299424,55.16707,0,1.077693,32.241727,20986.37586,,20305.076436,29.917368,1096,,55.16707
12/31/2017 00:00:00,,,932.678598,214.12037,5.794145,,731.826474,59.966892,0,0.988399,30.3045,22340.335147,,21608.508673,30.660192,1128,,59.966892
12/31/2017 00:00:00,,,680.039,214.12,,,731.826474,59.966892,0,0.988397203588364,30.3044477923792,22340.335147,,21608.508673,31.4650831186414,1128,,59.966892
