Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/2002 00:00:00,4.1,,5.71,-4.385,,-3.34,7.246999,0.09,1.617,,,12.066,3.202,4.819,,91,4.454,0.09
12/31/2003 00:00:00,5.378,,6.472,-4.666,,-3.682,13.951,0.098,1.519,-28.906855,-44.023022,20.216999,4.747,6.266,1.522927,88,5.306,0.098
12/31/2004 00:00:00,5.443,,7.777,-3.589,,-2.605,10.366998,0.106,1.413,-20.033492,-29.517232,15.613,3.833,5.246,1.473394,68,6.489,0.106
12/31/2005 00:00:00,6.7,,11.24,-6.541,,-5.334,61.136,3.361,4.606,-13.462172,-18.295736,81.563,14.065,20.427,1.359048,201,6.411,3.361
12/31/2006 00:00:00,15.863,,35.152,-11.335,,-7.093,109.541,3.172,4.595,-9.096782,-13.282399,167.646,29.278,58.105,1.460121,454,15.619,3.172
12/31/2007 00:00:00,30.632999,,65.935997,-21.948,,-13.486,98.625999,0,1.747,-13.874893,-21.086916,148.723999,43.361,50.098,1.519789,452,35.769997,0
12/31/2008 00:00:00,38.726002,,76.977997,-14.584,,6.512001,84.323997,0.546,1.156,-10.901969,-15.943154,118.823997,29.750999,34.499999,1.462411,482,49.208998,0.546
12/31/2009 00:00:00,60.015,,93.089,3.01,,8.613,108.877,0.52,0.964,2.293045,3.115926,143.709,31.344,34.832,1.358859,516,68.007,0.52
12/31/2010 00:00:00,84.649,,122.41,4.37,3.395704,12.666,148.507,0.378,0.867,2.588326,3.395704,193.961,38.223,45.454,1.311931,815,91.043,0.378
12/31/2011 00:00:00,84.46,,95.887,-33.097,,-20.839,118.376,0.425,0.451,-18.645357,-24.802629,161.055,35.36,42.679,1.330231,835,55.361,0.425
12/31/2012 00:00:00,80.259,,136.268,-5.721,,2.399,118.447,0.24,0.165,-2.886595,-4.831456,235.329,109.014,116.882,1.673756,796,88.089,0.24
12/31/2013 00:00:00,99.38,,96.572,-8.079,,-8.761,167.137,0.226,0.167,-3.091239,-5.65788,287.374,112.559,120.237,1.830295,810,,0.226
12/31/2014 00:00:00,111.11,,90.021,33.211,,-31.975,206.135,0.052,0.115,11.906977,17.794531,270.467,60.356,64.332,1.494462,417,,0.052
12/31/2015 00:00:00,129.714,1.27113,60.579,-118.41,,-86.042,364.999,0.052,0.063,-33.215471,-41.464875,442.514,72.412,77.515,1.24836,435,,0.052
12/31/2016 00:00:00,139.573,1.44474249,151.612,54.012,9.613242,-7.308,758.701,0.054,0.009,7.079586,9.613242,1083.338,103.791,324.637,1.357882,,,0.054
12/31/2017 00:00:00,218.502,,155.917,-115.704,,-85.517,1011.983,0.009,0,-9.765649,-13.068848,1286.274,171.699,274.291,1.338247,600,,0.009
12/31/2017 00:00:00,218.502001739502,,155.917,-115.704,,-85.517,1011.983,0.009,0,-9.7656493974541,-13.0688479706147,1286.274,171.699,274.291,1.27757715669025,,,0.009
