Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/2001 00:00:00,1.603,,6880.138184,96.852997,,423.815018,1440.246021,1042.400024,1241.177002,,,5760.097168,2136.774902,4319.850891,,,,1042.400024
12/31/2002 00:00:00,2.291,,6911.174805,114.521004,6.07241,512.417984,1489.081026,1033.334961,1232.754028,1.959926,7.987532,5926.163086,2165.375977,4437.082031,4.075426,4878,,1033.334961
12/31/2003 00:00:00,1.293,,7413.547852,247.445999,9.926665,632.479004,1675.339025,747.586975,1372.227051,4.125785,15.904028,6068.937012,2030.613037,4393.598083,3.854789,5443,,747.586975
12/31/2004 00:00:00,1.25,,9272.621,453.438,16.560267,939.615,1846.148,632.01,1097.934,7.844054,26.110458,5492.381,2098.341,3646.233,3.328694,5644,,632.01
12/31/2005 00:00:00,1.456,,11137.308,700.657,22.872909,1164.765,2385.851,257.39,1091.756,12.263556,33.498037,5934.272,1935.546,3548.421,2.731511,,,257.39
12/31/2006 00:00:00,0.655,,12209.719,754.774,22.956951,959.769,2036.674,586.516,512.861,13.506952,34.469737,5241.81,2203.675,3205.136,2.552,5877,,586.516
12/31/2007 00:00:00,,,12565.282,776.627,17.980881,1279.369,2426.315,335.767,505.484,14.131445,35.121914,5749.663,2272.386,3323.348,2.485373,,,335.767
12/31/2008 00:00:00,,,15092.013,116.971,-1.056587,418.84,2218.819,684.949,1304.078,1.890797,5.087719,6623,2667.324,4404.181,2.690779,7817,,684.949
12/31/2009 00:00:00,,1.57384,12008.345,347.272,6.747096,766.251,2388.663,423.642,1747.114,4.913429,15.246866,7512.628,2516.469,5123.965,3.103101,7493,1814.926,423.642
12/31/2010 00:00:00,,1.337,14063.694,451.81,11.451693,980.302,2645.411,616.462,2412.024,5.423843,18.164355,9147.515,3193.079,6502.104,3.348982,7311,2067.064,616.462
12/31/2011 00:00:00,,1.337,16803.936,432.682,11.437847,1045.638,2941.455,1528.491,2274.069,4.48307,15.737634,10155.417,4017.215,7213.962,3.510459,7381,2234.257,1528.491
12/31/2012 00:00:00,0,,18507.037,343.3,1.776301,968.291,6705.974,1105.594,2477.329,2.853226,8.285609,13908.574,3588.421,7202.6,2.903944,7241,2311.352,1105.594
12/31/2013 00:00:00,0,,19622.251,188.661,-0.630463,987.373,6415.8,373.32,3303.722,1.365822,3.572421,13717.418,2830.233,7301.618,2.615583,6968,2413.97,373.32
12/31/2014 00:00:00,0,,18020.994,-173.394,,793.827,6424.721,303.245,3361.119,-1.287603,-3.41144,13215.417,2156.58,6790.696,2.64945,6855,2319.622,303.245
12/31/2015 00:00:00,0,1.36413492,15503.753,122.566,-4.002306,1142.859,6188.124,492.547,3059.525,0.942509,2.50733,12793.031,2031.911,6604.907,2.660271,5512,2710.556,492.547
12/31/2016 00:00:00,0,,13119.256,179.097,-4.27195,1378.399,6543.407,325.163,2577.529,1.419592,3.672824,12439.145,2157.489,5895.738,2.587239,5482,2983.736,325.163
12/31/2017 00:00:00,,,15204,614,,1943,6078,551,2532,4.954581,12.795037,12346,2420,6268,2.582466,,2275,551
12/31/2017 00:00:00,,1.36413492,15202.759,613.2,-10.0403862650155,1942.977,6078,551,2532,4.94812517739961,12.7783663008724,12346,2420,6268,2.65574668565794,,2652.93902587891,551
