Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
6/30/2004 00:00:00,,,42.52,4.933,,10.566,26.584,0,0,,,58.812,29.84,32.228,,386,,0
6/30/2005 00:00:00,,,50.379,10.332,22.973345,13.77,35.131,0,0,15.106809,33.482946,77.974,40.004,42.843,2.216414,431,,0
6/30/2006 00:00:00,,,73.46,6.013,-7.034221,24.957,17.469,0,0,7.654266,22.863118,79.141,57.61,61.672,2.986977,513,,0
6/30/2007 00:00:00,,10.176646,98.769,16.955,11.803628,41.637,44.495,0,0,17.98214,54.725324,109.435,64.13,64.94,3.043315,621,,0
6/30/2008 00:00:00,,0.746594,120.332,42.401,10.913586,59.008,70.311,0,0,32.297649,73.826894,153.129,82.374,82.818,2.285829,657,,0
6/30/2009 00:00:00,0,1.016953,132.845,52.123,-10.435324,71.556,84.65,0,0,32.219241,67.216022,170.423,84.989,85.773,2.086207,607,,0
6/30/2010 00:00:00,0,0.405917,158.97,61.266,-2.58485,87.809,66.053,0,0,34.024664,81.236326,189.704,122.753,123.651,2.387572,628,,0
6/30/2011 00:00:00,0,1.544906,207.904,91.82,-24.172247,126.763,130.867,0,0,36.234415,93.258513,317.107,186.181,186.24,2.573755,653,,0
6/30/2012 00:00:00,0,1.641,238.741,112.96,-17.233374,153.027,157.419,0,0,35.865498,78.500321,312.802,155.106,155.383,2.188742,657,,0
6/30/2013 00:00:00,0,6.753,292.403,148.391,-18.365,194.175,197.145,0,0,37.370837,83.927763,481.352,283.803,284.207,2.245809,731,,0
6/30/2014 00:00:00,0,10.608,358.393,162.091,5.415965,210.521,228.344,0,0,32.067193,76.390457,529.594,301.003,301.25,2.3822,794,,0
6/30/2015 00:00:00,0,2.059,395.137,156.664,0.443661,202.431,237.067,0,0,26.485525,67.481193,653.422,416.123,416.355,2.547852,970,,0
6/30/2016 00:00:00,0,2.071,388.333,176.895,7.633846,223.465,254.164,0,0,23.507641,72.163161,851.578,596.927,597.414,3.069775,969,,0
6/30/2017 00:00:00,0,2.903105419748,385.7,211.7,26.543084,267.2,307.7,0,0,26.577481,75.526491,741.5,433.2,433.8,2.841748,1043,,0
12/31/2017 00:00:00,0,2.90310541974829,416.901,224.428,47.1743442620403,284.484,333.1,0,0,35.0294372888975,79.0521964716263,708.2,374.5,375.1,2.26870109546166,1310,,0
