Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/2003 00:00:00,,,1746,-7,,236,1656,4,54,,,2318,516,662,,,,4
12/31/2004 00:00:00,,,2053,137,1.627373,359,3154,10,852,3.413905,5.71667,5708,980,2554,1.674525,6262,,10
12/31/2005 00:00:00,,,2196,222,2.898998,494,3359,288,856,3.906731,6.846569,5657,1275,2298,1.752506,6073,,288
12/31/2006 00:00:00,,,2181,219,2.952483,387,3163,471,1224,3.721958,6.735353,6111,1334,2948,1.809626,5957,,471
12/31/2007 00:00:00,,3.165,2082,137,0.469557,318,3239,33,1263,2.31595,4.288621,5720,944,2481,1.851776,5700,,33
12/31/2008 00:00:00,,0.934,2029,-2556,,247,534,259,1264,-56.983614,-135.993615,3251,1139,2717,2.386539,5597,,259
12/31/2009 00:00:00,,2.126,1879,91,20.895522,293,346,9,1431,2.88614,20.895522,3055,771,2709,7.239954,4519,,9
12/31/2010 00:00:00,,1.84,2064,269,53.479125,457,663,55,1223,8.725268,53.479125,3111,855,2448,6.129225,3947,,55
12/31/2011 00:00:00,,1.524,2140,247,25.190719,489,809,9,912,8.189655,33.674165,2921,754,2112,4.111793,3958,,9
12/31/2012 00:00:00,,2.914,2196,256,-0.211053,533,832,7,632,8.943231,31.546519,2804,715,1972,3.527418,4059,,7
12/31/2013 00:00:00,,8.399,2389,326,2.876933,636,889,62,318,12.078548,38.925373,2594,867,1705,3.222687,4257,,62
12/31/2014 00:00:00,,4.842,2590,466,2.694198,745,1064,85,171,18.128769,49.786325,2547,912,1483,2.746261,4559,,85
12/31/2015 00:00:00,,3.881,2972,495,-6.821682,760,1147,11,602,17.684887,46.522556,3051,947,1904,2.630639,5558,,11
12/31/2016 00:00:00,,3.443,3064,448,-4.575834,724,755,165,1035,13.50618,48.801743,3583,1223,2828,3.61329,6121,,165
12/31/2017 00:00:00,,2.05,3132,409,13.506479,687,730,76,982,11.796943,58.137882,3351,1277,2621,4.928216,6055,,76
12/31/2017 00:00:00,,2.05,3107,,,,,,,,,,,,,6055,,
