Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/2003 00:00:00,0.5,,512,123.800003,,336.600006,24.3,365.700012,1406.900024,,,2197.600098,566.799988,2173.300018,,537,,365.700012
12/31/2004 00:00:00,0,,480.7,19.1,,301.7,-1.5,37.2,1824.5,0.868932,,2198.6,174.8,2200.1,192.815794,514,,37.2
12/31/2005 00:00:00,0,,491.1,64.4,,317.1,676.5,56.6,908.9,3.049676,,2024.8,210.1,1348.3,6.256889,479,,56.6
12/31/2006 00:00:00,,,500.1,127.7,0.875808,338.5,716.5,11.8,910.6,6.387555,18.33453,1973.6,167.8,1257.1,2.870352,407,469,11.8
12/31/2007 00:00:00,,1.850751955113,576.5,96.3,-4.91543,388.1,733.4,93.7,1483.5,4.012416,13.296514,2826.5,322.4,2093.1,3.313842,496,,93.7
12/31/2008 00:00:00,,1.911132214925,996.7,355.3,25.970436,531.2,933.7,204.4,1370.2,12.394258,42.699195,2906.8,460.5,1973.1,3.445079,1233,,204.4
12/31/2009 00:00:00,0,2.112422443356,1038.1,152.7,-0.052585,587.5,970,109.4,1403.5,5.254284,16.059315,2905.6,364.5,1935.6,3.056423,1244,,109.4
12/31/2010 00:00:00,4.4,2.28453033212,1171.6,260.9,8.952612,694,1088.7,58.6,1402.3,8.605449,25.360875,3158,467.3,2069.3,2.947072,1355,,58.6
12/31/2011 00:00:00,6.3,2.194102160014,1408.5,249.3,6.322754,710.8,1081.1,361.5,1188.9,7.592392,22.996034,3409.1,966.3,2328,3.028826,1543,,361.5
12/31/2012 00:00:00,12.8,2.529801867641,1337.8,217.1,1.668934,599.5,1125.9,52.4,1769,6.062468,19.69161,3753,665.7,2627.1,3.248118,1616,,52.4
12/31/2013 00:00:00,14.4,2.243899025034,1261.9,102,-9.846997,468.1,1047.8,399.1,1558,2.676533,9.390968,3868.8,1038.8,2821,3.508631,1622,,399.1
12/31/2014 00:00:00,20,4.273287044512,1285.9,340.5,10.859738,698.5,1183.1,118.1,1987,8.554524,30.536747,4091.9,682.7,2908.8,3.569661,1592,,118.1
12/31/2015 00:00:00,13.6,3.981335274569,1274.1,281.4,4.141326,735.1,1249.9,129.4,2033.7,6.74982,23.142399,4246.1,719.6,2996.2,3.428595,1687,,129.4
12/31/2016 00:00:00,13.3,3.179740536862,1329,242.8,-0.091048,794.1,1240.3,103.8,2448,5.342487,19.509843,4843.3,748.9,3603,3.651828,1762,,103.8
12/31/2017 00:00:00,8,2.416444643434,1400.2,181.7,2.231797,724.2,1255.3,125.6,2439.9,3.707104,14.568634,4959.5,864.5,3704.2,3.929923,1854,,125.6
12/31/2017 00:00:00,,2.41644464343358,1400.2,181.8,,724.2,1255.3,125.6,2439.9,3.70914432611091,14.5766516998076,4959.5,864.5,3704.2,3.86114704614058,1854,,125.6
