Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/2001 00:00:00,,,451.399994,-14.7,,87.6,-235.7,37.099998,304,,,218.800003,134.300003,454.500004,,9967,96.5,37.099998
12/31/2002 00:00:00,,,461.100006,33.599998,,93.599998,-83.4,15,222.5,13.92169,,263.899994,104.599998,347.299999,,10762,104.800018,15
12/31/2003 00:00:00,,,471.100006,48.1,,93.6,-35.8,17.5,196.199997,17.522769,,285.100006,109.599998,320.899995,,11540,106.899994,17.5
12/31/2004 00:00:00,,,499.6,52,,101.6,13.7,14,150.9,17.878631,,296.6,114.8,282.9,,12717,114.6,14
12/31/2005 00:00:00,,,580.1,57.1,128.213689,109.2,59.7,15.3,175.4,16.361032,190.651085,401.4,143.9,341.7,11.652755,14531,132.5,15.3
12/31/2006 00:00:00,,,664.5,63.8,54.753877,128.2,105.2,13.6,164.8,15.285098,86.041807,433.4,143.5,328.2,5.62913,18198,140.9,13.6
12/31/2007 00:00:00,,1.019,775.4,73.2,34.458941,151.7,175.8,13.7,217.5,14.184672,56.178051,598.7,191,422.9,3.960476,21303,159.5,13.7
12/31/2008 00:00:00,,1.227,1003.5,93.8,30.056664,204.8,257.7,14,407.6,12.040306,46.21828,959.4,265.6,701.7,3.83863,23841,210.9,14
12/31/2009 00:00:00,0,1.384,1237.3,114.7,26.358792,250.9,339.3,8.2,327.4,11.975985,40.746004,956.1,257.6,616.8,3.402309,24580,271.9,8.2
12/31/2010 00:00:00,0,1.575,1374.2,128.6,21.456037,274.7,482,93.6,293.1,12.170539,32.965906,1157.2,360.9,675.2,2.708664,,,93.6
12/31/2011 00:00:00,0,1.682,1749.4,138.8,17.301814,319.5,546.5,38.7,723.9,9.592923,28.286122,1736.6,395.4,1190.1,2.948645,30521,,38.7
12/31/2012 00:00:00,0,5.298,2054.3,173.8,18.731013,379.4,654.9,0.8,716.4,9.731515,30.170992,1835.3,406.1,1180.4,3.100339,33747,,0.8
12/31/2013 00:00:00,0,3.241,2184.4,200.5,18.543533,403.4,756.7,15.4,719.2,10.649599,29.437674,1930.1,399.9,1173.4,2.764205,36864,,15.4
12/31/2014 00:00:00,0,2.011,2093.3,176.3,12.886598,373.7,806.7,89.8,663.2,8.928843,23.301612,2018.9,468.4,1212.2,2.609701,38407,,89.8
12/31/2015 00:00:00,0,2.7,2166.3,-360.5,,-176.9,339.4,121.8,794.7,-18.899083,-66.013551,1796.1,561.7,1456.7,3.49295,41434,,121.8
12/31/2016 00:00:00,0,5.422,2567,255,35.118845,473,602.4,103.4,815.9,12.936282,58.000682,2146.3,600,1543.9,4.483566,42452,,103.4
12/31/2017 00:00:00,0,11.683,2769.1,287.4,27.007985,532.1,744.2,77.1,604,13.689952,44.997651,2052.4,608.3,1308.2,3.286911,43000,,77.1
12/31/2017 00:00:00,0,11.683,2769.1,287.4,22.3743988570023,532.1,744.2,77.1,604,13.6899516517017,44.9976514795679,2052.4,608.3,1308.2,3.10127060959008,43000,,77.1
