Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/2007 00:00:00,,,273.431,41.818,,105.366,47.763,,595.88,,,956.154,196.68,908.391,,474,,
12/31/2008 00:00:00,,,236.959,-15.598,,91.552,40.583,12.035,587.077,-1.667702,-35.311163,914.444,189.395,873.861,21.173545,496,,12.035
12/31/2009 00:00:00,,1.702977,214.619,8.598,19.767335,93.774,46.409,0,627.711,0.936931,19.767335,920.909,165.002,874.5,21.097952,485,,0
12/31/2010 00:00:00,,1.504996,318.8,32.5,0.640572,111.7,390.7,7,281.5,3.535281,10.111894,917.7,188.8,527,4.206294,444,,7
12/31/2011 00:00:00,,1.330324,346.9,51.4,3.851196,124.1,424.6,0,141.4,6.096548,12.608856,768.5,149.2,343.9,2.068196,409,,0
12/31/2012 00:00:00,,1.633857,346.4,56.2,3.621548,121,459,3.1,77.3,7.418652,12.720688,746.6,173.5,287.6,1.71469,432,,3.1
12/31/2013 00:00:00,,1.789,388.8,88.6,6.805798,156.8,513.7,10.2,11,11.991609,18.217333,731.1,184,217.4,1.519173,455,,10.2
12/31/2014 00:00:00,,2.957,388.3,125.8,2.400218,181,586.2,3,0,16.817058,22.874807,765,164.2,178.8,1.360215,459,,3
12/31/2015 00:00:00,0,2.716,403.5,132.1,2.623833,168.3,602.9,9.9,0,17.027584,22.218485,786.6,173.8,183.7,1.304852,436,,9.9
12/31/2016 00:00:00,0,2.437,401.8,136.3,2.011044,176.1,610.4,13.4,0,17.170572,22.46765,801,182.2,190.6,1.308497,463,,13.4
12/31/2017 00:00:00,0,3.804,460.2,154.8,0.893867,196.9,640.3,36.6,0,18.306528,24.754138,890.2,240.1,249.9,1.352203,504,,36.6
12/31/2017 00:00:00,0,3.804,460.2,154.8,-12.0148177247157,196.9,640.3,36.6,0,18.3065279091769,24.7541376828976,890.2,240.1,249.9,1.3977105478332,504,,36.6
