Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1988 00:00:00,,,4891.165039,294.894012,,,3516.225098,17096.839844,1237.737061,,,60867.601562,,57351.378662,,2430,,17096.839844
12/31/1989 00:00:00,,,5453.391113,13.605,-1.337521,,3439.894911,18088.283203,1588.987061,0.022348,0.392219,60889.59375,,57449.699951,17.550693,2935,,18088.283203
12/31/1990 00:00:00,,,6457.75293,-203.957001,,,3345.703054,17673.501953,1526.712036,-0.321296,-6.04636,66069.507812,,62723.80188,18.818684,2925,,17673.501953
12/31/1991 00:00:00,,,6566.707031,44.063999,-0.840191,,3348.254112,22490.789062,1508.511963,0.068295,1.325249,62971.445312,,59623.190637,19.404888,2871,,22490.789062
12/31/1992 00:00:00,,,5620.907227,-923.538025,,,2558.047039,12733.81543,1551.859009,-1.589144,-31.58135,53259.453125,,50701.410059,19.873187,2852,,12733.81543
12/31/1993 00:00:00,,,6629.479004,423.415985,15.941599,,2821.978073,11291.257812,876.427002,0.770746,15.941599,56612.253906,,53790.277269,20.683333,2673,,11291.257812
12/31/1994 00:00:00,,,4334.354004,80.297997,0.812436,,2843.243923,6666.621094,914.906982,0.152679,2.874126,48572.828125,,45729.584618,18.824579,2683,,6666.621094
12/31/1995 00:00:00,,,4922.299805,723.599976,20.125795,,3721.100048,5222.799805,724.599976,1.452188,22.34964,51083.699219,,47362.598413,15.390323,2668,,5222.799805
12/31/1996 00:00:00,,,4346.100098,640.099976,13.905284,,4286.900047,7199.799805,501,1.1612,16.18028,59164.300781,,54877.400681,13.934101,2674,,7199.799805
12/31/1997 00:00:00,,,4287.01709,435.649994,7.324257,,4769.005986,9472.616211,425.101013,0.712772,9.738478,63076.820312,,58307.809571,13.662831,2657,,9472.616211
12/31/1998 00:00:00,,,4737.457031,504.742004,7.617077,,5298.770066,13920.339844,578.955017,0.72125,10.151128,76886.28125,,71587.51889,14.074352,2699,,13920.339844
12/31/1999 00:00:00,,,5541.171875,898.236023,14.559077,,5322.462019,18837.759766,1442.189941,1.062058,17.06718,92263.8125,,86941.358246,16.069913,2923,,18837.759766
12/31/2000 00:00:00,,,7566.520996,1083.218018,19.71819,,5725.810167,18176.449219,29208.550781,0.9873,19.71819,127166.5,,121440.709625,19.971827,3107,,18176.449219
12/31/2001 00:00:00,,,8151.266113,619.40802,10.543312,,6089.786083,17214.210938,37511.070312,0.476097,10.543312,133036.09375,,126946.288544,22.145314,3044,,17214.210938
12/31/2002 00:00:00,,,8167.15,511.139,8.051864,,6641.356,20480.1,41121.7,0.357204,8.051864,153153,,146511.451,22.541381,3327,,20480.1
12/31/2003 00:00:00,,,7690.76,1283.7,17.735249,,7864.772,12676.4,10053.3,0.952406,17.735249,116417,,108552.089,18.621528,3547,,12676.4
12/31/2004 00:00:00,,,6635.612,1401.568,17.960601,,7858.341,12452.816,14651.847,1.160285,17.960601,125173.247,,117314.906,15.47947,3559,,12452.816
12/31/2005 00:00:00,,,7560.506,1691.79,20.003286,,9223.354,17007.997,18525.562,1.269622,20.003286,141329.727,,132106.373,15.75531,4026,,17007.997
12/31/2006 00:00:00,,,9475.299,2106.558,22.500269,,9636.979,17535.903,28711.037,1.395136,22.500269,160656.376,,151019.397,16.127656,4216,,17535.903
12/31/2007 00:00:00,,,11111.69,1715.422,17.835519,,9703.602,31561.843,38192.093,0.91505,17.835519,214278.712,,204575.11,19.491303,4145,,31561.843
12/31/2008 00:00:00,,,13623.879,972.861,9.569913,,10722.362,31967.236,40206.734,0.431303,9.569913,236847.684,,226125.322,22.188372,,,31967.236
12/31/2009 00:00:00,,,10386.025,463.909,4.005568,,12522.612,17081.169,53552.988,0.201106,4.005568,224509.979,,211987.367,19.917693,3995,,17081.169
12/31/2010 00:00:00,,,8632.683,757.222,5.868608,,13351.665,20404.525,48639.731,0.323168,5.868608,244114.22,,230762.555,18.159612,3886,,20404.525
12/31/2011 00:00:00,,6.5,9058,490,3.61182,,13846,24430,40202,0.190538,3.61182,270220,,256374,18.955947,3802,,24430
12/31/2012 00:00:00,,6.5,9489,592,4.02461,,15642,32782,37663,0.224044,4.02461,258247,,242605,17.963459,3728,,32782
12/31/2013 00:00:00,,6.7,9839,1807,10.934285,,17479,33761,29409,0.694665,10.934285,262004,,244525,15.740379,3796,,33761
12/31/2014 00:00:00,,6.7,16118,3088,13.72231,,27561,30390,253307,0.768462,13.72231,541679,,514118,17.856844,4191,,30390
12/31/2015 00:00:00,,7.5,16576,2476,6.871366,,30040,23286,280747,0.456373,8.597073,543399,,513359,18.837833,4021,,23286
12/31/2016 00:00:00,,7.2,15254,3116,8.494057,,32514,19941,324371,0.551455,10.128033,586703,,554189,18.502603,3981,,19941
12/31/2017 00:00:00,,8.1,15198,3143,8.020805,,34604,17959,345844,0.530848,9.676345,597440,,562836,18.777739,3932,,17959
12/31/2017 00:00:00,,8.1,15198,3143,,,34604,17959,345844,0.530848047913132,9.6763451261477,597440,,562836,18.5334023172319,3932,,17959
