Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1992 00:00:00,,,4451.49142,183.031288,,,1992.335365,21318.060717,2024.755577,,,57154.256704,,55161.921557,,11604,,21318.060717
12/31/1993 00:00:00,,,5575.855109,242.319285,5.577973,,1966.872475,26406.399123,6155.886449,0.40697,13.3181,61930.477022,,59963.607749,32.725055,11646,,26406.399123
12/31/1994 00:00:00,,,4962.392228,260.201438,8.229668,,2096.056146,28098.452153,5006.792283,0.406954,13.774144,65947.064817,,63851.007775,33.846925,11749,,28098.452153
12/31/1995 00:00:00,,,5687.686462,286.34428,8.357591,,2269.413099,29857.197836,12470.03587,0.402768,13.873219,76241.103721,,73971.691809,34.444684,12218,,29857.197836
12/31/1996 00:00:00,,,5951.023754,325.028064,8.68155,,2497.232295,30988.143872,18084.890828,0.391481,14.372042,89809.196354,,87311.964385,36.711936,12859,,30988.143872
12/31/1997 00:00:00,,,9404.001993,707.081565,16.869293,,4904.010592,73644.629759,3973.998526,0.588051,19.95924,150673.886152,,145769.870913,33.941342,12767,,73644.629759
12/31/1998 00:00:00,,,10355.762068,797.768472,12.36511,,5322.913465,46681.424595,15698.712689,0.534699,16.054242,147725.378595,,142402.450025,30.02484,22247,,46681.424595
12/31/1999 00:00:00,,,10763.599609,969.700012,13.062719,,7792,39794,9677,0.638079,20.547668,156218,,148426,32.202368,27292,,39794
12/31/2000 00:00:00,,,13025.44043,1820.699951,27.952572,,7666,38190,11811,1.058928,36.450449,187658,,179992,34.422022,34759,,38190
12/31/2001 00:00:00,,,14659.879883,1022.35199,8.661171,,9753.992126,40492.429688,8661.848633,0.492205,15.363468,227759.203125,,218005.236328,31.213559,47078,,40492.429688
12/31/2002 00:00:00,,,12810,1034.199951,7.206317,,10395.900116,40265.601562,5677.5,0.460166,12.956838,221730.5,,211334.598633,28.156864,48243,,40265.601562
12/31/2003 00:00:00,,,11291.5,1119,7.066173,,10973.299774,39338,6319,0.500316,12.732766,225586.796875,,214613.505859,25.449447,46643,,39338
12/31/2004 00:00:00,,,14326,1615,,,14099,102927,6768,0.632404,15.040185,285163,,271064,23.782574,47086,,102927
12/31/2005 00:00:00,,,15414,2249,9.820746,,17466,150946,6314,0.736214,16.019089,325801,,308335,21.758752,50479,,150946
12/31/2006 00:00:00,,,18595,3430,9.192932,,18452,59108,6253,1.053438,20.807425,325400,,306948,19.751918,51622,,59108
12/31/2007 00:00:00,,,22265,3281,11.491061,,18487,138220,7570,0.963587,18.983973,355597,,337110,19.701354,55888,,138220
12/31/2008 00:00:00,,,18322,-2484,,,15376,114890,9726,-0.698819,-15.741944,355317,,339941,22.526506,59150,,114890
12/31/2009 00:00:00,,,11098,-2466,,,17177,30629,25440,-0.725777,-20.659322,324231,,307054,28.465128,54185,,30629
12/31/2010 00:00:00,,,13575,1860,10.093633,,18673,14478,23281,0.576696,12.158785,320823,,302150,31.000288,52949,,14478
12/31/2011 00:00:00,,0.727605,14173,13,,,16772,20341,20655,0.004289,-6.28648,285382,,268610,29.002249,47530,,20341
12/31/2012 00:00:00,,1.072235,13796,612,,,15959,25098,18896,0.225719,-3.486935,256886,,240927,24.81435,48026,,25098
12/31/2013 00:00:00,,0.927481,12620,1015,3.611436,,14514,16170,20701,0.409628,3.611436,238686,,224172,20.714429,38167,,16170
12/31/2014 00:00:00,,1.240169,10947,1763,4.39261,,16521,16065,16290,0.728723,11.093744,245174,,228653,19.392409,36177,,16065
12/31/2015 00:00:00,,1.267228,10612,2639,11.527147,,15811,17547,16098,1.060841,11.527147,252356,,236545,18.069003,36199,,17547
12/31/2016 00:00:00,,1.518568,10190,2427,7.929399,,17357,22053,15998,0.920092,15.641465,275200,,257843,17.372102,38356,,22053
12/31/2017 00:00:00,,1.621165,10812,2575,7.571942,,18803,28876,15653,0.907422,15.125899,292342,,273539,17.01265,42000,,28876
12/31/2017 00:00:00,,1.621165,10813,2575,,,18803,28876,15653,0.907421829573847,15.1258992805755,292342,,273539,17.1257048189269,42000,,28876
