Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/2007 00:00:00,96.959,,4312.165,-62.73,,462.595,310.758,271.315,3452.253,,,6104.093,1350.946,5793.335,,19764,1002.929,271.315
12/31/2008 00:00:00,92.264,,4554.181,-50.406,,707.576,123.571,424.709,3609.689,-0.819956,-24.604796,6190.711,1460.134,6067.14,30.007454,21417,1129.089,424.709
12/31/2009 00:00:00,100.526,,3084.343,-367.514,,174.944,-213.043,322.998,3891.597,-6.122393,,5814.856,1154.358,6027.899,,19953,600.169,322.998
12/31/2010 00:00:00,103.255,,3534.474,-198.655,,373.373,-399.922,357.022,3798.764,-3.432841,,5758.939,1358.935,6158.861,,19968,850.121,357.022
12/31/2011 00:00:00,119.526,,4368.395,-95.093,,552.97,-487.587,457.757,3891.617,-1.608308,,6066.286,1711.401,6553.873,,21862,1112.017,457.757
12/31/2012 00:00:00,124.5,1.847451,4726.7,159.3,,902.9,660.7,197.6,2629.9,2.594571,,6213.2,1623.5,5552.5,76.825534,21215,1295.9,197.6
12/31/2013 00:00:00,113.6,2.949832,4494.6,138.8,9.232131,705.2,1610,440.8,1374.8,2.268048,12.285904,6026.4,1705.3,4416.4,5.416951,22273,1239.4,440.8
12/31/2014 00:00:00,125.7,2.028616,4677.9,176.7,7.539731,736.5,1647.1,508.8,1108.5,2.907469,10.884563,6128.5,1793,4481.4,3.743655,22669,1340.5,508.8
12/31/2015 00:00:00,89.7,5.317,5097.9,217.1,8.102676,825.6,1848.7,357.2,1174.9,3.454613,12.466981,6440.2,1731.5,4591.5,3.608792,23506,1442.8,357.2
12/31/2016 00:00:00,96.5,5.209,5587.2,245.5,7.323944,886.1,2495.7,579.1,3611,2.768193,11.336874,11297,2672.5,8801.3,4.095405,30544,1552.6,579.1
12/31/2017 00:00:00,137,4.185,7653.6,424.8,10.936391,1177.8,3148.8,576.8,2823,3.771742,15.078802,11228.4,2849.6,8079.6,3.997835,31064,1954.5,576.8
12/31/2017 00:00:00,137.000002288818,4.185,7653.6,424.8,,1177.8,3148.8,576.8,2823,3.77174212222646,15.0788016470254,11228.4,2849.6,8079.6,3.64230981525374,31064,1954.49998779297,576.8
