Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
3/9/1989 00:00:00,,,4394.195367,270.126625,,135.509009,581.762046,0,166.371499,,,2136.676171,881.994322,1554.914226,,7604,,0
3/8/1990 00:00:00,,,4967.026691,28.390122,3.198973,112.450449,693.724728,20.788027,167.044251,1.262372,4.481555,2361.22397,926.883663,1667.499207,3.550106,7704,,20.788027
3/7/1991 00:00:00,,,5135.231371,42.635639,3.39015,113.190475,711.132199,46.571236,216.222394,1.813408,6.108728,2341.041419,819.092037,1629.909216,3.368644,8111,,46.571236
3/5/1992 00:00:00,,,4790.597556,50.67502,-3.787632,126.4605,740.094156,33.01529,279.309681,2.12969,7.025602,2417.869631,814.904174,1677.775496,3.298885,7983,,33.01529
3/4/1993 00:00:00,,,4480.661043,29.987908,2.500773,118.269747,715.48827,181.037488,305.664742,1.220209,4.145981,2497.338426,882.683909,1781.850213,3.397763,6816,,181.037488
3/10/1994 00:00:00,,,4342.931884,59.975816,4.904097,112.366355,752.876434,218.139741,92.839735,2.343162,8.222558,2621.881586,1198.3894,1869.005127,3.509171,6227,,218.139741
12/31/1994 00:00:00,,,4551.249384,78.29148,6.680731,143.245659,823.145333,88.483664,53.90423,3.221353,9.997423,2238.900924,796.167973,1415.755459,3.103486,5701,,88.483664
12/31/1995 00:00:00,,,4446.636494,108.397119,8.545743,141.378772,907.054314,31.400685,47.445815,4.851026,12.613512,2230.138234,751.665514,1323.083979,2.600174,5833,,31.400685
12/31/1996 00:00:00,,,4924.306958,80.948847,4.644428,145.247089,1286.015342,63.709584,91.124217,3.429455,7.42959,2490.661333,925.924959,1204.645992,2.166405,6503,,63.709584
12/31/1997 00:00:00,,,5856.993433,88.483664,3.284307,186.58769,1368.107832,56.965253,33.233935,3.486634,6.763775,2584.930665,982.755725,1216.822859,1.939915,10672,,56.965253
12/31/1998 00:00:00,,,5992.367632,113.880041,3.875658,169.1466,1434.205695,17.054256,10.427651,4.440291,8.297997,2544.464716,904.02694,1110.258967,1.868796,,,17.054256
12/31/1999 00:00:00,0,,6110.700195,84.900002,2.803871,173.399994,1448.099976,11.2,62.799999,3.320006,5.981121,2570,966.599976,1121.899975,1.801539,10993,,11.2
12/31/2000 00:00:00,0,,6307.600098,90.5,3.227871,224.400002,1396.900055,241,63.700001,3.521264,6.434412,2570.199951,1036.599976,1173.299976,1.827302,11099,,241
12/31/2001 00:00:00,0,,6214.100098,54.900002,0.056607,178,1363.099981,302.700012,70.400002,2.13731,4.025517,2567.100098,1061,1204,1.883451,11544,,302.700012
12/31/2002 00:00:00,0,,6466.399902,67.800003,-1.717547,198.600006,1391.699987,235.600006,130.5,2.60985,4.993556,2628.600098,1029,1236.900002,1.913349,12217,,235.600006
12/31/2003 00:00:00,0,,7070.200195,96.099998,-6.293878,249.5,1415.000061,211.600006,103.400002,3.568577,7.00616,2757.300049,1153.099976,1342.29998,1.963292,15219,,211.600006
12/31/2004 00:00:00,0,,7508.5,176.3,5.886538,368.9,1406.6,244,425.3,5.918491,12.791583,3200.3,1225.6,1793.7,2.161291,22146,998.5,244
12/31/2005 00:00:00,0,,8321.7,181.3,5.225817,319.5,1507.9,275.1,479.5,5.340757,12.66371,3589,1432.3,2081.1,2.371145,26978,1184.9,275.1
12/31/2006 00:00:00,0,,8749.2,368.7,8.908123,522.5,1777.1,293,316.8,9.969985,22.820537,3807.2,1561,2030.1,2.288924,23755,1275,293
12/31/2007 00:00:00,0,,9287.2,285,5.767846,428.3,1964.3,311.2,314.2,7.215281,15.578027,4092.7,1657.5,2128.4,2.159033,25890,1330.2,311.2
12/31/2008 00:00:00,0,0.83856,9591.5,219.7,5.11322,310.7,2026.4,293.6,196.9,5.503093,11.340233,3891.9,1502.9,1865.5,2.060701,24668,1298.8,293.6
12/31/2009 00:00:00,0,0.744564,8446.8,125.2,1.846258,349.2,2069.3,194.2,244.9,3.237778,6.306511,3841.8,1360.9,1772.5,1.94779,22200,1149.2,194.2
12/31/2010 00:00:00,0,0.85516,8776.8,204.5,3.670002,423,2209.9,241.5,224.6,5.100832,9.84072,4176.5,1616.6,1966.6,1.929238,22124,1230.1,241.5
12/31/2011 00:00:00,0,1.00238,9460.4,181.5,2.957211,405.4,2233,189.7,202.7,4.338784,8.390929,4189.9,1624.9,1956.9,1.933936,18960,1297.2,189.7
12/31/2012 00:00:00,0,1.196323,9685.9,124.4,0.304803,366.7,2272.1,174.1,440.8,2.902507,5.680106,4382,1546.3,2109.9,1.956965,24080,1319,174.1
12/31/2013 00:00:00,0,1.28258,9315.2,173.1,1.520783,400,2352.5,192.6,348.4,3.959422,7.719236,4361.7,1556.9,2009.2,1.949586,23863,1281.4,192.6
12/31/2014 00:00:00,0,1.2813,9070.6,96,-2.354162,302.1,2265.5,179.1,318.5,2.243148,4.30175,4197.7,1506.3,1932.2,1.917729,23794,1238.3,179.1
12/31/2015 00:00:00,0,1.0185,8678.9,101.6,-6.728564,322.2,2241.9,180.8,258.3,2.437328,4.674166,4139.3,1509,1897.4,1.917742,21935,1138.5,180.8
12/31/2016 00:00:00,0,0.002174,10180.4,98.6,-4.767909,284.4,2126.3,156,358.7,2.307242,4.703637,4407.7,1818.8,2281.4,2.03864,27656,1461.7,156
12/31/2017 00:00:00,0,2.8494,10675.9,257.8,1.873655,463.8,2232.1,404.6,129.3,5.806764,12.386787,4471.6,2001.2,2239.5,2.133165,24983,1513.6,404.6
12/31/2017 00:00:00,0,2.8494,10676,258,,463,2232.1,404.6,129.3,5.81126890633271,12.3963963963964,4471.6,2001.2,2239.5,2.12126103883772,24983,1513,404.6
