Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1989 00:00:00,47.193142,,5781.613733,662.519115,,2107.355324,4768.322511,101.646768,3305.788874,,,11051.817163,1598.213921,6283.494652,,94500,,101.646768
12/31/1990 00:00:00,50.823384,,6157.343752,710.619818,8.628207,2341.052135,5144.96009,146.57101,3563.989817,6.24066,14.374226,11722.050542,1732.532865,6577.090452,2.303318,96254,,146.57101
12/31/1991 00:00:00,57.176307,,6570.737529,730.132368,8.240982,2394.14442,5490.286834,269.091668,3346.629094,6.196923,13.769201,11842.302299,1797.877216,6352.015465,2.221942,100664,,269.091668
12/31/1992 00:00:00,58.537648,,7088.954536,755.09028,7.995514,2671.404132,5870.554656,236.419493,3264.041094,6.262231,13.331197,12273.393505,1848.7006,6402.838849,2.128826,101959,,236.419493
12/31/1993 00:00:00,54.453626,,7371.65961,814.535488,6.706793,2879.235471,6298.92318,255.478262,2210.363433,6.824965,13.421062,11595.899642,1729.356404,5296.976462,1.966466,94314,,255.478262
12/31/1994 00:00:00,53.092285,,8102.699539,923.44274,6.88852,3038.058547,6595.695441,219.175844,2078.31339,7.838077,14.362847,11967.091859,1840.078776,5371.396418,1.832445,92787,,219.175844
12/31/1995 00:00:00,61.260329,,8691.706259,1024.181948,7.055831,3244.528545,7013.17324,458.318018,1992.548929,8.166736,15.109118,13114.702025,2361.018464,6101.528786,1.85008,90251,,458.318018
12/31/1996 00:00:00,0,,6554.855221,1117.206892,9.382914,2895.571559,7709.725871,517.763227,2249.842311,8.491851,15.207857,13197.743805,2323.808487,5488.017933,1.790877,36111,,517.763227
12/31/1997 00:00:00,,,6920.148295,1220.668781,9.272046,2809.353318,8391.757536,465.124721,2184.95174,9.098596,15.16219,13634.280373,2424.093914,5242.522836,1.666432,34257,,465.124721
12/31/1998 00:00:00,56.722527,,7478.297961,687.477027,2.575652,2986.327602,5913.663776,736.485291,3469.603532,5.043192,9.611115,13629.28879,3652.023179,7715.625014,1.90576,36073,,736.485291
12/31/1999 00:00:00,55.814999,,8099.977051,828.148987,5.231562,2777.588257,6388.317974,328.990662,5404.068359,5.2382,13.490663,17990.570312,5626.874512,11602.252136,2.575439,38550,,328.990662
12/31/2000 00:00:00,57,,10554,1874,17.840131,3403,16352,4867,20045,5.245217,17.840131,53465,8959,37113,3.401219,45151,,4867
12/31/2001 00:00:00,46,,11734,-7495,,3589,12172,5724,16747,-15.847844,-56.283558,41122,10930,28950,3.551496,49121,,5724
12/31/2002 00:00:00,32,,11788,-9542,,4249,4780,2360,12648,-28.791696,-115.688652,25161,6433,20381,4.018126,,,2360
12/31/2003 00:00:00,23,,11870,2731,36.123725,4985,7359,952,9207,11.082255,46.79976,24125,4377,16766,4.222946,,,952
12/31/2004 00:00:00,24,,11746,1707,13.522973,4762,6411,2126,6787,7.060283,25.422593,24230,5522,17819,3.600789,31116,,2126
12/31/2005 00:00:00,20,,11811,1437,8.710986,4634,5104,2020,7238,6.123754,25.339446,22702,5407,17598,4.137895,29286,,2020
12/31/2006 00:00:00,17,,11941,1583,13.202459,4837,4196,642,8426,7.202002,34.149498,21258,3849,17062,4.741668,28368,,642
12/31/2007 00:00:00,16,5.415415,12461,2652,38.480138,4900,4518,2301,9454,11.516665,61.070812,24797,6970,20279,5.302821,47000,,2301
12/31/2008 00:00:00,33,5.298159,14427,1332,7.381565,5058,3759,1165,10876,5.469103,32.408759,23913,5797,20154,5.925791,36702,,1165
12/31/2009 00:00:00,32,3.175223,13451,2178,27.856497,5192,3841,869,12502,8.932819,57.55814,24851,5221,21010,6.443446,33148,,869
12/31/2010 00:00:00,82,3.425123,13324,1793,14.579234,5476,3500,1178,11359,7.535513,48.868902,22737,5419,19237,6.485146,30599,,1178
12/31/2011 00:00:00,57,2.675905,13022,1549,10.332998,5138,2930,1458,11641,6.865526,48.180404,22387,5801,19457,7.017729,30941,,1458
12/31/2012 00:00:00,0,1.639777,9308,763,16.278339,3346,1334,1527,12369,3.414787,36.22122,22301,5863,20967,10.607168,26156,,1527
12/31/2013 00:00:00,0,1.420266,8443,-222,-6.796265,2883,5303,2008,11656,-0.921678,-6.796265,25872,6892,20569,7.373795,23451,,2008
12/31/2014 00:00:00,0,2.588461,7328,-598,2.559214,2866,4630,1044,9397,-2.691996,-12.175506,18556,3770,13926,4.522855,14280,,1044
12/31/2015 00:00:00,0,2.166,7006,638,-3.419781,2324,5051,847,8853,3.510027,13.354265,17797,3408,12746,3.804605,14855,,847
12/31/2016 00:00:00,0,2.616,6801,793,-69.520315,2429,3601,735,7897,4.87505,18.478388,14736,2628,11135,3.7904,13530,4670,735
12/31/2017 00:00:00,0,3.848,6497,483,-1.640637,2306,3358,18,7578,3.417533,13.881305,13530,1882,10172,4.06179,13275,4574,18
12/31/2017 00:00:00,0,3.848,6497,483,-51.3230723662365,2306,3358,18,7578,3.41753343239227,13.8813047851703,13530,1882,10172,3.98758314855876,13275,4574,18
