Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1988 00:00:00,17.226739,,2506.566741,305.355382,,737.548345,1590.805495,625.345869,1120.500277,,,4299.062286,1403.293204,2708.256791,,12034,1536.838543,625.345869
12/31/1989 00:00:00,18.59878,,2993.336453,446.980519,16.940283,975.67371,2313.261388,396.367445,967.289014,9.821129,23.483241,4803.363635,1319.751142,2490.102248,2.391094,13318,1946.621501,396.367445
12/31/1990 00:00:00,22.257557,,3023.36891,514.515433,15.049826,976.283506,2716.18414,1267.918476,1740.205532,8.838318,20.900421,6839.472709,2153.189919,4123.288569,2.364751,14297,1975.891712,1267.918476
12/31/1991 00:00:00,22.105107,,3359.366544,569.701977,14.149557,1112.572928,3182.220786,1372.346053,1992.356206,7.759229,19.711995,7845.026427,2381.558547,4662.805641,2.540458,14648,2191.149725,1372.346053
12/31/1992 00:00:00,23.934496,,3301.740815,458.414195,9.266558,,3306.619184,1241.697245,2214.321975,5.783638,14.400651,8007.079732,2164.471147,4700.460548,2.489895,15426,2155.934002,1241.697245
12/31/1993 00:00:00,26.678578,,3631.183142,544.852788,10.453473,1036.958215,3757.868275,1141.538241,1873.293524,6.747279,15.629168,8143.216705,2138.859712,4385.34843,2.316366,14874,2288.1073,1141.538241
12/31/1994 00:00:00,25.154088,,4263.541665,978.87514,17.636629,1204.804583,5501.122787,761.63529,1456.802809,10.977382,23.114583,9691.184026,2081.233983,4190.061239,2.105655,18779,2747.28374,761.63529
12/31/1995 00:00:00,27.135925,,4539.169488,616.961173,7.555909,1264.2597,5617.898734,730.993038,1201.908052,6.410937,12.915064,9555.961747,2064.007244,3938.063013,2.014536,19986,2991.049718,730.993038
12/31/1996 00:00:00,27.89817,,4747.567295,561.46973,5.746666,1220.049485,6096.741097,2485.681226,1256.179902,5.212985,11.137993,11985.236837,4018.708543,5888.49574,2.136586,20486,3123.223016,2485.681226
12/31/1997 00:00:00,26.221231,,7322.888543,690.28915,7.180836,1533.789562,6657.601032,2803.689876,1905.917614,5.14677,12.539463,14838.929991,5310.713964,8181.328959,2.436375,33511,4572.403374,2803.689876
12/31/1998 00:00:00,34.910825,,6935.972937,267.395576,-0.611426,1430.429129,6599.975303,3322.016535,1889.300671,1.733681,4.662785,16008.213953,6328.158706,9408.23865,2.689529,34866,4395.867412,3322.016535
12/31/1999 00:00:00,36.892662,,8547.2066,692.575885,6.32056,1878.781688,6717.818394,4600.453993,3490.930046,3.882309,12.175871,19670.344245,8373.719619,12952.525852,3.136245,41244,5415.29399,4600.453993
12/31/2000 00:00:00,,,11581,722,5.59686,2359,8512,5568,3498,3.368924,11.395549,23192,9562,14680,3.382548,47420,7360,5568
12/31/2001 00:00:00,27,,12229,10,-0.197286,2076,7070,4003,5686,0.043802,0.162588,22468,8293,15398,3.711893,54990,7575,4003
12/31/2002 00:00:00,36,,12693,556,2.658023,2144,8842,2578,4554,2.533895,9.011345,21417,6601,12575,3.556321,55812,8130,2578
12/31/2003 00:00:00,38,,11962,723,4.347039,2796,8769,2116,4207,3.446139,10.252411,20543,6118,11774,2.975043,56386,7791,2116
12/31/2004 00:00:00,38,,12481,1194,9.834766,2901,8675,2529,4188,5.184542,16.117711,25517,6076,16842,3.108801,56508,8108,2529
12/31/2005 00:00:00,38,,13910,1440,10.168459,3161,10484,2642,3747,5.376143,16.704367,28053,6591,17569,3.107128,,8909,2642
12/31/2006 00:00:00,43,,15306,1879,11.894005,3666,11594,2100,3235,6.660286,18.731931,28371,5942,16777,2.812481,64253,9825,2100
12/31/2007 00:00:00,46,4.121071,16481,2025,11.184609,4176,12528,3138,2477,6.89303,18.248997,30384,7413,17856,2.647456,71885,10695,3138
12/31/2008 00:00:00,43,4.098456,17193,2026,10.395999,4297,13793,1847,3738,6.549534,16.610642,31483,6615,17690,2.536156,77087,11181,1847
12/31/2009 00:00:00,45,4.023732,17053,1755,7.157895,3987,14785,1708,4077,5.519823,13.195489,32106,6048,17321,2.390564,77302,10889,1708
12/31/2010 00:00:00,46,4.048094,20320,3032,13.082243,4957,18204,1834,3432,8.75415,19.565077,37164,7060,18960,2.234949,83542,13136,1834
12/31/2011 00:00:00,63,4.531565,23659,3065,8.927008,6153,23512,3134,4132,7.277433,15.460667,47069,9594,23557,2.124467,97559,15567,3134
12/31/2012 00:00:00,69,3.519516,28103,3424,8.422452,7038,25508,2976,3836,7.054921,14.609067,49998,9482,24490,2.070763,106348,18186,2976
12/31/2013 00:00:00,71,3.751201,29016,3436,7.347541,7356,27907,4674,4149,6.472394,13.394928,56176,11639,28269,2.069548,114635,19019,4674
12/31/2014 00:00:00,79,3.47759,30638,5648,16.619575,7331,23003,4189,5054,10.312403,23.222729,53362,12175,30359,2.251922,121289,19837,4189
12/31/2015 00:00:00,97,3.461739,35664,3573,7.756986,8478,25799,3769,4511,6.439984,15.500412,57601,12699,31802,2.406902,125346,23111,3769
12/31/2016 00:00:00,111,3.466974,37600,3981,7.777671,9044,27903,3447,3932,6.792182,15.694236,59622,12810,31719,2.310632,,24561,3447
12/31/2017 00:00:00,130,3.480413,42636,5129,9.467617,10491,30260,4530,7046,8.003308,18.568196,68550,15003,38290,2.320065,128637,27853,4530
