Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
3/31/1991 00:00:00,,,359.7,155.5,,296,3370.9,255.9,1012.9,,,4989.3,,1618.4,,476,,255.9
3/31/1992 00:00:00,,,406.7,164.6,1.776049,331.6,2800.1,304.1,1212.4,3.39336,5.33463,4712,,1911.9,1.572079,492,,304.1
3/31/1993 00:00:00,,,436.9,165.7,1.886086,357.7,2544.3,365.8,1149.8,3.626574,6.200883,4426.1,,1881.8,1.709846,,,365.8
3/31/1994 00:00:00,,,448.9,180.6,1.947511,368.6,3453.1,254.5,1318.8,3.686203,6.02261,5372.6,,1919.5,1.633825,537,,254.5
3/31/1995 00:00:00,,,460.4,179.7,1.494225,378.3,3533.8,254.9,1317.7,3.31113,5.143912,5481.7,361.7,1947.9,1.553522,,,254.9
3/31/1996 00:00:00,,,462.2,171.9,1.113583,378.3,3524.5,460.7,1306.5,3.075905,4.870861,5695.5,390.1,2171,1.583554,580,,460.7
3/31/1997 00:00:00,,,471,178.4,1.039449,381.5,4037.2,434.2,1415.2,2.964982,4.718516,6338.3,447.6,2301.1,1.591415,587,,434.2
3/31/1998 00:00:00,,,484,196.7,0.997931,387.5,5001.5,623.3,1029,2.929459,4.352396,7090.8,,2089.3,1.485734,,,623.3
3/31/1999 00:00:00,,,500.2,216.4,0.977855,400.9,5470.4,692.5,876.8,2.969774,4.132965,7482.7,424.8,2012.3,1.391677,494,,692.5
3/31/2000 00:00:00,,,528.2,252,1.533922,427.9,5781.8,690.6,865.7,3.299768,4.479124,7791.1,457.1,2009.3,1.357406,495,,690.6
3/31/2001 00:00:00,,,650.4,234.6,1.093257,459.2,6017.8,692.9,1064.2,2.879376,3.976406,8504.1,594.6,2486.3,1.380996,1096,,692.9
3/31/2002 00:00:00,,,1025.6,263.6,1.413592,535.1,6036.6,947.9,1062.6,3.034838,4.373507,8867.5,-325.3,2830.9,1.4411,1411,,947.9
3/31/2003 00:00:00,,,1239.5,229.9,0.816556,578.8,5563.1,1627.2,1061.5,2.572279,3.963896,9007.7,153.5,3444.6,1.541005,,,1627.2
3/31/2004 00:00:00,,,1481.1,288.3,1.680072,597.3,6038.5,1656.5,1021.1,3.086377,4.970004,9674.4,684.3,3635.9,1.610304,,,1656.5
3/31/2005 00:00:00,,,1627.1,1060.9,15.45232,513.3,6050.3,324.5,2118.6,10.476059,17.551783,10579.4,665.9,4529.1,1.675419,,,324.5
3/31/2006 00:00:00,,,1828.7,1675.9,21.219415,586.6,7493.9,241,3460.5,13.622545,24.747124,14025.4,844.2,6531.5,1.81663,1842,,241
3/31/2007 00:00:00,,1.268,1641.1,3528.3,36.152736,627.8,10791.3,531.9,4608.7,21.404197,38.591867,18942.9,,8151.6,1.803005,,,531.9
3/31/2008 00:00:00,,1.967,809.2,-830.8,,-620.8,9582.9,794,4632.5,-4.67281,-8.155412,16616,2361.5,7033.1,1.745291,193,,794
3/31/2009 00:00:00,,0.662,813.2,-5191.3,,-3694.6,4820.2,1.1,5449.5,-37.364014,-72.069358,11171.7,900.4,6351.5,1.928844,173,,1.1
3/31/2010 00:00:00,,1.24,827.5,1088.9,15.220576,1175.2,5689,0.5,3517.8,10.422789,20.714517,9722.9,817.7,4033.9,1.987426,174,,0.5
3/31/2011 00:00:00,,1.395,695.8,1241.6,15.559857,1224.2,6812.3,0.2,3384.1,12.17625,19.863375,10670.9,499.1,3858.6,1.631321,182,,0.2
3/31/2012 00:00:00,,1.35,671.5,522.9,4.254344,604.3,7155.6,23.3,3212.6,4.866336,7.487703,10819.6,402.3,3664,1.538674,178,,23.3
3/31/2013 00:00:00,,2.678,736.6,533,4.105968,653.9,7486.7,28.7,3722.7,4.715667,7.280376,11785.9,837.8,4299.2,1.54387,144,,28.7
3/31/2014 00:00:00,,2.274,716.5,1116.6,11.005344,1077.8,8418.3,30.1,3332.1,9.321468,14.040868,12171.7,844.7,3753.4,1.506294,156,,30.1
3/31/2015 00:00:00,,4.776,770.4,2416.8,22.762108,2239.5,10606.3,192.6,3591.1,17.869792,25.407104,14877.3,568.1,4271,1.421791,153,,192.6
3/31/2016 00:00:00,,2.011,942.5,1338,9.51796,1275.5,11698.9,16,2857,8.959631,11.997202,14990,327.2,3291.1,1.339029,149,,16
3/31/2017 00:00:00,,2.721,787,113,-1.65411,337,11516,435,2514,0.757525,0.973513,14844,713,3328,1.285123,638,,435
9/30/2017 00:00:00,,2.721,806.5,174.8,,581.4,10863,357,2781,1.17764363479573,1.56708757491405,14865,1146,4002,1.32753921086733,,,357
