Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1994 00:00:00,,,609.609715,73.517634,,410.200771,-122.061734,5.303631,240.526521,,,604.575562,486.107698,726.637287,,570,,5.303631
12/31/1995 00:00:00,,,749.803927,49.313078,,495.008761,7.162173,121.95232,284.342197,6.311753,,958.004015,666.499675,950.841872,,928,,121.95232
12/31/1996 00:00:00,,,865.034275,86.48707,,534.358825,93.845576,177.998604,332.665927,8.797239,171.171272,1008.228207,581.716721,914.382648,19.457386,1497,,177.998604
12/31/1997 00:00:00,,,952.185012,53.413641,15.694642,600.753636,407.021073,10.616465,265.871778,5.270975,21.319652,1018.480133,345.587282,611.45906,4.044727,1471,,10.616465
12/31/1998 00:00:00,,,1006.280217,78.276231,9.977756,216.825596,471.369719,76.693782,127.82297,7.914625,17.820165,959.534833,359.95869,488.16513,2.251549,1385,,76.693782
12/31/1999 00:00:00,,,2018.208112,99.268853,11.163569,293.268335,594.077691,416.64409,127.82297,7.252914,18.640158,1777.816046,1055.91485,1183.73782,2.570023,1774,,416.64409
12/31/2000 00:00:00,,,2155.218018,92.617996,5.833643,382.731995,647.235997,369.178986,206.858002,5.374086,14.918419,1669.020996,814.38501,1021.785011,2.775992,3187,,369.178986
12/31/2001 00:00:00,,,2014.786011,68.181999,5.997906,243.932999,649.757986,400.157013,604.888977,3.688437,10.483458,2028.046021,773.172974,1378.287951,2.842249,3029,,400.157013
12/31/2002 00:00:00,,,1895.093018,15.001,2.053373,152.055004,617.432993,83.095001,738.713989,0.792825,2.359271,1756.141968,399.044006,1138.708996,2.975777,3072,,83.095001
12/31/2003 00:00:00,,,1807.121948,39.380001,6.136976,235.551006,601.774994,2.825,724.747986,2.155447,6.455833,1897.855957,410.764008,1172.513992,2.995124,2899,504.73999,2.825
12/31/2004 00:00:00,,,1834.582031,133.630005,8.744831,378.352993,1004.103012,135.501007,438.429993,6.754051,16.662937,2059.177002,464.035004,934.043997,2.467103,2699,626.706055,135.501007
12/31/2005 00:00:00,,,1989.597,271.05,8.159884,418.413,1187.749,4.577,382.658,13.30061,24.725955,2016.576,316.152,828.827,1.859009,2788,714.373,4.577
12/31/2006 00:00:00,,,2095.134,240.667,3.903401,483.132,1240.524,232.957,183.959,12.18963,19.815004,1932.141,384.024,691.617,1.625562,3097,799.704,232.957
12/31/2007 00:00:00,,2.157,2710.421,89.445,-15.873809,522.559,1062.326,393.821,3577.297,2.255583,7.807133,5998.846,941.203,4936.52,3.461248,5930,1087.274,393.821
12/31/2008 00:00:00,,2.2,3054.241,-129.141,,833.821,478.923,948.706,3548.268,-2.165212,-17.079454,5929.869,1365.973,5450.946,7.88812,5847,1399.519,948.706
12/31/2009 00:00:00,0,3.1333,2760.8,146.6,26.86642,623,607,497.2,3534.9,2.422226,27.669592,6174.7,1414.6,5567.7,11.423209,4814,1155.6,497.2
12/31/2010 00:00:00,0,1.9268,2601,312.7,-0.678015,693.8,1025.9,246.4,3631.3,5.006805,38.686131,6316.3,1178.1,5290.4,7.72671,4117,1218.1,246.4
12/31/2011 00:00:00,0,1.9585,2199.2,637.5,4.229546,652.5,1441.4,14.3,2428,11.233579,52.068444,5033.6,774.3,3592.2,4.635072,2605,1013.8,14.3
12/31/2012 00:00:00,0,2.6811,2356.2,295,-53.920502,680.4,1500.9,248,2431.6,5.647987,20.155092,5412.6,1163.4,3911.7,3.568544,3026,1089.8,248
12/31/2013 00:00:00,0,3.2933,2605.3,312.1,3.895071,757.8,584.1,51.5,1924.5,6.959838,30.157503,3556,778.3,2971.9,4.333076,3590,1173.5,51.5
12/31/2014 00:00:00,0,27.4993,2875.7,346.3,4.467894,818.3,753.9,37.9,2051.9,9.288291,52.777566,3900.7,736.9,3146.8,5.682161,4210,1315.3,37.9
12/31/2015 00:00:00,0,4.1109,3260.7,390.9,0.603687,880.9,943,131,2991,8.487954,47.08504,5310,955,4367,5.547278,4880,1496.8,131
12/31/2016 00:00:00,0,6.0421,3799,402,0.719783,983,1432,108,3552,6.74893,34.506438,6603,1098,5171,5.112876,6054,1779,108
12/31/2017 00:00:00,0,2.8294,4078,471,2.73318,1083,1252,132,3598,7.150991,35.763098,6570,1281,5318,5.001139,6452,1688,132
12/31/2017 00:00:00,0,2.8294,4078,471,,1083,1252,132,3598,7.1509906627192,35.7630979498861,6570,1281,5318,5.48281786941581,6452,1688,132
