Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
9/30/1988 00:00:00,,,2124.5,192.600006,,,1277.400018,555.5,844.599976,,,21659.900391,,20382.499969,,22584,,555.5
9/30/1989 00:00:00,,,3202.600098,147.199997,6.899384,,1418.499982,580.299988,1235.699951,0.599646,10.983759,27435.699219,,26017.199524,18.329513,24378,,580.299988
9/30/1990 00:00:00,,,3900.300049,204,7.98077,,1516.200025,604.5,1107.199951,0.709174,13.273457,30096,,28579.799194,19.722224,23350,,604.5
9/30/1991 00:00:00,,,3860.899902,83.400002,0.784345,,1616.699966,628.099976,1136.199951,0.26784,5.032361,32180,,30563.299164,21.55401,23896,,628.099976
9/30/1992 00:00:00,,,3319.5,25.299999,-1.383605,,1777.600018,677.900024,1100.199951,0.075812,0.383905,34563.898438,,32786.300797,24.637837,23457,,677.900024
9/30/1993 00:00:00,,,3323,176,1.514268,,1902,3064,1502,0.488869,9.263756,37439,,35537,26.895857,22701,,3064
9/30/1994 00:00:00,,,3645,383,16.202346,,1912,8782,2314,0.926027,24.266862,45280,,43368,30.322214,26150,,8782
9/30/1995 00:00:00,,,4528,398,15.236788,,2183,8125,2717,0.824819,24.159231,51226,,49043,33.118051,25870,,8125
9/30/1996 00:00:00,,,4472,496,16.740088,,2660,10259,3737,0.883018,25.785609,61116,,58456,32.993245,23382,,10259
9/30/1997 00:00:00,,,5250,510,13.317365,,3232,10009,3833,0.762805,21.892216,72601,,69369,32.028024,26699,,10009
9/30/1998 00:00:00,,,6777,695,19.099344,,3045,10974,5405,0.91281,28.830052,79676,,76631,34.459606,29645,,10974
9/30/1999 00:00:00,,,6728,856,21.035664,,4348,12880,7144,1.015855,31.271408,88852,,84504,33.956881,36498,,12880
12/31/2000 00:00:00,,,20661,2169,8.77297,,23662,75422,16325,1.061009,16.843737,320004,,296342,18.642834,83300,,75422
12/31/2001 00:00:00,,,22114,2625,3.674338,,27253,89013,21531,0.762125,8.919938,368859,,341606,16.652074,99400,,89013
12/31/2002 00:00:00,,,22081,3074,3.072089,,28891,113322,21900,0.787338,8.600977,412000,,383109,17.037419,113500,,113322
12/31/2003 00:00:00,,,24087,3978,3.270548,,28811,119470,27236,0.918253,9.648973,454428,,425617,18.54512,119500,,119470
12/31/2004 00:00:00,,,28618,5112,10.578136,,37397,161267,57322,0.980672,17.014716,588122,,550725,18.264716,133300,,161267
12/31/2005 00:00:00,,,34734,5392,8.549178,,37544,151878,74671,0.790066,15.237958,776827,,739283,19.684872,137000,,151878
12/31/2006 00:00:00,,,39367,6202,8.300071,,45490,126632,93681,0.752552,15.889086,871432,,825942,21.784502,135000,,126632
12/31/2007 00:00:00,,4.19,45875,7549,9.200347,,91426,305276,156195,0.556657,15.660752,1840829,,1749403,29.081231,226400,,305276
12/31/2008 00:00:00,,1.552,55563,-23710,,,80498,403162,174936,-1.117742,-43.43576,2401652,,2321154,37.907387,199000,,403162
12/31/2009 00:00:00,,1.227,44650,-2672,,,94631,144601,305220,-0.130401,-5.280533,1696486,,1601855,29.997716,160900,,144601
12/31/2010 00:00:00,,3.267,37793,-1001,,,76851,109169,245425,-0.063554,-1.471858,1453576,,1376725,20.606419,148500,,109169
12/31/2011 00:00:00,,1.226,32662,-1997,,,76053,110152,188940,-0.134912,-2.663537,1506867,,1430814,19.742736,146800,,110152
12/31/2012 00:00:00,,1.646,25742,-5754,,,70448,84664,121365,-0.408206,-8.439201,1312295,,1241847,19.646139,123000,,84664
12/31/2013 00:00:00,,1.613,23248,-8597,,,59215,63351,91831,-0.734732,-14.118663,1027878,,968663,18.365822,118600,,63351
12/31/2014 00:00:00,,1.817,19720,-2771,,,58709,33976,73185,-0.266584,-6.060871,1051019,,992310,18.155513,91500,,33976
12/31/2015 00:00:00,,3.492,16876,-1594,,,54147,48839,50997,-0.170808,-3.624741,815408,,761261,17.092762,90158,,48839
12/31/2016 00:00:00,,3.702,16161,-5258,,,49404,55394,46664,-0.651523,-13.631909,798656,,749252,15.817954,77800,,55394
12/31/2017 00:00:00,,3.487,15909,1380,1.551491,,49093,39479,74652,0.179604,1.551491,738056,,688963,15.852361,71200,,39479
12/31/2017 00:00:00,,3.487,16063,1380,,,49093,39479,74652,0.179604245948493,1.55149114391525,738056,,688963,15.3497702404748,71200,,39479
