Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1988 00:00:00,,,781.979343,34.253465,,,714.528544,0,77.291652,,,4069.169168,,3354.640624,,736,,0
12/31/1989 00:00:00,,,1256.332351,32.166743,4.696178,,726.876914,0,74.852467,0.772243,4.828375,4261.559828,,3534.682914,6.252403,1051,,0
12/31/1990 00:00:00,,,1435.764844,16.312045,0.981773,,729.316098,0,14.787555,0.378614,2.422733,4355.163524,,3625.847426,6.398958,1069,,0
12/31/1991 00:00:00,,,1435.002599,8.537145,0.468169,,744.561019,0,56.711034,0.196388,1.261545,4339.003929,,3594.442928,6.423744,1076,,0
12/31/1992 00:00:00,,,1499.640983,-20.580617,,,724.28529,0,57.778178,-0.47235,-3.077975,4375.134346,,3650.849065,6.516302,1074,,0
12/31/1993 00:00:00,,,1598.885293,23.934496,2.544843,,826.121187,0,169.370858,0.501437,3.394595,5171.223114,,4345.101889,6.76973,1087,,0
12/31/1994 00:00:00,,,1697.824705,42.990623,4.656962,,824.291846,159.614121,403.532549,0.874636,5.682047,4659.299314,,3835.007478,6.496474,1076,,159.614121
12/31/1995 00:00:00,,,1738.528593,79.578387,7.638397,,834.658369,117.84309,386.915606,1.631148,10.305004,5098.047585,,4263.389216,6.317639,1078,,117.84309
12/31/1996 00:00:00,,,1924.059047,95.128187,6.407545,,939.085928,45.277358,377.768665,1.738016,11.371299,5848.706546,,4909.6206,6.542688,1164,,45.277358
12/31/1997 00:00:00,,,2342.988946,141.015341,7.973734,,1339.417065,49.088584,94.213493,2.331002,13.013506,6250.409707,,4910.992641,5.582794,1182,,49.088584
12/31/1998 00:00:00,,,2423.939374,148.027996,7.139689,,1292.920115,53.052258,14.02531,2.273951,11.792567,6769.041263,,5476.121148,5.185936,1176,,53.052258
12/31/1999 00:00:00,,,2980.073389,98.024718,3.17308,,1252.063779,67.992262,480.976649,1.279857,7.943665,8549.035989,,7296.97221,6.206684,1150,,67.992262
12/31/2000 00:00:00,,,3710,110,4.505091,,1360,753,578,1.103087,8.52034,11395,,10035,7.724089,1196,,753
12/31/2001 00:00:00,,,4419,-347,,,1508,1207,588,-2.433892,-26.051051,17119,,15611,10.703453,1345,,1207
12/31/2002 00:00:00,,,4636,-455,,,1255,644,248,-2.751572,-38.107203,15953,,14698,13.849246,1256,,644
12/31/2003 00:00:00,,,4172,-314,,,791,606,230,-2.10343,-37.181764,13903,,13112,17.676732,,,606
12/31/2004 00:00:00,,,2891,75,5.220061,,1335,,1342,0.547885,7.676561,13475,,12140,14.011259,1052,,
12/31/2005 00:00:00,,,2694,131,5.435494,,1719,,954,0.968398,8.578913,13580,,11861,8.858874,994,,
12/31/2006 00:00:00,,,3158,306,10.638263,,2253,,1187,1.894678,15.407855,18721,,16468,8.132175,1211,,
12/31/2007 00:00:00,,1.800726,5075,407,10.776599,,3629,,904,1.839423,13.924051,25532,,21903,7.569791,1840,,
12/31/2008 00:00:00,,,5754,315,4.826503,,3416,,936,1.210003,8.996145,26534,,23118,7.434814,1770,,
12/31/2009 00:00:00,,,6291,370,5.240599,,3901,,820,1.357225,10.131435,27989,,24088,7.464814,1790,,
12/31/2010 00:00:00,,2.24285,6699,418,5.305689,,4352,,675,1.474141,10.146862,28722,,24370,6.883238,1822,,
12/31/2011 00:00:00,,2.2428,7353,330,2.899185,,4410,,1425,1.099249,7.544582,31319,,26909,6.863397,2184,,
12/31/2012 00:00:00,,2.1135,9000,418,4.308935,,4810,,1647,1.30811,9.081034,32590,,27780,6.942103,2284,,
12/31/2013 00:00:00,,2.198,9550,549,6.146472,,4980,,2053,1.644919,11.269629,34161,,29181,6.851175,2450,,
12/31/2014 00:00:00,,2.5585,10614,512,4.574522,,5729,,2232,1.435641,9.62949,37166,,31437,6.707448,2555,,
12/31/2015 00:00:00,,2.499,12681,642,5.871929,,6363,,3155,1.630042,10.678643,41605,,35242,6.551148,2706,,
12/31/2016 00:00:00,,2.938,13171,603,4.575527,,6695,,2757,1.420528,9.28335,43293,,36598,6.53514,2802,,
12/31/2017 00:00:00,,2.6746,14024,286,-0.342295,,6225,,2702,0.661065,4.449284,43234,,37009,6.730476,2955,,
12/31/2017 00:00:00,,2.6746,14017,287,,,6225,,2702,0.663376749453928,4.46484131922838,43234,,37009,7.03667541844437,2955,,
