Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1995 00:00:00,,,635.5,139,,11.7,863,0,1777,,,11686.3,3085.2,10823.3,,4700,,0
12/31/1996 00:00:00,,,596.8,179.2,15.650134,-151.4,955.7,,1126.8,1.624881,20.017873,10370.7,2514.4,9415,12.319593,5128,,
12/31/1997 00:00:00,,,635,170.9,12.66982,-234.5,1059.7,0,1169.9,1.625591,17.19835,10655.5,2315.6,9595.8,10.579752,5762,,0
12/31/1998 00:00:00,,,608.6,167.8,10.781306,-325.5,1184.4,,1342.1,1.384254,15.138939,13588.6,2895.3,12404.2,10.93653,,,
12/31/1999 00:00:00,,,643.6,244.6,15.010429,-431.9,1372.7,0,939.2,1.812463,19.253021,13402.3,3101.2,12029.6,10.622575,,,0
12/31/2000 00:00:00,0,,659.200012,221.300003,12.040949,232.299995,1161.599982,971.099976,5.4,2.309864,17.483015,5759,1394.900024,4597.400122,7.56885,3117,,971.099976
12/31/2001 00:00:00,,,506.200012,-20.6,,59.699998,1113.00003,890.099976,171.800003,-0.364025,-1.812024,5558.899902,1242.199951,4445.899856,4.977745,2890,,890.099976
12/31/2002 00:00:00,0,,471.200012,26.1,-0.570763,46.500001,1051.9,,256.6,0.514215,2.411754,4592.5,1098.5,3540.6,4.690168,2392,,
12/31/2003 00:00:00,0,,427.6,49.2,-0.732119,56.899999,1029.200012,466.299988,44.799999,1.363315,4.728269,2625.199951,1350.599976,1595.999981,3.468214,2220,,466.299988
12/31/2004 00:00:00,0,,631.3,155.7,6.918138,141.2,1130.6,142.9,0,5.814583,14.494507,2730.3,1356.5,1599.7,2.492785,2371,543.4,142.9
12/31/2005 00:00:00,0,,808,191.3,10.129781,190.1,1343.1,119.2,13,6.301365,15.540211,3341.4,1788.1,1998.3,2.466166,2539,677,119.2
12/31/2006 00:00:00,0,,967.2,221.3,10.796066,264.4,1443.6,17.9,30.7,5.236445,15.885435,5110.9,3328.9,3667.3,3.03363,2675,798.2,17.9
12/31/2007 00:00:00,0,3.345,1191.8,299.7,13.691822,358,1696.2,59.5,20.3,5.000167,19.094645,6876.7,4848.3,5180.5,3.818802,2891,959.4,59.5
12/31/2008 00:00:00,0,1.816,935.8,76.7,-0.601034,90,1632.2,118.9,26.4,1.02608,4.609929,8073.4,6124.3,6441.2,4.492758,2834,725.7,118.9
12/31/2009 00:00:00,0,1.667,959.4,95.4,0.591409,125.5,1649,20,383.1,1.039102,5.816541,10288.6,8073,8639.6,5.597659,2609,749.8,20
12/31/2010 00:00:00,0,3.467,1439.3,307.9,12.040988,395.1,1799.7,76.2,421.4,2.60243,17.8757,13373.9,11020.3,11574.2,6.86885,2722,1086.6,76.2
12/31/2011 00:00:00,0,3.12,1501.9,315.8,11.454531,404.9,1901.6,2202.8,395.9,2.317058,17.079041,13884.8,11472.9,11983.2,7.371001,2902,1138.6,2202.8
12/31/2012 00:00:00,0,4.87,1425.4,283.2,8.480423,355.7,2069.9,2216.9,341.5,1.9832,14.261614,14675.1,12161.9,12605.2,7.191212,3011,1095.7,2216.9
12/31/2013 00:00:00,0,8.414,1809.1,352.7,9.06304,455.6,2268.6,2098.5,237.6,2.213749,16.259076,17189.4,14593.7,14920.8,7.344589,3304,1378,2098.5
12/31/2014 00:00:00,0,8.155,1924.3,413.2,8.426265,545.6,2537.8,2982.4,187.3,2.207501,17.193742,20246.6,17433.5,17708.8,7.788782,3542,1495.2,2982.4
12/31/2015 00:00:00,0,8.905,2043.2,467.4,8.639892,606.1,2795.6,2886.8,187,2.437771,17.527281,18099.9,15022.2,15304.3,7.189879,3691,1600.7,2886.8
12/31/2016 00:00:00,0,8.743,2144.9,490.2,7.974385,645,3152.8,3766,68.1,2.508552,16.521739,20982.4,17593.6,17829.6,6.586164,3920,1712.8,3766
12/31/2017 00:00:00,0,7.059,2511.7,594.4,8.625002,801.9,3471,3785,50.3,2.734741,18.020039,22487.9,18742.5,19016.9,6.589304,4619,2010.2,3785
12/31/2017 00:00:00,0,7.059,2511.7,594.4,5.96965856431431,801.9,3471,3785,50.3,2.73474073102785,18.0200391080929,22487.9,18742.5,19016.9,6.64653398422831,4619,2010.19997558594,3785
