Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1997 00:00:00,,,17.366335,0.383458,,0.877491,2.52045,0.625097,0,,,7.518702,4.996924,4.998252,,186,,0.625097
12/31/1998 00:00:00,,,27.169475,3.492384,71.320971,2.288288,5.933317,0,0,35.841056,84.469548,12.112664,5.833017,6.179348,2.356782,243,,0
12/31/1999 00:00:00,0.045184,,36.574943,1.881476,17.706352,4.693402,8.249108,0,0,13.178729,26.608977,16.522769,8.273661,8.273661,2.019085,367,,0
12/31/2000 00:00:00,8.988163,,53.497143,5.105142,10.71351,7.981757,57.680658,0,0,11.507166,15.456161,72.19791,13.708248,14.517255,1.343177,508,,0
12/31/2001 00:00:00,11.688037,,62.043887,-1.045885,,3.924282,57.02435,,0,-1.456641,-1.82268,71.480708,13.406341,14.456354,1.25129,570,,
12/31/2002 00:00:00,14.708954,,68.384207,2.175411,2.649837,9.883215,59.45134,,0,2.970732,3.732864,74.985435,14.112021,15.533965,1.256547,540,36.773663,
12/31/2003 00:00:00,12.943262,,69.36724,6.36465,7.933445,11.429106,60.592674,,0,8.421666,10.58173,75.927768,14.272893,15.335092,1.256489,526,38.954396,
12/31/2004 00:00:00,16.331,,82.046,11.961,-0.373746,17.762,72.653,0,0,13.836082,17.953303,96.968,19.905,24.315,1.297571,519,51.647,0
12/31/2005 00:00:00,21.412,,102.254,16.201,1.040732,24.117,77.818,0,0,16.058163,21.533717,104.811,22.185,26.993,1.340983,671,68.034,0
12/31/2006 00:00:00,27.315001,,134.044006,26.608999,4.941929,38.216001,88.270999,0,0,23.527278,32.041856,121.386002,30.128,33.115,1.361902,,90.156006,0
12/31/2007 00:00:00,34.608,,156.78,38.999,8.110787,41.422,73.525,0,0,33.759814,48.20762,109.652,34.866,36.127,1.427959,863,99.344,0
12/31/2008 00:00:00,43,,174.737,31.159,18.846897,41.776,62.699,0,0,30.234578,45.746711,96.463,30.45,33.764,1.513059,1048,109.316,0
12/31/2009 00:00:00,44.39,,180.375,26.925,12.419741,44.147,75.654,0,0,25.29915,38.922177,116.39,37.49,40.736,1.538478,1100,116.436,0
12/31/2010 00:00:00,45.459,,185.375,24.39,8.474023,39.922,77.52,0,0,21.264075,31.846136,113.011,32.478,35.491,1.49765,1111,115.795,0
12/31/2011 00:00:00,44.194,,194.815,33.956,20.355436,50.399,83.184,0,0,29.210844,42.25906,119.478,32.561,36.294,1.446691,1118,127.985,0
12/31/2012 00:00:00,45.599,,209.19,34.474,15.785808,50.65,85.864,0,0,28.111176,40.786049,125.791,35.866,39.927,1.450884,1075,132.615,0
12/31/2013 00:00:00,49.548,,225.129,39.336,20.130852,57.087,71.566,0,0,32.340705,49.972686,117.469,42.513,45.903,1.545195,1163,144.246,0
12/31/2014 00:00:00,50.803,,241.069,41.583,23.849366,60.381,73.38,0,0,33.907109,57.37723,127.807,48.255,54.427,1.692189,1187,151.742,0
12/31/2015 00:00:00,53.917,,277.927,52.584,29.970756,74.227,89.82,0,0,37.920789,64.441176,149.529,51.706,59.709,1.699363,1205,177.841,0
12/31/2016 00:00:00,59.27,1.411,295.93,50.992,28.294095,71.583,72.571,0,0,34.400942,62.80151,146.928,67.635,74.357,1.825575,1376,184.157,0
12/31/2017 00:00:00,64.797,1.782,343.405,66.497,35.312725,92.851,116.581,30,0,35.226093,70.31065,230.616,97.496,114.035,1.995982,1547,210.877,30
12/31/2017 00:00:00,64.7970011291504,1.782,343.405,66.497,,,116.581,30,0,35.2260928527536,70.3106496362714,230.616,97.496,114.035,2.12041939116177,1547,210.877002502441,30
