Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/2000 00:00:00,,,1830,303,,1250,3760,140,5925,,,10271,510,6511,,3245,,140
12/31/2001 00:00:00,,,1791,330,3.279973,1304,5203,720,3442,3.252994,7.363606,10018,1214,4815,2.263639,2973,,720
12/31/2002 00:00:00,,,1747,431,2.218885,1256,5451,677,2853,4.338635,8.090858,9850,1218,4399,1.864839,2646,,677
12/31/2003 00:00:00,,,1758,545,2.766301,1402,5683,649,2451,5.543406,9.789833,9813,1179,4130,1.766032,2484,,649
12/31/2004 00:00:00,,,1774,538,2.554079,1453,5828,481,2394,5.455559,9.347581,9910,804,4082,1.713405,2473,,481
12/31/2005 00:00:00,,,1800,524,3.916769,1450,3976,1048,3772,5.231368,10.689514,10123,1469,6147,2.04335,2466,,1048
12/31/2006 00:00:00,,,1760,448,-0.703583,1408,3699,1399,3857,4.369453,11.674267,10383,1903,6684,2.671792,2403,,1399
12/31/2007 00:00:00,,,1790,594,6.223194,1511,3507,1382,4501,5.634872,16.486261,10700,1878,7193,2.925756,2357,,1382
12/31/2008 00:00:00,,,1902,530,3.530124,1511,3573,1037,5200,4.834223,14.971751,11227,1630,7654,3.097034,2345,,1037
12/31/2009 00:00:00,0,,2438,732,0.384826,1887,5703,2500,7486,4.848324,15.784367,18969,3827,13266,3.255633,6307,,2500
12/31/2010 00:00:00,0,,3475,1106,4.901582,2530,5916,3164,7186,5.710303,19.041061,19768,4748,13852,3.33451,6127,,3164
12/31/2011 00:00:00,0,1.461,3539,790,-1.146166,2621,5792,4399,6800,3.861381,13.497352,21150,6154,15358,3.495472,6069,,4399
12/31/2012 00:00:00,0,1.624,3730,779,-1.133269,2813,5930,615,11939,3.562446,13.293515,22584,2392,16654,3.73157,6067,,615
12/31/2013 00:00:00,0,2.198,3735,917,1.20098,2793,5994,2250,11078,3.950883,15.383325,23836,4385,17842,3.893642,6045,,2250
12/31/2014 00:00:00,0,,3784,1198,4.904899,2770,7172,2057,11885,4.915678,18.201155,24906,3905,17734,3.702674,6072,,2057
12/31/2015 00:00:00,0,,2470,1238,-1.662737,2273,7586,2729,11067,4.973286,16.779615,24880,4604,17294,3.37395,3005,,2729
12/31/2016 00:00:00,0,,2419,861,-2.852335,2152,6497,2353,8737,3.825901,12.228377,20129,3648,13632,3.196208,2883,,2353
12/31/2017 00:00:00,0,,2493,897,2.298163,1994,6188,2443,10176,4.277029,14.142688,21816,4206,15628,3.306661,2919,,2443
12/31/2017 00:00:00,0,2.198,2542,897,,1994,6188,2443,10176,4.27702944331863,14.1426882144265,21816,4206,15628,3.38018837803321,2919,,2443
