Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1989 00:00:00,4.5,,83.155998,8.458,,14.409,37.103001,0.043,4.127,,,64.865997,19.757,27.763,,1958,28.740997,0.043
12/31/1990 00:00:00,4.1,,86.026001,9.117,16.025769,15.15,42.681,0.047,3.402,13.622915,22.854205,68.982002,19.516001,26.301001,1.67763,1823,29.112,0.047
12/31/1991 00:00:00,6.194,,88.805,10.708,17.441975,15.676,40.212001,0.898,6.306,15.177135,25.914498,72.125,22.017,31.913,1.70747,1884,32.902,0.898
12/31/1992 00:00:00,4.228,,104.315002,11.751,20.092792,18.565,39.142998,0.267,14.381,15.174035,29.710632,82.758003,26.087999,43.614999,1.957992,2047,43.323002,0.267
12/31/1993 00:00:00,6.068,,130.194,14.07,23.284592,24.97,43.607001,4.174,14.776,15.620403,34.006042,97.390999,34.853001,53.784001,2.177027,2116,61.257004,4.174
12/31/1994 00:00:00,8.636,,145.078995,17.198999,31.226308,28.974,31.317,5.235,25.614,16.917659,45.91052,105.934998,46.186001,74.618001,2.713763,2143,71.356995,5.235
12/31/1995 00:00:00,10.693,,196.261993,22.320999,47.385248,39.805999,33.412,5.653,24.582001,20.638259,68.967539,110.372002,50.080002,76.960003,3.341732,2619,98.769997,5.653
12/31/1996 00:00:00,13.738,,201.889999,28.629999,,45.252998,-12.149002,1.063,86.728996,23.789738,,130.320007,52.056,142.468996,11.319759,2975,113.377998,1.063
12/31/1997 00:00:00,18.521999,,280.838989,35.202999,,59.016001,-14.492005,2.588,103.934998,23.830249,,165.128006,69.602997,179.619995,,3881,156.213989,2.588
12/31/1998 00:00:00,16.072001,,261.557007,42.992001,,40.377,1.288009,2.217,74.497002,27.660574,,145.725998,66.878998,144.438,,2923,135.345009,2.217
12/31/1999 00:00:00,17.073,,275.274994,31.697001,156.048255,42.274001,26.042,2.226,94.547997,18.759063,231.957487,192.212006,68.332001,166.169998,12.365089,2949,148.319992,2.226
12/31/2000 00:00:00,25.700001,,464,27.4,20.021667,68.099999,119.799995,42.5,155.5,8.285304,37.57491,469.200012,180.199997,349.399997,4.535127,4461,251,42.5
12/31/2001 00:00:00,30.200001,,543.099976,41.599998,21.471926,74.700001,143.800003,12.3,155.899994,8.758816,31.562973,480.700012,137.199997,336.89999,3.603566,4749,309.399979,12.3
12/31/2002 00:00:00,29.6,,490.100006,15.3,0,64.000002,188.700005,69.199997,145.199997,2.868392,9.203007,586.099976,207.800003,397.400002,3.208421,5599,287.600006,69.199997
12/31/2003 00:00:00,34.1,,568,26,5.23671,72.5,189.4,0.8,194.3,4.422145,13.752975,589.8,161.1,400.4,3.110024,5696,321.8,0.8
12/31/2004 00:00:00,43.4,,614.1,23.6,3.185926,65.1,234.8,0.3,193,3.856209,11.126827,634.2,175.9,399.4,2.885431,5896,351.6,0.3
12/31/2005 00:00:00,44.9,,655.9,35.2,6.810891,86.5,255.5,59.4,121.6,5.383498,14.358556,673.5,240.8,418,2.667143,5945,377.3,59.4
12/31/2006 00:00:00,44.700001,,684.5,61.400002,14.41048,98.299997,294.100006,4.3,108.599998,9.397001,22.343523,633.299988,189.199997,339.199997,2.377729,5847,395.799988,4.3
12/31/2007 00:00:00,45.2,0.663,668.4,86.2,20.740492,117.8,302.8,4.4,108.1,13.456135,28.88256,647.9,200.4,345.1,2.146423,5577,384.6,4.4
12/31/2008 00:00:00,57,0.78,787.099976,81.099998,14.504021,131.299997,443.199997,35,173.600006,10.102772,21.742627,957.599976,303.600006,514.400013,2.152145,5717,452.599976,35
12/31/2009 00:00:00,58.2,,787.3,42.6,3.340579,95.9,430.9,49.8,92.4,4.732019,9.747169,842.9,261.9,412,2.059833,5764,445.3,49.8
12/31/2010 00:00:00,62.4,0.853,901.9,96.2,13.509794,156.7,513.6,1.7,135.5,10.59413,20.370566,973.2,273.9,459.6,1.922816,5781,526.8,1.7
12/31/2011 00:00:00,75.8,1.075,1106.2,126.3,15.602076,215.6,604.2,2.7,383.9,10.812893,22.59796,1362.9,304.2,758.7,2.089909,6447,648.7,2.7
12/31/2012 00:00:00,85.5,2.776,1230.8,140.2,14.585584,243.6,691.6,82.8,200.3,10.406383,21.639142,1331.6,368.5,640,2.07941,7361,712.8,82.8
12/31/2013 00:00:00,88.5,2.151,1202,200,19.443902,236.4,844.1,2.2,145.7,15.14922,26.046754,1308.8,249.8,464.7,1.719346,7344,697.6,2.2
12/31/2014 00:00:00,86.5,1.122,1173.7,135.1,9.067667,215.9,916,50.9,109.5,9.951018,15.3514,1406.5,298.7,490.5,1.542696,7676,676.4,50.9
12/31/2015 00:00:00,88.8,0.729,1190,113.8,5.823592,202.6,966,1.7,155.1,7.94249,12.093518,1459.1,258.4,493.1,1.522635,8053,683.1,1.7
12/31/2016 00:00:00,98.6,1.388,1345.8,10.3,-5.075243,103.7,1067.4,12.3,222.1,0.645545,1.013082,1732,332,664.6,1.569342,8238,760.5,12.3
12/31/2017 00:00:00,105.1,1.611,1525.6,234.8,14.739159,255.5,1204.1,1.3,187.2,13.299725,20.673564,1798.9,323.1,594.8,1.554435,8713,867.5,1.3
12/31/2017 00:00:00,105.099999237061,1.611,1525.6,234.8,16.1088734589917,255.5,1204.1,1.3,187.2,13.2997252825059,20.6735637244112,1798.9,323.1,594.8,1.53996802557954,8713,867.500006103516,1.3
