Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1988 00:00:00,,,106.049004,13.633,,22.713999,68.125001,3.203,6.591,,,104.897003,27.197001,36.772001,,2937,,3.203
12/31/1989 00:00:00,,,122.704002,15.759,13.34147,26.414999,74.473001,4.342,9.801,13.946882,22.366833,121.088997,31.757999,46.615999,1.603716,3058,,4.342
12/31/1990 00:00:00,,,148.225006,13.004,9.819256,27.644001,63.489998,11.574,18.702,10.384632,19.297204,129.358002,41.189999,65.867998,1.858246,3444,,11.574
12/31/1991 00:00:00,,,144.132996,13.253,9.398498,29.105001,71.659002,8.007,19.159,10.074611,20.186128,133.738998,37.018002,62.080002,2.003663,3430,,8.007
12/31/1992 00:00:00,,,154.151001,12.716,8.921019,30.763,88.927002,12.947,20.672001,8.659146,16.231809,159.962006,43.109001,71.035002,1.874528,3439,,12.947
12/31/1993 00:00:00,3.36,,192.507004,16.379999,10.347323,35.2,89.897003,20.902,30.933001,9.297599,19.123225,192.386993,56.255001,102.490002,2.056792,3489,,20.902
12/31/1994 00:00:00,3.616,,217.875,21.672001,13.920798,42.937001,102.864,11.143,26.239,11.074433,23.708566,199.001007,55.258999,96.136999,2.140838,3503,,11.143
12/31/1995 00:00:00,3.969,,251.285004,26.396,14.79612,52.321999,122.523998,11.646,29.707001,12.254438,24.35662,231.798004,64.778999,109.274,1.987575,3777,,11.646
12/31/1996 00:00:00,4.722,,271.980011,29.900999,15.521679,57.651001,119.897997,10.138,40.847,12.752373,25.479753,237.149994,64.236,117.252,1.99804,3867,,10.138
12/31/1997 00:00:00,4.419,,265.595001,30.343,14.679202,59.117001,128.772005,9.87,37.741001,12.746964,25.011849,238.932007,62.573002,110.160003,1.962181,3903,,9.87
12/31/1998 00:00:00,4.1,,249.029999,19.223,4.691521,52.930999,136.195998,18.023001,40.900002,7.75601,14.767498,256.760986,69.742996,120.564998,1.904007,3844,,18.023001
12/31/1999 00:00:00,4.585,,258.941986,28.115,11.565944,53.533001,128.737,21.247,39.859001,11.116955,21.659663,249.042999,70.127998,120.305999,1.948345,3794,,21.247
12/31/2000 00:00:00,4.571,,278.14801,26.367001,10.024282,54.585999,138.264,27.098,40.966999,10.112722,20.228858,272.419006,81.204002,134.155001,2.000338,3914,,27.098
12/31/2001 00:00:00,4.593,,291.941986,26.040001,8.878261,53.106002,145.115005,23.076,38.949001,9.556542,18.814282,272.548004,72.013,127.433002,1.968733,4059,,23.076
12/31/2002 00:00:00,4.411,,296.363007,26.125,8.170898,55.165999,149.292997,20.518999,39.659,9.449813,18.128639,280.372986,73.859001,131.080002,1.918412,3998,,20.518999
12/31/2003 00:00:00,4.878,,314.087006,28.638,8.866999,59.574,163.816005,33.688999,24.834999,9.978936,18.657832,293.596008,86.726997,129.779997,1.869722,4055,,33.688999
12/31/2004 00:00:00,4.365,,315.991,32.314,9.884402,60.986,166.286,13.025,34.432,10.650486,19.816637,313.212,63.242,146.926,1.860632,119267,,13.025
