Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1990 00:00:00,,,3291.100098,-127.199997,,,1883.899963,10642.900391,882.799988,,,30371.400391,,28487.500012,,1820,,10642.900391
12/31/1991 00:00:00,,,3477.199951,24.4,1.295082,,1884.200012,10041.700195,3273,0.080204,1.295082,30473.5,,28589.30039,16.147369,1775,,10041.700195
12/31/1992 00:00:00,,,3023.800049,-742.400024,,,1190.5,8307.400391,1965.5,-2.599809,-48.290892,26638.400391,,25447.900415,18.574788,1587,,8307.400391
12/31/1993 00:00:00,,,3222.899902,-168.5,,,1007.700012,4123.700195,1604.199951,-0.684763,-15.330725,22575.699219,,21568.000168,22.388363,1504,,4123.700195
12/31/1994 00:00:00,,,3749.600098,15.3,0.969305,,2149.200012,5926.899902,1847.900024,0.047145,0.969305,42331.101562,,40181.899948,20.560297,2430,,5926.899902
12/31/1995 00:00:00,,,3881.199951,113.300003,3.594434,,2213.100037,7935.700195,1492.5,0.277815,5.194508,39233.898438,,37020.800148,18.697705,2217,,7935.700195
12/31/1996 00:00:00,,,3134.399902,226.699997,7.5612,,2400.400024,7620.600098,970.700012,0.584254,9.827679,38369.300781,,35968.90089,16.820895,2052,,7620.600098
12/31/1997 00:00:00,,,2908.75,230.526993,7.255757,,2512.801941,9098.086914,988.75,0.582171,9.383982,40826.390625,,38313.580402,16.118957,2025,,9098.086914
12/31/1998 00:00:00,,,3237.052979,302.868011,8.180782,,2761.315003,12165.110352,858.90802,0.685195,11.48507,47577.121094,,44815.804505,16.761766,1941,,12165.110352
12/31/1999 00:00:00,,,3249.14502,332.188995,8.586922,,2669.944031,16695,947.452026,0.656396,12.232486,53638.890625,,50968.947632,18.635828,1905,,16695
12/31/2000 00:00:00,,,4204,569,15.619199,,3105,18497,934,1.004458,19.705819,59656,,56551,19.618353,1957,,18497
12/31/2001 00:00:00,,,4301,455,10.69644,,3299,20216,4673,0.724707,14.209869,65912,,62613,19.607745,1897,,20216
12/31/2002 00:00:00,,,4036,414,8.845533,,3518,18001,4725,0.624223,12.146105,66733,,63215,19.457973,1945,,18001
12/31/2003 00:00:00,,,4237,672,14.637018,,4127,21443,3140,0.960096,17.580118,73253,,69126,18.310791,1988,,21443
12/31/2004 00:00:00,,,3881,750,12.619771,,4431,19076,3676,0.987954,17.52746,78576,,74145,17.741178,2075,,19076
12/31/2005 00:00:00,,,4580,936,15.418923,,4986,25692,9532,1.054713,19.878942,98913,,93927,18.847722,2123,,25692
12/31/2006 00:00:00,,,6261,1514,23.008381,,6349,26498,13524,1.417132,26.713719,114758,,108409,18.850551,2190,,26498
12/31/2007 00:00:00,,,7512,1710,23.102867,,6697,26523,13905,1.367207,26.214932,135387,,128690,19.174076,2276,,26523
12/31/2008 00:00:00,,6.8,9002,606,8.792165,,7088,38889,14315,0.415962,8.792165,155985.574,,148897.574,21.13693,2479,,38889
12/31/2009 00:00:00,,4,7530,781,9.638406,,9118,31450,11746,0.497759,9.638406,157821,,148703,19.363604,2459,,31450
12/31/2010 00:00:00,,14.4,5984,411,3.609683,,9554,21564,13571,0.266309,4.402314,150843,,141289,16.530848,2284,,21564
12/31/2011 00:00:00,,5.4,5717,188,1.963549,,9595,18376,9625,0.123569,1.963549,153441,,143846,15.890334,2152,,18376
12/31/2012 00:00:00,,5,5987,467,4.758508,,10033,15869,5373,0.305075,4.758508,152713,,142680,15.597819,2132,,15869
12/31/2013 00:00:00,,5.3,5508,187,1.845091,,10237,12106,8259,0.124416,1.845091,147892,,137655,14.830044,2231,,12106
12/31/2014 00:00:00,,3.766,5556,1052,4.943813,,11311,13579,5126,0.700847,9.764247,152316,,141005,13.932059,2101,,13579
12/31/2015 00:00:00,,5.6,5103,1148,3.120397,,11427,6178,5857,0.778152,10.097634,142742,,131315,12.976427,2044,,6178
12/31/2016 00:00:00,,6,5207,1472,6.426974,,11757,9537,5838,1.017179,12.698413,146686,,134929,12.483954,2037,,9537
12/31/2017 00:00:00,,6.4,5068,1531,6.539315,,11926,3422,5576,1.073708,12.929105,138494,,126568,12.041549,2064,,3422
12/31/2017 00:00:00,,6.4,5068,1531,-16.9876171307395,,11926,3422,5576,1.07370783364892,12.9291052653802,138494,,126568,11.4095800801857,,,3422
