Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1988 00:00:00,109.811252,,14006.399976,248.714919,,1966.176354,4710.231023,2259.405941,2477.722772,,,14512.706271,5329.867987,9802.475248,,35361,,2259.405941
12/31/1989 00:00:00,93.356602,,16928.768445,140.427158,0.154748,1194.650703,5132.663665,2037.235885,2474.714236,1.014946,3.25445,15312.954624,5672.151022,10180.290959,3.746527,35889,,2037.235885
12/31/1990 00:00:00,177.723364,,23655.624336,748.279822,12.451537,2178.538521,6286.470588,2012.54902,4217.254902,4.182257,15.814362,20760.784314,7396.27451,14474.313725,3.876713,46024,,2012.54902
12/31/1991 00:00:00,172.134275,,25432.305648,1019.646624,13.442948,2645.853179,8153.416747,1950.14437,4138.787295,5.214268,17.429624,21954.764196,7134.744947,13801.347449,3.388777,49365,,1950.14437
12/31/1992 00:00:00,185.179014,,25865.986455,512.17713,3.464907,2152.658702,8053.002894,1727.568741,4361.613603,2.355707,6.816521,20911.722142,6329.59479,12858.719247,2.893619,51139,,1727.568741
12/31/1993 00:00:00,195.773429,,23937.718932,510.283089,2.750759,1929.110374,8973.315318,2152.339132,4305.860497,2.316664,6.400567,22584.698531,6580.645161,13611.383212,2.762838,49772,,2152.339132
12/31/1994 00:00:00,190.214915,,24701.384684,611.469597,3.067657,2253.857065,9953.344576,2557.054525,4641.933671,2.521049,6.852088,25260.445943,7749.297358,15307.101368,2.717951,51803,,2557.054525
12/31/1995 00:00:00,220.563325,,27260.141833,451.161378,0.365171,2934.957293,11159.299246,2948.462009,5180.892239,1.642218,4.47203,28307.394581,8868.608678,17148.095335,2.723164,53536,,2948.462009
12/31/1996 00:00:00,226.307972,,34538.273762,1104.351607,5.688453,3331.049923,11841.101695,4380.77812,4168.143297,3.80019,10.348051,30466.486903,10922.57319,18625.385208,2.723035,57555,,4380.77812
12/31/1997 00:00:00,,,32787.772991,1305.951489,7.119334,3632.504667,11590.844871,1445.57286,3613.849043,4.912018,12.218557,25216.661403,7417.017104,13625.816532,2.487482,54391,,1445.57286
12/31/1998 00:00:00,,,27107.841536,987.413326,3.870119,3075.858747,12599.0077,1376.238152,4253.552185,3.829232,8.645546,27022.033326,7516.938453,14423.025626,2.257775,57166,,1376.238152
12/31/1999 00:00:00,,,79975.580281,3726.189494,9.399815,10571.037585,29913.5832,8508.3816,10228.9632,6.713584,18.39277,81435.4992,26684.6016,51521.916,2.739635,,,8508.3816
12/31/2000 00:00:00,633.508598,,105791.31843,6375.719183,14.83122,17612.647198,31654.5735,3807.7935,10812.7055,8.182761,22.986516,82453.3385,23627.4855,50798.765,2.809139,123303,,3807.7935
12/31/2001 00:00:00,622.463301,,94326.028739,6858.739513,14.912212,15807.880963,31513.9491,3173.9195,9940.1995,8.684361,23.089563,78880.58,23209.2307,47366.6309,2.658752,122025,,3173.9195
12/31/2002 00:00:00,626.102733,,96979.719425,5618.846432,9.817832,15479.491592,35027.6888,5352.8384,10668.9128,6.831523,17.852904,89629.5816,26451.1728,54601.8928,2.613312,121469,,5352.8384
12/31/2003 00:00:00,755.350156,,118514.099666,7955.524502,12.442677,20311.784692,40031.4168,4818.294,12291.3612,8.500109,22.152148,100465.5132,29034.1476,60931.6308,2.606102,110783,,4818.294
12/31/2004 00:00:00,790.077789,,125020.167502,13522.150261,23.838866,28559.756818,43945.8408,5364.1092,15303.3684,13.036646,34.827752,117621.3452,36298.9012,73675.5044,2.671527,111401,,5364.1092
12/31/2005 00:00:00,634.550877,,145644.356825,15270.280217,23.286536,38100.425388,49086.8339,4677.5849,16321.2569,12.724002,33.972292,125600.1952,39555.3524,76513.3613,2.669938,95054,,4677.5849
12/31/2006 00:00:00,714.884993,,166708.918846,14785.178553,17.868588,37295.889305,54270.0972,7825.0337,18694.0886,11.135135,29.068992,138778.6147,44212.1658,84508.5175,2.610565,95070,,7825.0337
12/31/2007 00:00:00,814.254259,6.483951897578,187558.122355,18068.49391,19.305811,43695.570281,66644.31,6814.6359,21693.6708,12.050429,30.948943,165576.8403,52005.8946,98932.5303,2.568286,96442,,6814.6359
12/31/2008 00:00:00,900.184318,4.047674374823,235829.169847,15576.718842,11.043746,43960.471769,69695.235,10994.964,22591.3023,9.135177,22.567928,165077.943,47896.4631,95382.708,2.470442,96959,,10994.964
12/31/2009 00:00:00,906.38385,4.001552227752,156390.258411,11778.806744,6.091144,30011.066503,76726.7409,10023.1014,27509.7876,6.865721,16.637123,183082.8243,49310.1048,106356.0834,2.423216,96387,,10023.1014
12/31/2010 00:00:00,948.526964,3.701710716632,186357.026277,14023.606344,9.230775,35927.28285,81894.8186,12902.1998,27540.643,7.787941,18.715366,192093.4788,54062.7968,110198.6602,2.403121,92855,,12902.1998
12/31/2011 00:00:00,1080.504055,4.300658164873,231904.575271,17093.128586,10.722549,45556.612991,89928.144,12538.8,29044.656,7.977463,19.113903,212607.504,60525.792,122679.36,2.395988,96104,,12538.8
12/31/2012 00:00:00,1035.126226,3.905729728236,234413.013438,13641.806371,7.287234,40214.3324,95632.0605,14537.8152,29380.4811,6.328574,15.240407,225964.3128,64696.9728,130332.2523,2.40819,97126,,14537.8152
12/31/2013 00:00:00,1260.570153,4.380078803014,228011.769905,11210.971647,3.867671,35958.793062,103293.399,11191.1524,34242.2237,4.896799,11.737383,239226.7399,61770.5833,135933.3409,2.39695,98799,,11191.1524
12/31/2014 00:00:00,1353,4.657340599081,212018,4244,-3.057362,23361,93531,10942,44537,1.809713,4.456155,229798,53673,136267,2.462355,100307,,10942
12/31/2015 00:00:00,1068,1.700376402786,143421,5087,-1.718465,16517,95409,12488,41573,2.239578,5.741276,224484,50975,129075,2.563552,96019,,12488
12/31/2016 00:00:00,1050,3.623046113767,127925,6196,-0.431626,17377,101574,13920,39416,2.720754,6.852201,230978,54685,129404,2.518494,102168,,13920
12/31/2017 00:00:00,912,4.302319568776,149099,8631,2.295687,22474,114037,11096,40258,3.644779,8.398978,242631,56705,128594,2.304386,98277,,11096
12/31/2017 00:00:00,,4.30231956877599,149099,8631,-4.49952892951368,23259,114037,11096,40258,3.64477870986404,8.39897822649313,242631,56705,128594,2.16455318783684,98277,,11096
