Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/2001 00:00:00,,,,,,,,,,,,,,,,320,,
12/31/2002 00:00:00,,,,,,,,,,,,,,,,408,,
12/31/2003 00:00:00,,,473.9,38.4,,83.5,395.8,25.2,45.5,,,1027.8,555.6,632,,2092,,25.2
12/31/2004 00:00:00,,,582.4,6.9,-2.41444,157.8,470.5,16.1,150.6,0.634075,1.61744,1148.6,489.6,678.1,2.550867,2423,,16.1
12/31/2005 00:00:00,,,649.400024,61,-0.976218,103.699999,544.500006,17,153.100006,0.8731,12.113991,12824.599609,12077.700195,12280.100201,13.874689,,,17
12/31/2006 00:00:00,,,654.099976,127.599998,19.9217,126.699999,382.299976,0.9,151.300003,0.977924,27.657961,13271.5,12699.5,12889.200005,28.282324,,,0.9
12/31/2007 00:00:00,,,753.799988,73.4,18.829518,138.800006,132.399999,30.6,419.899994,0.702729,28.733609,7618.5,7029.799805,7486.0998,40.88863,2422,,30.6
12/31/2008 00:00:00,,,943.599976,94.5,36.090227,182.900006,244.499995,30.6,392,0.858186,50.751881,14404.700195,13722.299805,14160.199806,59.138562,2561,,30.6
12/31/2009 00:00:00,0,,947.7,110.8,28.493845,179,312.5,30.2,357,1.05552,40.115858,6589.7,5893.9,6277.2,38.005794,2445,,30.2
12/31/2010 00:00:00,0,,908.5,108.5,20.739083,161.8,411.8,30.1,327.8,1.861143,30.168219,5069.8,4300.3,4658,16.209509,2461,,30.1
12/31/2011 00:00:00,0,4.032,910.2,89.4,12.162469,139.1,475.5,30.1,235.6,1.598327,20.285909,6116.9,5377.5,5641.4,12.691967,2550,,30.1
12/31/2012 00:00:00,0,3.153,850.8,-61.2,,-12.1,372,10,245.8,-0.965109,-14.538544,6565.6,5918.8,6193.6,15.064141,2645,,10
12/31/2013 00:00:00,0,2.856,803.7,65.6,7.547663,112.1,398.4,8.5,219.1,1.004756,17.132411,6492.3,5842.3,6093.9,17.051319,2603,,8.5
12/31/2014 00:00:00,0,1.215,703.5,24.6,-3.495689,61.2,463.5,0,219.7,0.468005,5.732929,4020.4,3288.1,3556.9,12.249709,2536,,0
12/31/2015 00:00:00,0,2.25,796,82.9,8.364108,138.1,541.7,140.9,79.3,2.195794,16.548558,3530.4,2846.2,2988.7,7.536481,2694,,140.9
12/31/2016 00:00:00,0,3.381,891.5,43.2,-4.11578,91.1,1919,467,80,0.292451,3.543888,26013,23771,24094,12.117884,2704,,467
12/31/2017 00:00:00,0,2.324,1757,87,-0.376547,183,1833,12,577,0.274509,4.679935,37373,34781,35540,17.048413,5128,,12
12/31/2017 00:00:00,0,2.324,1757,87,-5.143311457773,183,1833,12,577,0.274508566560439,4.67993544916622,37373,34781,35540,22.8060754000542,5128,,12
