Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1988 00:00:00,,,1205.5,65.300003,,92.900003,802.999992,48.5,123.699997,,,1351.599976,407.100006,548.600002,,8954,161.300049,48.5
12/31/1989 00:00:00,,,1285.400024,70.199997,5.306072,91.7,916.999973,79.900002,212.300003,4.68531,8.680598,1645,493.200012,728.000015,1.852727,9202,170.300049,79.900002
12/31/1990 00:00:00,,,1411.599976,55.599998,3.12724,75.000001,728.199989,140.699997,167.100006,3.517206,7.244772,1516.599976,601.5,788.400005,2.059808,9035,163.5,140.699997
12/31/1991 00:00:00,,,1394.5,-28.9,,52.700001,729.099998,55.5,169,-1.939012,-4.266942,1464.300049,559.700012,735.200012,2.200576,8884,134.900024,55.5
12/31/1992 00:00:00,0.1,,1245.199951,-93.699997,,-38.700001,575,204.600006,88.400002,-6.70723,-15.668896,1329.699951,658.299988,754.699989,2.33612,10266,43.699951,204.600006
12/31/1993 00:00:00,0.3,,1149.699951,17.1,2.051087,59.700001,588.600006,60.900002,140.399994,1.335155,3.247555,1231.800049,490.5,643.199994,2.432343,8454,135.799927,60.900002
12/31/1994 00:00:00,0.6,,1146.300049,32.400002,4.488399,52.2,577.599998,21.299999,162.399994,2.657916,6.162039,1206.199951,450.5,628.599994,2.318372,8206,140.500061,21.299999
12/31/1995 00:00:00,0.6,,1154.099976,29.1,3.387862,71.6,581.199989,49.400002,180,2.33538,5.63353,1285.900024,506.5,704.700001,2.412254,9568,164.799988,49.400002
12/31/1996 00:00:00,1.5,,1189.699951,46.799999,6.080697,89.100003,603.699982,13.9,153.399994,3.686346,8.865315,1253.199951,471.399994,649.499989,2.404906,10525,187.699951,13.9
12/31/1997 00:00:00,1,,1295.699951,56.200001,6.661463,106.899997,682.100014,21.9,168.399994,4.300582,9.749328,1360.400024,490.799988,678.299982,2.266979,9865,209,21.9
12/31/1998 00:00:00,0.3,,1400.5,68.199997,7.35884,90.500002,753.199982,37.200001,190.100006,4.865347,10.521444,1443.099976,476.799988,689.899994,2.162527,9158,243.5,37.200001
12/31/1999 00:00:00,0.2,,1362.400024,82.199997,8.319537,114.899998,823.400024,28.1,228.800003,5.472157,11.51583,1561.199951,487.799988,737.799992,2.104441,7963,251.900024,28.1
12/31/2000 00:00:00,0.2,,1457.099976,139.800003,11.080491,144.300003,890.800012,26,229.5,8.715439,17.136553,1646.900024,498.200012,756.100012,1.966229,6087,258.099976,26
12/31/2001 00:00:00,0.2,,2138.399902,135,8.716966,256,1356.800012,219.100006,199.300003,6.75287,12.032622,2351.399902,756.099976,994.59998,1.781853,6017,365.899902,219.100006
12/31/2002 00:00:00,0.3,,2208.600098,155.100006,8.328788,290.000011,1393.300048,16.1,424.899994,6.329192,11.282051,2549.699951,632.299988,1156.399979,1.782542,6030,410.700074,16.1
12/31/2003 00:00:00,0.4,,2669.399902,199.5,10.397127,381.299999,1576.999986,149.899994,739.5,6.499007,13.911649,3589.699951,1001,2012.700012,2.140581,6598,516.699951,149.899994
12/31/2004 00:00:00,0,,3261.8,280.3,13.73993,463.9,1703.8,32.7,621,8.030023,17.642246,3391.6,810.2,1687.8,2.197035,7624,595.4,32.7
12/31/2005 00:00:00,0,,3397.4,285.7,11.412205,455.6,1929.3,15.5,638.7,7.948033,15.735845,3797.6,899.2,1868.3,1.979841,8132,565.7,15.5
12/31/2006 00:00:00,0,,3572.1,289.5,10.079615,446.3,2105.5,14.6,613,7.337101,14.360475,4093.8,1014.9,1988.3,1.957241,8158,638.7,14.6
12/31/2007 00:00:00,0,2.884,4142.799805,-197.899994,,479.5,3705.199853,13.6,1531.800049,-3.364788,-6.816381,7669.200195,1756.5,3964.000061,2.025798,9727,698.999756,13.6
12/31/2008 00:00:00,0,0.874,3467.699951,-1841.300049,,204.799997,1673.199939,124.5,2157.100098,-26.838174,-68.531343,6052.299805,1547.800049,4379.100159,2.553502,8069,329.5,124.5
