Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1988 00:00:00,,,30.756436,0.761178,,,7.79601,1.563085,0.653735,,,16.567066,7.643373,8.771056,,271,,1.563085
12/31/1989 00:00:00,,,28.935585,3.75985,34.390301,3.263019,11.339213,0.66092,0.617924,18.396369,38.092517,21.841454,9.074653,10.502241,2.070654,261,,0.66092
12/31/1990 00:00:00,,,43.066391,13.057563,44.452866,3.55816,41.23784,,1.899272,30.086798,47.739065,60.078433,16.151988,18.840593,1.586711,812,,
12/31/1991 00:00:00,0,,57.046573,3.645361,5.812792,5.457065,46.555857,2.459294,2.193985,5.34971,8.136004,68.483165,18.552412,21.927308,1.520831,1460,,2.459294
12/31/1992 00:00:00,0,,81.160809,3.454952,4.661518,8.636389,52.381501,5.245123,2.526128,4.267659,7.238864,87.849329,31.427044,35.46783,1.696214,1283,,5.245123
12/31/1993 00:00:00,0,,102.009887,4.726987,6.618776,9.002572,57.063156,2.70176,3.679251,5.234733,9.325596,90.696585,28.433753,33.633428,1.781484,1492,,2.70176
12/31/1994 00:00:00,0,,122.74661,3.490625,3.865969,14.146049,60.987792,2.903795,3.735197,3.57071,6.519303,104.682412,38.145471,43.694623,1.825772,1703,,2.903795
12/31/1995 00:00:00,0,,133.942168,4.095848,4.268403,14.84457,66.748532,4.950558,3.398159,3.755306,7.313724,119.121281,46.531891,52.372751,1.94757,1932,,4.950558
12/31/1996 00:00:00,0,,164.860344,4.853977,5.015953,17.150514,69.350127,5.105166,7.426934,3.761188,8.236191,146.526629,66.887116,77.176501,2.189784,2323,,5.105166
12/31/1997 00:00:00,0,,252.640942,5.12869,4.588739,28.490587,74.41688,12.97945,33.389426,2.881434,8.256637,209.913959,98.124239,135.497081,2.865461,3950,,12.97945
12/31/1998 00:00:00,0,,341.651833,7.051529,6.116704,36.008306,95.229126,17.40081,29.636045,2.993478,10.257337,259.536764,127.498873,164.307634,3.426562,5793,,17.40081
12/31/1999 00:00:00,0,,470.581606,12.162078,9.292697,55.904275,123.986637,29.42266,55.691913,4.00283,13.953825,348.136834,161.728439,224.150214,3.48599,9066,,29.42266
12/31/2000 00:00:00,0,,617.958008,19.253,7.486889,68.312,306.149001,70.610001,39.964001,4.107045,10.131085,589.422974,235.753006,283.274007,2.466758,13005,,70.610001
12/31/2001 00:00:00,,,801.45697,20.233,4.922096,92.716999,326.105996,46.577,29.316999,3.382054,7.024177,607.06897,243.438004,280.963003,2.076897,19879,,46.577
12/31/2002 00:00:00,,,931.964,23.806,5.789481,123.162,340.026,47.834,96.066,3.650704,7.871834,697.118,252.028,357.092,2.156251,27519,,47.834
12/31/2003 00:00:00,,,862.884,23.935,5.428537,105.63,332.052,48.444,227.177,3.213444,7.700809,792.561,220.008,460.509,2.396435,28955,,48.444
12/31/2004 00:00:00,,,952.901,51.132,12.346137,117.84,350.538,77.414,213.999,6.24793,15.732391,844.205,271.844,493.667,2.518016,45240,,77.414
12/31/2005 00:00:00,,,1195.868,58.251,12.408905,158.616,440.752,147.678,228.778,6.118825,15.260378,1059.788,383.357,619.036,2.494005,63786,,147.678
12/31/2006 00:00:00,,,1385.187988,70.915001,10.462378,186.634003,739.407029,245.479004,85.318001,5.928956,12.299855,1332.369995,485.760986,592.962988,2.07454,72568,,245.479004
12/31/2007 00:00:00,,,1593.795044,97.861,8.76226,225.338997,965.2285,101.018997,135.906998,6.668607,11.659304,1602.605957,481.871002,637.354,1.748387,85639,,101.018997
12/31/2008 00:00:00,,,1784.752,116.358,9.182002,252.174,1053.683,216.093,30.722,7.081825,11.670119,1683.496,547.443,629.813,1.647897,91343,,216.093
12/31/2009 00:00:00,0,,1847.654,88.201,6.458523,206.86,1114.065,191.105,25.95,5.10726,8.193548,1770.45,585.712,656.385,1.604294,100656,,191.105
12/31/2010 00:00:00,0,2.567638,2058.473,71.887,4.556421,210.821,1230.719,87.274,22.481,3.960776,6.15575,1859.495,550.672,628.776,1.554178,114772,,87.274
12/31/2011 00:00:00,0,3.056836,2126.222,91.896,5.273761,248.774,1277.577,104.739,17.871,4.926537,7.358491,1871.158,513.783,593.581,1.493644,106102,,104.739
12/31/2012 00:00:00,0,3.609953,2347.093,127.464,6.716358,294.244,1382.427,63.95,13.914,6.71926,9.621518,1922.831,472.541,540.404,1.431931,138000,,63.95
12/31/2013 00:00:00,0,4.780428,2433,129,6.010805,303,1396,49,4,6.763078,9.319638,1892,429,496,1.378017,149000,,49
12/31/2014 00:00:00,0,2.170381,2758,150,6.521594,361,1600,203,408,6.225358,10.043522,2927,767,1327,1.613324,182000,,203
12/31/2015 00:00:00,0,3.451683,3398,200,7.837757,473,1765,151,469,6.637902,11.929615,3099,745,1334,1.797197,190000,,151
12/31/2016 00:00:00,0,3.848933,3649,214,7.571545,530,1921,244,1688,5.287868,11.665304,4995,929,3074,2.206051,217000,,244
12/31/2017 00:00:00,0,4.705583,4180,312,10.73541,606,1922,219,1387,6.578809,16.330803,4490,932,2568,2.482334,223000,,219
