Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/2004 00:00:00,150.600006,,2504.300049,16.1,,447.099991,939.999981,290.700012,581.599976,,,2815.399902,676.799988,1875.399963,,14688,522,290.700012
12/31/2005 00:00:00,146.9,,2755.7,143.7,7.911754,638.6,964,56,890.2,5.008452,15.617019,2922.9,543.2,1958.9,3.118133,14434,649.7,56
12/31/2006 00:00:00,152.3,,3336.9,311.3,17.183978,807.5,1617.6,88,321.9,10.072641,24.894042,3258.2,590.7,1640.6,2.471451,14668,958.9,88
12/31/2007 00:00:00,152.5,3.222285,3781.3,422,18.14046,996.1,1898.2,53.6,164.2,11.760935,24.676919,3918.1,669.8,2019.9,2.098211,15044,1152,53.6
12/31/2008 00:00:00,163.2,3.738945,4298.1,439.4,17.862027,1106.8,2082.8,113.7,158.7,10.286544,22.425804,4625.1,930.2,2542.3,2.180111,15922,1188,113.7
12/31/2009 00:00:00,164,1.873413,3719.3,-70.8,,761,1942.4,75.9,363.8,-1.544671,-3.545407,4541.9,732.1,2599.5,2.29525,15618,843.5,75.9
12/31/2010 00:00:00,165.1,2.707826,4748.4,490.7,15.260394,1238.7,2446.8,126.3,407.1,9.771883,22.573374,5501.2,992.5,3054.4,2.310033,16314,1346.3,126.3
12/31/2011 00:00:00,172.9,2.648007,4909.7,352.6,9.682954,1072.1,2629.7,115.8,662.1,6.007735,14.032435,6237,1121.3,3607.3,2.335728,17168,1162.5,115.8
12/31/2012 00:00:00,173.7,2.438207,4634.9,120.7,3.862743,885.8,2121.3,238.7,958.5,1.896338,5.129077,6492.8,1161.3,4371.5,2.704728,16292,819.5,238.7
12/31/2013 00:00:00,173.8,2.150383,4478.9,2.6,-1.036923,717.5,2197.1,169.3,1247.4,0.040545,0.121441,6332.4,1058.6,4135.3,2.995212,16009,663.5,169.3
12/31/2014 00:00:00,183.1,2.120029,4826.4,203.8,6.305472,1022.2,1946.5,283.3,1318.2,3.06937,9.938555,6947.2,1164.9,5000.7,3.237979,16703,844.2,283.3
12/31/2015 00:00:00,175.3,2.21384,5296.2,246.7,6.560371,1114.8,2795.1,318.7,1136.7,3.471812,10.987396,7264.4,1157.6,4469.3,3.164744,16972,1129.1,318.7
12/31/2016 00:00:00,150,2.619433,4634.2,179.2,2.959831,905.4,2593.2,702.5,791.1,2.433791,7.243916,7461.6,1475.7,4868.4,2.976393,17205,822.8,702.5
12/31/2017 00:00:00,153.1,2.440244,4924.2,866.7,1.148069,939.3,3169.3,215.9,800.5,12.123967,31.524388,6835.7,852.1,3666.4,2.600171,13811,954.4,215.9
12/31/2017 00:00:00,153.1,2.440244,4924.2,866.7,,939.3,3169.3,215.9,800.5,12.123967462388,31.524388026043,6835.7,852.1,3666.4,2.21279138318382,13811,954.399996948242,215.9
