Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1993 00:00:00,,,2540.863708,-43.183796,,,627.130561,558.222217,58.087759,,,2702.41996,1769.945457,2075.289458,,17576,,558.222217
12/31/1994 00:00:00,,,2769.22134,46.700364,6.658869,,675.374088,427.10914,179.171094,1.872786,7.251966,2284.841713,1088.89114,1609.467569,3.872288,16156,,427.10914
12/31/1995 00:00:00,,,2456.042587,222.893242,23.825158,360.135819,943.616353,284.214725,150.188667,9.98812,27.699567,2178.325481,845.858634,1234.709111,2.773251,15059,,284.214725
12/31/1996 00:00:00,,,,,,,,,,,,,,,,14795,,
3/31/1997 00:00:00,,,2865.297382,168.982366,,285.270885,1068.916879,305.34421,203.80958,,,2361.553141,791.189855,1292.636332,,14687,,305.34421
3/31/1998 00:00:00,27.106967,,2518.050399,141.088568,9.400721,330.611326,1173.680135,246.634229,329.301761,5.678913,12.617874,2607.30513,803.41415,1433.62548,2.221882,14416,,246.634229
3/31/1999 00:00:00,26.452912,,2581.92982,108.350113,5.469821,347.733479,1355.383006,235.613685,497.618077,3.816088,8.620361,3071.291369,915.464802,1715.908769,2.258953,16179,,235.613685
3/31/2000 00:00:00,32,,2711.674072,128.925995,6.440809,349.080002,1445.122,310.609985,400.687988,4.162552,9.296148,3123.273926,910.947021,1678.152008,2.233281,15228,556.756104,310.609985
3/31/2001 00:00:00,32,,3166.093018,179.113998,7.867132,473.490997,1560.046991,347.772003,313.337006,5.490545,12.10433,3401.177979,1159.515991,1841.131012,2.204577,15658,719.114014,347.772003
3/31/2002 00:00:00,36,,3353.707031,54.924,0.990822,384.735992,1602.518974,433.359985,689.080017,1.466938,3.551286,4087.071045,1365.220947,2484.551971,2.420883,17129,694.077148,433.359985
3/31/2003 00:00:00,46,,4391.937988,77.972,1.818283,504.453995,1839.405925,576.041016,615.539001,1.812499,4.655694,4516.73877,1607.276001,2677.333007,2.56866,23381,916.368896,576.041016
3/31/2004 00:00:00,52,,4616.332,124.846,4.355974,566.295,1906.07,529.034,662.965,2.720948,6.861414,4659.916,1888.378,2753.846,2.5217,23216,904.408,529.034
3/31/2005 00:00:00,60,,5779.136,323.094,,913.501,2124.685,462.579,697.373,6.443134,16.441928,5369.179,2443.895,3244.494,2.551853,22955,1228.022,462.579
3/31/2006 00:00:00,61.5,,6230.603,519.461,17.330672,1086.774,2547.289,512.891,832.332,9.012304,22.768104,6158.639,2671.953,3611.35,2.526336,23661,1450.155,512.891
3/31/2007 00:00:00,66,,6943.85,757.403,19.981897,1554.2558,2882.3,629.564,739.583,11.664779,28.500031,6827.514,3150.276,3945.214,2.443255,25326,1790.589,629.564
3/31/2008 00:00:00,93,,10481.204,718.227,11.513005,2097.0891,4289.297,3031.674,1262.881,7.393234,20.926278,12601.792,6635.079,8312.495,2.830463,41490,2503.333,3031.674
3/31/2009 00:00:00,112,,11724.869,529.844,8.62366,1702.537,4262.508,1445.01,3500.555,4.164083,12.889496,12846.5,3858.55,8583.992,3.095398,41216,2476.77,1445.01
3/31/2010 00:00:00,108.8,1.3,8550.049,108.403,0.578051,1001.472,4262.447,1448.033,3268.281,0.862375,2.588565,12294.082,3606.853,8031.635,3.001671,39406,1669.851,1448.033
3/31/2011 00:00:00,109,2,10953.695,512.745,8.580984,1648.047,4691.113,1427.93,3070.553,4.042052,11.643523,13076.447,4161.291,8385.334,2.880597,40700,2434.023,1427.93
3/31/2012 00:00:00,116.7,2.9,12058.249,333.506,4.230877,1300.989,4836.291,1799.194,1970.658,2.596535,7.108185,12612.095,4616.977,7775.804,2.737565,46473,2444.18,1799.194
3/31/2013 00:00:00,125.6,2.3,11524.401,444.872,5.929059,1440.827,5075.252,1324.609,2558.804,3.463192,9.103275,13079.347,4137.253,8004.095,2.628579,46351,2307.644,1324.609
3/31/2014 00:00:00,128.4,2.6,11077.233,446.435,5.539363,1315.925,5261.598,831.826,2596.772,3.47228,8.749664,12634.881,3474.609,7373.283,2.519861,47485,2210.106,831.826
3/31/2015 00:00:00,126.7,2.65,11189.5,549.1,7.351804,1393.6,5115,890.2,3004.6,4.250069,10.717005,13204.7,3684.3,8089.7,2.521607,47418,2272,890.2
3/31/2016 00:00:00,131.8,2.53,11068.7,607.8,8.013356,1396.8,5651.6,898.2,3342.8,4.467262,11.677856,14006.6,3589.5,8355,2.714588,48367,2437,898.2
3/31/2017 00:00:00,140.3,3.13,11294.5,519.3,5.842132,1495.3,6060.3,1332.9,2764.7,3.617038,9.583611,14707.5,4457.3,8647.2,2.769573,49703,2517.4,1332.9
12/31/2017 00:00:00,,3.13,12653.7,714.5,,1837.8,6303.4,1854.2,2855.9,4.82980758506241,12.2799545712663,15309.9,4775.2,9006.5,2.72755207166853,50658,2909.90001220703,1854.2
