Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
3/31/1995 00:00:00,,,244.800003,58.400002,,191.100001,2049.200048,564.700012,822.400024,,,3589,,1539.800034,,595,,564.700012,,,,,,,
3/31/1996 00:00:00,,,268,70,0.991699,207.399999,2528.800049,512.700012,901.700012,1.820594,3.058104,4100.799805,,1572.000023,1.679729,621,,512.700012,,,,,,,
3/31/1997 00:00:00,,,274.899994,91.300003,1.371125,208.800004,2897.400047,523.799988,829.5,2.148943,3.365154,4396.399902,,1498.999992,1.565958,652,,523.799988,,,,,,,
3/31/1998 00:00:00,,,314.899994,107.300003,1.462506,243.399997,3488.900047,269.600006,1279.400024,2.230537,3.360318,5224.600098,,1735.700035,1.506506,709,,269.600006,,,,,,,
3/31/1999 00:00:00,,,309.100006,110.300003,1.240695,228.999995,3603.899994,284,1213.099976,2.094589,3.110196,5307.299805,,1703.399971,1.484872,774,,284,,,,,,,
3/31/2000 00:00:00,,,325.799988,115.099998,1.205368,230.200002,5173.5,396.299988,1442.599976,1.827434,2.622644,7289.600098,,2107.499969,1.435152,838,,396.299988,,,,,,,
3/31/2001 00:00:00,,,360,116,0.749027,247,4973,665,1527,1.575167,2.286503,7439,,2466,1.451594,971,,665,,,,,,,
3/31/2002 00:00:00,,,346,106,0.627943,233,3945,312,1632,1.562039,2.377215,6133,,2188,1.521866,1084,,312,,,,,,,
3/31/2003 00:00:00,,,299,140,1.714867,242,2936,423,1401,2.515271,4.069176,4999,,2063,1.617788,858,,423,,,,,,,
3/31/2004 00:00:00,,,263,110,0.821355,196,3395,215,1540,2.11315,3.474964,5412,,2017,1.644448,750,,215,,,,,,,
3/31/2005 00:00:00,,,805,498,11.559064,,3699,102,1598,8.914347,14.040034,5761,,2062,1.574993,763,,102,,,,,,,
3/31/2006 00:00:00,,,1211,852,19.987021,,4006,231,1632,14.046657,22.115509,6370,,2364,1.574432,733,,231,,,,,,,
3/31/2007 00:00:00,,2.152,1615,1056,23.791641,,4249,675,1300,15.977003,25.584494,6849,,2600,1.601333,765,,675,,,,,,,
3/31/2008 00:00:00,,2.576,1250,828,18.372261,,4057,373,1956,11.966183,19.937395,6990,,2933,1.666145,772,,373,,,,,,,
3/31/2009 00:00:00,,2.179,-2134,-1948,,-2377,1862,349,2184,-32.684564,-65.821929,4930,,3068,2.013854,702,,349,,,,,,,
3/31/2010 00:00:00,,1.978,932,154,5.111562,716,3068,125,2327,2.834791,6.247465,5935,,2867,2.203854,530,,125,,,,,,,
3/31/2011 00:00:00,,1.302,693,186,4.731518,517,3357,31,1975,3.181119,5.789883,5759,,2402,1.820078,470,,31,,,,,,,
3/31/2012 00:00:00,,0.64,-255,-783,,-432,2627,231,1358,-15.114371,-26.169786,4602,,1975,1.731451,472,,231,,,,,,,
3/31/2013 00:00:00,,3.361,824,360,10.21399,482,2934,164,855,8.154944,12.947312,4227,,1293,1.587664,358,,164,,,,,,,
3/31/2014 00:00:00,,3.222,765,517,10.509452,593,3308,,849,11.944091,16.565203,4430,,1122,1.386895,277,,,,,,,,,
3/31/2015 00:00:00,,8.278,953,700,14.337925,830,3806,0,815,14.981273,19.679505,4915,,1109,1.313607,271,,0,,,,,,,
3/31/2016 00:00:00,,5.821,994,817,14.510099,859,4455,262,575,15.607985,19.779688,5554,,1099,1.26728,276,,262,456.4,749.5,859,,True,True,
3/31/2017 00:00:00,,7.544,1779,1625,26.327835,1560,5836,0,575,26.493845,31.580993,6713,,877,1.192012,281,,0,749.5,859,,,True,,
9/30/2017 00:00:00,,7.544,1416,1259,19.0970097339254,,6320,0,575,18.4266373948042,21.6323024054983,7186,,866,1.143385982231,,,0,913,,,,,,
