Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/1994 00:00:00,0,,1482.041758,29.389492,,,256.620148,185.18385,124.487637,,,1582.056183,1168.79425,1325.436034,,11481,,185.18385,,,,,,,
12/31/1995 00:00:00,0,,1677.148318,39.684829,14.660339,,287.175604,166.239948,115.250081,2.433954,14.764876,1678.879233,1244.125107,1391.703629,6.066211,12095,,166.239948,,,,,,,
12/31/1996 00:00:00,0,,1923.184643,43.849843,,,325.424014,176.150638,178.374382,2.482447,14.663853,1853.911988,1309.298859,1528.487974,5.907014,14742,,176.150638,,,,,,,
12/31/1997 00:00:00,0,,2166.107725,54.535838,12.107493,,343.712812,202.480978,191.746902,2.809723,17.046298,2028.025194,1442.621374,1684.312382,6.066896,15421,,202.480978,,,,,,,
12/31/1998 00:00:00,0,,2459.76825,68.01053,12.474514,,496.333826,215.47486,153.93122,3.063068,16.708995,2412.654911,1726.43732,1916.339115,5.454986,15818,,215.47486,,,,,,,
12/31/1999 00:00:00,0,,2699.662231,85.115334,11.139218,,672.472444,265.785583,270.557619,3.236503,14.897489,2847.05444,1835.472936,2174.581996,4.602958,19071,,265.785583,,,,,,,
12/31/2000 00:00:00,0.012784,,3410.984097,120.767795,12.076362,274.260036,836.837234,220.415179,188.771892,3.904695,16.435523,3338.718402,2121.993437,2501.881168,4.209169,28732,,220.415179,,,,,,,
12/31/2001 00:00:00,5.848,,3921.38208,149.231003,12.840439,341.831001,936.814022,193.742996,227.507004,4.134218,17.295084,3880.591064,2475.635986,2943.776993,4.183399,30107,,193.742996,,,,,,,
12/31/2002 00:00:00,10.554,,4420.187012,181.410995,14.306448,387.803009,1003.856012,712.137024,212.089996,4.125266,19.184151,4914.526855,3390.868896,3910.670898,4.650404,31829,,712.137024,,,,,,,
12/31/2003 00:00:00,8.394,,8825.118164,229.507996,9.622978,765.640991,1868.832962,1462.510986,728.674988,2.848563,16.691485,11199.419922,7740.785156,9330.58313,5.859615,77219,,1462.510986,,,,,,,
12/31/2004 00:00:00,0,,10817.882812,452.490997,16.459362,954.446014,2170.230949,1090.416992,1880.428955,3.834822,23.65326,12399.639648,7812.559082,10229.409058,6.16802,107748,,1090.416992,,,,,,,
12/31/2005 00:00:00,0,,12113.885742,608.656982,16.580366,1047.563019,2886.129913,1287.30603,4983.347168,4.042603,25.424322,17712.490234,9296.054688,14826.359863,6.289096,107748,,1287.30603,,,,,,,
12/31/2006 00:00:00,,,13868.677,1250.088,27.047938,1201.073,3337.423,1424.236,10088.852,5.828569,42.173788,25182.704,11200.158,21845.281,7.235702,118823,,1424.236,,,,,,,
12/31/2007 00:00:00,55,,15344.899,1551.115,-30.656613,1948.94,10441.035,3842.466,16804.487,4.148689,39.516296,49593.444,17691.663,39152.409,9.525008,144919,,3842.466,,,,,,,
12/31/2008 00:00:00,0,,16009.99,1805.036,-98.57713,1587.735,9913.04,4145.663,9576.277,3.574619,44.811219,51398.365,30415.654,41485.325,12.535944,138936,,4145.663,33.66,34.81,35.075,22.9,False,False,False
12/31/2009 00:00:00,,,15390.588,1946.188,1.65202,1378.01,4507.92,2381.649,11636.839,4.703234,51.067224,31361.194,13799.111,26853.274,10.857895,142176,,2381.649,34.81,35.075,22.9,19.04,False,False,False
12/31/2010 00:00:00,,,14331.943,1312.557,15.559304,1411.143,4442.386,4336.735,9621.194,4.005012,31.2581,34184.527,18971.136,29742.141,7.804746,138542,,4336.735,35.075,22.9,19.04,25.02,False,False,False
12/31/2011 00:00:00,,,28476.408,961.94,8.467399,2328.103,6191.264,4225.761,12269.823,2.34128,25.659845,47987.61,25654.275,41796.346,10.95975,162262,,4225.761,22.9,19.04,25.02,28.97,False,False,False
12/31/2012 00:00:00,,4.474,38399.728,-1926.438,,3060.369,5711.508,6393.395,5154.563,-4.302438,-64.476806,41563.376,26736.888,35851.868,14.986108,161865,,6393.395,19.04,25.02,28.97,27.015,True,True,True
12/31/2013 00:00:00,,4.562,35182.965,701.541,,2683.486,5488.908,3863.246,7411.353,1.720966,23.682983,39965.379,23152.958,34476.471,13.761449,157689,,3863.246,25.02,28.97,27.015,30.02,True,False,False
12/31/2014 00:00:00,,4.576,34887.35,717.09,,1783.646,4897.888,6203.509,6090.901,1.808867,22.759614,39320.735,24887.894,34422.847,12.582251,210345,,6203.509,28.97,27.015,30.02,32.62,False,False,False
12/31/2015 00:00:00,0,4.576,33291.309,725.322,,1741.204,5197.269,3362.744,7382.116,1.944548,22.474855,35279.828,19393.135,30082.559,11.557879,197651,,3362.744,27.015,30.02,32.62,,True,False,
12/31/2016 00:00:00,0,4.576,31975.212,751.016,,1751.364,4967.549,3782.279,4906.844,2.187007,21.471906,33399.985,20498.101,28432.436,9.817943,169766,,3782.279,30.02,32.62,,,False,,
12/31/2017 00:00:00,0,,34898.213,802.01,,1940.445,5164.029,2879.112,5160.671,2.457113,21.921203,31880.684,18813.263,26716.655,8.921527,181527,,2879.112,32.62,,,,,,
12/31/2017 00:00:00,,4.576,34898.213,802.01,,1940.445,5164.029,2879.112,5160.671,2.45711329949759,21.921202731971,31880.684,18813.263,26716.655,8.41743381915527,181527,,2879.112,32.62,,,,,,
