Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/1992 00:00:00,,,2656.545946,148.813299,,,1344.834528,3240.214458,1052.988834,,,24852.01861,,23507.184707,,15100,,3240.214458,,,,,,,
12/31/1993 00:00:00,,,2880.146945,182.461358,8.804991,,1591.571535,2347.526814,939.466651,0.731024,13.87477,26431.459278,,24839.888623,20.59979,15500,,2347.526814,,,,,,,
12/31/1994 00:00:00,,,2488.051765,269.819342,11.986702,,1669.496814,2793.2354,980.31757,1.013928,18.822868,26594.178793,,24924.6822,19.626445,15105,,2793.2354,,,,,,,
12/31/1995 00:00:00,,,2723.969162,304.229251,12.510462,,1713.423338,5045.163452,853.700407,1.066814,20.148892,29953.290726,,28239.865972,19.787146,15214,,5045.163452,,,,,,,
12/31/1996 00:00:00,,,2975.885072,343.972038,12.92969,,2035.113078,5190.443146,1458.880897,1.084237,21.289687,35509.778734,,33474.663403,20.498237,15882,,5190.443146,,,,,,,
12/31/1997 00:00:00,,,3955.234114,483.770208,14.684003,,2736.856233,8602.289354,1784.793449,1.195767,23.675529,48805.545103,,46068.683803,20.610908,23921,,8602.289354,,,,,,,
12/31/1998 00:00:00,,,5015.46541,650.105896,15.350334,,3251.690613,10161.374453,2327.352165,1.281041,24.659569,53718.284441,,50466.593828,19.790791,23749,,10161.374453,,,,,,,
12/31/1999 00:00:00,,,4982,777,14.599031,,4123,14955,3013,1.286549,23.488082,67070,,62947,18.640507,26264,,14955,,,,,,,
12/31/2000 00:00:00,,,6606,804,10.447935,,5480,20990,3142,1.091501,18.243165,80250,,74770,17.140198,31648,,20990,,,,,,,
12/31/2001 00:00:00,,,6960,499,2.117911,,5442,22059,3555,0.588412,9.85643,89359,,83917,17.270034,32397,,22059,,,,,,,
12/31/2002 00:00:00,,,5160,1042,10.542793,,4689,18368,3018,1.189634,22.833168,85821,,81132,19.341945,32043,,18368,,,,,,,
12/31/2003 00:00:00,,,4712,682,4.159888,,5296,19721,3992,0.817839,14.843236,80960,,75664,18.283381,25567,,19721,,,,,,,
12/31/2004 00:00:00,,,5294,1129,11.017797,,7138,27963,7036,1.240189,21.053617,101109,,93971,17.036493,,,27963,,,,,,,
12/31/2005 00:00:00,,,6405,1343,12.158413,,8417,38000,12696,1.146281,21.631634,133214,,124797,18.871144,24402,,38000,,,,,,,
12/31/2006 00:00:00,,,8415,2185,20.592567,,9912,49313,17395,1.497909,29.566982,158526,,148614,19.738836,,,49313,,,,,,,
12/31/2007 00:00:00,,,12436,1949,14.370914,,11178,57033,19827,1.158781,22.353481,177862,,166684,19.290515,,,57033,,,,,,,
12/31/2008 00:00:00,,,11542,772,5.071315,,10313,50960,16958,0.428846,8.022296,182174,,171861,19.675174,25815,,50960,,,,,,,
12/31/2009 00:00:00,,,7248,-2413,,,11335,8952,35240,-1.353762,-19.504015,174314,,162979,18.116069,24681,,8952,,,,,,,
12/31/2010 00:00:00,,,5391,-10162,,,4349,9209,19995,-6.360473,-141.453229,145222,,140873,22.239421,,,9209,,,,,,,
12/31/2011 00:00:00,,,7529,-2292,,,14463,1011,16863,-1.626264,-25.295221,136651,,122188,15.554188,14282,,1011,,,,,,,
12/31/2012 00:00:00,,,3374,-3557,,,11355,586,11937,-2.745107,-27.554419,122501,,111146,10.037648,13429,,586,,,,,,,
12/31/2013 00:00:00,,,3728,-1597,,,10494,1260,10111,-1.329532,-14.618518,117734,,107240,10.99524,11431,,1260,,,,,,,
12/31/2014 00:00:00,,,3975,915,8.293302,,11572,715,9312,0.812651,8.293302,107455,,95883,10.205248,11384,,715,,,,,,,
12/31/2015 00:00:00,,,3566,1380,7.875211,,12148,896,9319,1.310684,7.875211,103122,,90974,8.877614,10663,,896,6.66,5,5.5,,False,False,
12/31/2016 00:00:00,,,3552,1356,10.428526,,13148,859,7671,1.364569,10.428526,95622,,82474,7.856736,10226,,859,5,5.5,,,False,,
12/31/2017 00:00:00,,0.6,3351,1114,8.049327,,13612,869,5383,1.199888,8.049327,90062,,76450,6.938864,10137,,869,5.5,,,,,,
12/31/2017 00:00:00,,0.6,3351,1114,8.04932735426009,,13612,869,5383,1.19988798173241,8.04932735426009,90062,,76450,6.73069609634242,10137,,869,5.5,,,,,,
