Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/1988 00:00:00,,,5585.35251,229.212144,,,4633.378082,0,0,,,16937.310502,,12303.932546,,41752,,0,,,,,,,
12/31/1989 00:00:00,,,17750.450336,439.605196,9.481143,,6224.084392,16.872632,988.920322,1.033411,11.991622,68141.211148,,61917.126694,11.603928,117000,,16.872632,,,,,,,
12/31/1990 00:00:00,,,20265.335321,344.051877,4.723722,,7157.637458,37.623924,1003.840284,0.479252,7.393751,75437.378249,,68279.745627,15.427679,162000,,37.623924,,,,,,,
12/31/1991 00:00:00,,,27168.235081,194.979617,1.340574,,7269.540727,148.696967,1003.304463,0.232523,3.695226,92270.201462,,85000.66551,15.891852,171000,,148.696967,,,,,,,
12/31/1992 00:00:00,,,30781.956222,259.314454,2.244877,,7774.428228,254.278241,1034.874178,0.261512,4.662827,106049.357881,,98274.93087,17.830279,74263,,254.278241,,,,,,,
12/31/1993 00:00:00,,,37206.782095,492.428787,-0.103162,,8391.259441,247.683078,1487.670761,0.433775,8.354196,120993.916266,,112602.657558,19.259271,69859,,247.683078,,,,,,,
12/31/1994 00:00:00,,,35612.502109,491.300381,5.329269,,8927.667662,688.659047,1464.186535,0.393025,7.891655,129015.862191,,120088.198087,20.079272,66445,,688.659047,,,,,,,
12/31/1995 00:00:00,,,39842.827278,832.996708,9.57525,,9443.611975,1037.053348,1537.659154,0.603792,12.310993,146905.821314,,137462.202223,20.389457,69236,,1037.053348,,,,,,,
12/31/1996 00:00:00,,,42481.197241,843.631604,8.559208,,10404.738354,806.665176,1781.034089,0.551066,11.209163,159275.761441,,148871.016222,20.340865,65836,,806.665176,,,,,,,
12/31/1997 00:00:00,,,45733.832471,1383.658064,9.311911,,24569.670988,1437.394891,2671.193254,0.700006,11.110085,236051.701835,,211482.024231,15.871413,73290,,1437.394891,,,,,,,
12/31/1998 00:00:00,,,57378.145564,1819.07428,7.858267,,34190.190454,10597.240246,11918.469397,0.628634,9.260763,342687.183958,,308497.004988,14.73157,105676,,10597.240246,,,,,,,
12/31/1999 00:00:00,,,68200.898438,2233.199951,7.550714,,41006.000489,3450.600098,13517.299805,0.615642,8.754156,382806.3125,,341800.29834,14.219553,113584,,3450.600098,,,,,,,
12/31/2000 00:00:00,,,72801.601562,3460.100098,9.600912,,51803.601074,14855.5,16527.699219,0.841054,10.747021,439994.90625,,388191.300781,12.778043,119683,,14855.5,,,,,,,
12/31/2001 00:00:00,,,76337,1585,3.636245,,49013,308517,151085,0.229225,4.712549,942925,,893912,20.558606,179946,,308517,,,,,,,
12/31/2002 00:00:00,,,76698,-1496,,,29937,301627,75895,-0.166687,-5.599221,852056,,822119,33.591231,181651,,301627,,,,,,,
12/31/2003 00:00:00,,,81369,1890,5.31729,,36959,18894,72288,0.211413,7.505361,935912,,898953,35.500913,173750,,18894,,,,,,,
12/31/2004 00:00:00,,,91266,2266,5.434653,,37691,23671,47311,0.235278,7.735504,990318,,952627,32.878113,162180,,23671,,,,,,,
12/31/2005 00:00:00,,,89364,4380,10.273164,,47102,25818,48069,0.442512,12.607582,989288,,942186,28.490919,177625,,25818,,,,,,,
12/31/2006 00:00:00,,,93127,7021,11.957585,,56890,24124,47160,0.687486,15.607772,1053226,,996336,22.702672,166505,,24124,,,,,,,
12/31/2007 00:00:00,,5.2,94767,7966,11.177749,,51381,19227,52697,0.753509,16.218417,1061149,,1009768,21.523861,181207,,19227,,,,,,,
12/31/2008 00:00:00,,3.799,76195,-2444,-3.602522,,37248,4103,14787,-0.242373,-6.002186,955576,,918328,24.764235,182865,,4103,,,,,,,
12/31/2009 00:00:00,,4.821,85155,4297,7.021449,,42287,16103,22454,0.558189,11.637102,584045,,541758,20.847949,153203,,16103,,,,,,,
12/31/2010 00:00:00,,6.599,92403,5053,7.106323,,46562,15887,22495,0.835904,11.937583,624945,,578383,14.28104,151338,,15887,,,,,,,
12/31/2011 00:00:00,,5.263,90069,2545,1.109545,,47253,1119,17703,0.401921,5.69313,641472,,594219,14.164788,141938,,1119,,,,,,,
12/31/2012 00:00:00,,6.622,99011,5231,6.671353,,52963,1180,18394,0.783131,10.977619,694447,,641484,14.017597,144094,,1180,,,,,,,
12/31/2013 00:00:00,,7.229,98967,5996,7.120392,,52849,869,18715,0.85293,11.935664,711530,,658681,13.99372,147627,,869,,,,,,,
12/31/2014 00:00:00,,5.187,100399,6221,5.577862,,63702,1041,19203,0.82,11.226101,805787,,742085,13.690366,147425,,1041,137.35,163.55,157,191.5,True,False,True
12/31/2015 00:00:00,,19.126,107062,6616,5.320806,,66099,1276,19365,0.799648,10.680356,848942,,782843,13.356329,142459,,1276,163.55,157,191.5,,False,False,
12/31/2016 00:00:00,,4.588,107718,6962,5.380581,,70135,4937,21145,0.803578,10.692099,883809,,813674,13.30562,140253,,4937,157,191.5,,,True,,
12/31/2017 00:00:00,,5.154,107395,6803,4.963902,,68602,4794,22892,0.762194,10.25815,901300,,832698,13.458707,140553,,4794,191.5,,,,,,
12/31/2017 00:00:00,,5.154,107395,6803,,,68602,4794,22892,0.762194353398028,10.2581501251546,901300,,832698,13.7351814979323,140553,,4794,191.5,,,,,,
