Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/1988 00:00:00,,,72.688898,51.573315,,30.418549,147.739572,9.513183,15.491294,,,187.961882,24.731016,40.22231,,962,38.061483,9.513183,,,,,,,
12/31/1989 00:00:00,,,80.663061,35.618523,19.797298,27.984575,162.956031,6.764438,15.436462,19.199463,25.89034,197.545767,19.153275,34.589738,1.354729,963,34.395383,6.764438,,,,,,,
12/31/1990 00:00:00,,,101.574947,40.827904,17.439995,36.52468,225.184679,5.94826,20.13376,17.382046,23.251965,271.116762,25.798309,45.93207,1.343579,1159,42.91788,5.94826,,,,,,,
12/31/1991 00:00:00,,,101.022333,26.792202,8.644148,19.706238,263.92771,2.383272,14.926315,10.071966,13.899938,299.725412,20.871399,35.797715,1.389236,1254,31.654182,2.383272,,,,,,,
12/31/1992 00:00:00,,,127.367346,31.896578,9.682074,28.567948,230.819511,47.751438,6.983042,10.041778,14.522303,301.399121,63.596582,70.579624,1.454239,1377,37.962274,47.751438,,,,,,,
12/31/1993 00:00:00,,,133.970009,33.483862,10.545915,18.624524,277.131716,4.74573,25.89762,10.503164,15.0152,331.935155,28.905809,54.803429,1.436035,1315,36.279559,4.74573,,,,,,,
12/31/1994 00:00:00,,,138.857675,51.496885,14.0195,26.054973,382.124161,25.506239,63.3744,12.420064,18.417775,495.10271,49.604161,112.978561,1.487332,1656,45.826095,25.506239,,,,,,,
12/31/1995 00:00:00,,,281.485095,89.828952,20.409963,110.668,434.042967,30.682079,66.787758,16.327117,25.038572,589.777769,88.947042,155.7348,1.536257,1934,139.084903,30.682079,,,,,,,
12/31/1996 00:00:00,,,281.79233,48.735705,8.05002,72.478739,492.291113,53.688889,87.4803,8.056811,12.153185,675.65666,95.885273,183.365573,1.513286,1968,100.595482,53.688889,,,,,,,
12/31/1997 00:00:00,,,250.444415,230.939895,33.281248,59.333036,939.195221,9.888,65.425601,26.958766,36.666664,1073.50724,68.886399,134.312,1.361068,1863,95.883495,9.888,,,,,,,
12/31/1998 00:00:00,,,184.670429,56.031062,3.786104,34.646426,1021.920105,3.319,510.956748,4.085333,6.576893,1664.97633,122.637053,643.05295,1.614657,1743,62.661963,3.319,,,,,,,
12/31/1999 00:00:00,,,145.272682,15.692037,-1.169039,33.648905,1098.071976,64.801597,1010,0.802283,1.810125,2286.316879,160.953597,1188.244797,2.279721,1935,50.149817,64.801597,,,,,,,
12/31/2000 00:00:00,,,765.918961,137.453202,6.888196,351.740772,1210.643872,92.161291,1003.467642,5.828674,15.680166,2535.406416,245.564271,1324.762505,2.693146,2130,347.345893,92.161291,,,,,,,
12/31/2001 00:00:00,,,769.568648,61.934218,-0.178587,281.872702,1210.330664,104.7024,957.445315,2.519113,6.964851,2496.1343,233.689936,1285.803668,2.771248,2372,263.004342,104.7024,,,,,,,
12/31/2002 00:00:00,4.208911,,863.089721,96.798938,4.537979,342.594807,1274.701118,124.000452,841.299387,3.971483,10.589166,2458.299481,247.000779,1183.599893,2.671819,2348,304.896471,124.000452,,,,,,,
12/31/2003 00:00:00,5.724015,,977.959344,180.692424,12.502693,527.876799,1249.070162,166.70866,690.839241,7.684218,20.239784,2406.234598,308.916985,1157.16446,2.636853,2458,487.779251,166.70866,,,,,,,
12/31/2004 00:00:00,10.3,,1942.1,579.5,36.052673,1353.4,2070,104.7,498.1,20.675625,49.30971,3199.4,404.5,1129.4,2.38492,2842,1348.7,104.7,,,,,,,
12/31/2005 00:00:00,22.4,,2445.3,725.8,29.020301,1660.8,2763,97.2,368.1,20.799541,41.389142,3779.6,389.1,1016.6,1.989906,3086,1759.7,97.2,,,,,,,
