Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/1994 00:00:00,3.346175,,62.028576,1.993003,,6.476351,25.751575,7.786868,6.807611,,,64.794367,26.974965,39.042796,,1099,21.944355,7.786868,,,,,,,
12/31/1995 00:00:00,5.098675,,147.692304,-9.136411,,-5.16175,92.043415,1.470702,10.627986,-7.728227,-15.512394,171.648266,58.602541,79.60485,2.007238,1154,51.640647,1.470702,,,,,,,
12/31/1996 00:00:00,8.984848,,217.814504,17.152892,16.066749,34.260407,121.476969,1.905877,8.667202,9.480063,16.066749,190.224672,49.688934,68.747703,1.694793,,78.503977,1.905877,,,,,,,
12/31/1997 00:00:00,13.386516,,189.22635,9.892408,7.910014,23.097413,128.646696,1.724365,15.746174,5.043961,7.910014,202.022958,46.285582,73.376261,1.568215,,66.84182,1.724365,,,,,,,
12/31/1998 00:00:00,10.754591,,150.927303,-2.042011,,8.394934,125.742503,11.162993,15.065504,-1.032702,-1.605423,193.446501,43.517523,67.704009,1.554584,,47.919194,11.162993,,,,,,,
12/31/1999 00:00:00,7.6,,105.599998,2.4,1.850138,6.5,133.699997,9,12.1,1.212909,1.850138,202.300003,49.099998,68.599999,1.525373,733,34.599998,9,,,,,,,
12/31/2000 00:00:00,11.44,,197.972,18.466999,9.682705,24.524001,247.742996,1.693,10.699,6.994453,9.682705,325.747009,61.446999,78.003999,1.384341,,76.801003,1.693,,,,,,,
12/31/2001 00:00:00,15.446,,150.029999,-16.978001,,12.263,228.301994,1.648,9.04,-5.681748,-7.13294,271.885986,29.860001,43.584001,1.255413,746,53.777,1.648,,,,,,,
12/31/2002 00:00:00,12.47,,83.227997,-17.011,,-7.191,200.531994,1.228,7.812,-6.582135,-7.93442,244.998001,31.603001,44.466001,1.205448,642,27.378998,1.228,,,,,,,
12/31/2003 00:00:00,13.564,,85.5,-13.497,,-12.898001,183.696995,0.934,7.945,-5.787549,-7.029797,221.417007,25.736,37.72,1.214641,746,22.154999,0.934,,,,,,,
12/31/2004 00:00:00,12.5,,126.341,-5.427,,2.788,177.108,0.753,13.361,-2.41867,-3.010827,227.342,33.875,50.234,1.244827,798,37.989,0.753,,,,,,,
12/31/2005 00:00:00,17.917999,,164.261993,-5.181,,6.796,181.589001,21.15,61.636002,-1.961096,-2.891151,301.036011,52.965,119.447002,1.474253,1087,57.36499,21.15,,,,,,,
12/31/2006 00:00:00,18.217,,191.191,10.667,5.679238,21.983,194.531,25.29,54.738,3.468695,5.679238,314.008,61.634,119.477,1.637284,1165,74.754,25.29,,,,,,,
12/31/2007 00:00:00,21.312,,166.471,-5.6,,3.004,178.718,20.945,50.569,-1.869742,-3.005767,285.005,52.367,106.287,1.607584,,57.461,20.945,,,,,,,
12/31/2008 00:00:00,16.073,,149.399,-34.283,,-1.151,146.284,21.302,40.322,-12.988838,-21.145442,242.879,53.029,96.595,1.62797,1182,49.885,21.302,1.66,2.67,5.039,5.12,True,True,True
12/31/2009 00:00:00,19.766,,147.891,5.251,3.481368,17.924,156.276,15.819,37.638,2.049495,3.481368,269.54,73.356,113.264,1.698647,1384,40.78,15.819,2.67,5.039,5.12,5.79,True,True,True
12/31/2010 00:00:00,24.205,,351.149,46.99,21.496309,60.47,219.012,18.224,28.152,15.157478,25.126528,350.484,98.742,131.472,1.657699,1510,138.49,18.224,5.039,5.12,5.79,8.215,False,False,True
12/31/2011 00:00:00,27.481,,326.927,26.201,7.648514,45.59,256.857,24.085,0.695,7.492433,11.053432,348.915,77.684,92.058,1.475279,1543,130.719,24.085,5.12,5.79,8.215,18.53,True,True,True
12/31/2012 00:00:00,27.349,,273.72,15.587,1.654257,32.394,264.951,24.928,1.926,4.376422,5.99928,363.402,82.994,98.451,1.370818,1479,108.709,24.928,5.79,8.215,18.53,18.56,True,True,True
12/31/2013 00:00:00,24.753,,254.936,16.015,1.406336,27.943,264.158,15.574,3.059,4.548992,6.08058,340.71,59.787,76.552,1.336687,1434,101.53,15.574,8.215,18.53,18.56,31.64,True,True,True
12/31/2014 00:00:00,27.896,,378.797,71.131,4.934088,82.108,328.824,14.383,2.978,18.119824,24.101542,444.408,91.993,115.584,1.33012,1632,165.836,14.383,18.53,18.56,31.64,69.91,False,True,True
12/31/2015 00:00:00,38.457,,349.206,48.98,1.077348,73.002,332.22,8,13.352,11.168191,14.889529,432.726,67.379,100.506,1.333209,1539,170.44,8,18.56,31.64,69.91,,True,True,
12/31/2016 00:00:00,35.859,,375.375,65.223,-3.794865,89.784,345.037,14.095,122.603,12.785126,19.353231,587.569,97.538,242.532,1.51373,1669,191.481,14.095,31.64,69.91,,,True,,
12/31/2017 00:00:00,35.876,,592.785,172.991,0.007717,222.797,434.132,12.97,267.274,23.656533,44.496832,874.953,146.286,440.821,1.880953,2040,338.625,12.97,69.91,,,,,,
12/31/2017 00:00:00,35.8760005569458,,592.785,173.155,,222.797,434.132,12.97,267.274,23.6789600429942,44.5390158486412,874.953,146.286,440.821,1.88528336492022,2040,338.624995025635,12.97,69.91,,,,,,
