Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
3/31/1993 00:00:00,,,2346.856952,92.69088,,,931.791677,2304.938629,976.114984,,,20020.624793,,19088.833097,,12130,,2304.938629,,,,,,,
3/31/1994 00:00:00,,,2162.744931,223.473902,14.497851,,1122.019124,2701.802083,1141.175551,1.056011,20.945682,21573.367188,,20451.348394,21.709652,12169,,2701.802083,,,,,,,
3/31/1995 00:00:00,,,2009.614395,284.675273,15.753749,,1267.007368,3220.739495,1102.561266,1.244836,22.015259,22904.48252,,21637.474457,18.953328,12209,,3220.739495,,,,,,,
3/31/1996 00:00:00,,,2216.581702,271.216061,11.279242,,1538.924807,3980.284478,842.180804,1.077792,17.861794,26254.796999,,24715.87152,17.797405,12630,,3980.284478,,,,,,,
3/31/1997 00:00:00,,,2030.946056,338.512179,12.69756,,1924.009452,3208.043407,1257.220931,1.312382,19.326377,26771.713769,,24847.705148,15.585545,10755,,3208.043407,,,,,,,
3/31/1998 00:00:00,,,3194.153234,469.549126,15.914849,,2076.66892,6114.432885,2157.078801,1.247188,23.909443,49949.703356,,47873.032412,20.037641,12994,,6114.432885,,,,,,,
3/31/1999 00:00:00,,,3976.819662,793.586299,24.032253,,2935.634437,6861.664576,2509.002443,1.516847,31.990302,54314.316043,,51378.681606,21.715407,15618,,6861.664576,,,,,,,
3/31/2000 00:00:00,,,3991,715,15.008738,,3371,11697,3434,1.168957,22.660896,68017,,64646,20.087951,16366,,11697,,,,,,,
3/31/2001 00:00:00,,,5300,757,12.48231,,3916,13423,7611,1.030689,20.690631,78875,,74959,20.788565,17356,,13423,,,,,,,
3/31/2002 00:00:00,,,5326,912,14.094044,,4346,16158,2951,1.097651,22.445141,87298,,82952,20.83674,18438,,16158,,,,,,,
3/31/2003 00:00:00,,,5019,835,11.107043,,4161,18716,6256,0.945635,20.163554,89303,,85142,21.555108,18214,,18716,,,,,,,
3/31/2004 00:00:00,,,5065,943,12.890013,,4411,25780,7879,0.963553,22.527406,106431,,102020,23.579569,17584,,25780,,,,,,,
3/31/2005 00:00:00,,,5894,1055,14.161985,,4412,20865,25303,0.900897,24.508427,127780,,123368,27.412336,16960,,20865,,,,,,,
3/31/2006 00:00:00,,,7243,1230,15.207276,,5231,32312,43307,0.848299,25.740271,162212,,156981,30.667513,16190,,32312,,,,,,,
3/31/2007 00:00:00,,,9386,1651,17.783375,,6758,20405,67331,0.940674,27.472712,188813,,182055,29.473132,15952,,20405,,,,,,,
3/31/2008 00:00:00,,,11521,1699,19.877194,,6522,12381,68650,0.879748,25.726832,197434,,190912,29.243413,,,12381,,,,,,,
3/31/2009 00:00:00,,,10236,69,1.034793,,6913,9306,53075,0.035245,1.034793,194116,,187203,29.360378,15868,,9306,,,,,,,
12/31/2010 00:00:00,,,8546,-614,,,7407,5097,31468,-0.339612,-11.560938,167473,,160066,25.458635,14284,,5097,,,,,,,
12/31/2011 00:00:00,,,7226,45,,,10252,1949,20550,0.02792,-1.241953,154880,,144628,18.364553,13671,,1949,,,,,,,
12/31/2012 00:00:00,,,4529,-1824,,,8604,1965,19780,-1.203857,-21.486724,148146,,139542,16.124408,13091,,1965,,,,,,,
12/31/2013 00:00:00,,,4373,-483,,,7883,1680,16955,-0.344657,-8.470874,132133,,124250,17.007221,11255,,1680,,,,,,,
12/31/2014 00:00:00,,,4297,786,7.760799,,8747,956,18540,0.600153,7.760799,129800,,121053,15.758212,11086,,956,9.39,10.14,7.02,7.095,False,False,False
12/31/2015 00:00:00,,,4360,940,8.359046,,9113,849,15683,0.720969,8.359046,130960,,121847,14.628892,11145,,849,10.14,7.02,7.095,,False,False,
12/31/2016 00:00:00,,,3931,799,7.760904,,9419,3652,12124,0.630059,7.760904,122667,,113248,13.707345,11208,,3652,7.02,7.095,,,False,,
12/31/2017 00:00:00,,1.21,3568,664,6.962233,,9667,4343,10500,0.541552,6.962233,122554,,112887,13.422058,11322,,4343,7.095,,,,,,
12/31/2017 00:00:00,,1.21,3568,664,6.96223316912972,,9667,4343,10500,0.541552314035095,6.96223316912972,122554,,112887,13.915960170697,11322,,4343,7.095,,,,,,
