Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
7/31/1988 00:00:00,,,102.485001,8.87,,16.594,41.006001,6.392,2,,,85.686996,38.737,44.681,,732,23.723,6.392,,,,,,,
7/31/1989 00:00:00,,,118.132004,11.081,17.116887,22.226,68.772998,0.652,4,11.185868,23.3884,112.438004,34.549,43.665,2.207005,755,29.697006,0.652,,,,,,,
7/31/1990 00:00:00,,,126.234001,7.155,4.872341,19.158,71.233001,0,0,6.526915,10.510736,106.807999,35.560001,35.575001,2.192614,609,26.073997,0,,,,,,,
7/31/1991 00:00:00,,,108.242996,6.077,0.836722,9.371,96.673002,2.975,0,4.877736,6.532687,142.365005,45.487999,45.691999,1.948491,589,17.153,2.975,,,,,,,
7/31/1992 00:00:00,,,129.957001,8.687,3.15006,11.913,99.485999,2.006,0,5.92488,8.694371,150.873001,51.165001,51.387001,1.878238,634,20.603004,2.006,,,,,,,
7/31/1993 00:00:00,,,147.164993,11.2,3.499749,15.724,137.306001,0,0,6.286413,9.453285,205.451004,63.108002,68.145002,1.810985,648,26.23999,0,,,,,,,
7/31/1994 00:00:00,,,201.283997,18.858999,8.260608,28.092001,147.598,0.429,5,8.264875,13.851261,250.914001,89.744003,103.316003,1.86368,731,40.854996,0.429,,,,,,,
7/31/1995 00:00:00,,,267.065002,22.875999,9.938967,36.922998,161.793999,3.518,24,8.404192,15.574464,293.480988,97.524002,131.687002,2.021038,875,51.697998,3.518,,,,,,,
7/31/1996 00:00:00,,,305.634003,21.607,7.810863,37.204998,174.228995,0,36,6.95254,13.315631,328.075989,107.688004,153.847004,2.099869,940,52.619995,0,,,,,,,
7/31/1997 00:00:00,,,397.997986,34.235001,13.067043,53.214999,213.446006,0,36,9.486665,18.601882,393.674011,143.533997,180.227997,2.076064,1100,71.860993,0,,,,,,,
7/31/1998 00:00:00,,,444.872986,42.048,13.61725,67.076001,254.636,0,36,9.886261,18.758118,456.960999,165.591995,202.324995,1.987186,1530,87.556976,0,,,,,,,
7/31/1999 00:00:00,,,504.406006,47.223,13.128816,76.463999,288.932,0,55,9.52043,17.998709,535.073975,190.591995,246.141995,1.969789,1527,98.88501,0,,,,,,,
7/31/2000 00:00:00,,,634.301025,61.953999,15.902074,98.977001,335.870993,0,55,11.13944,20.533739,577.262024,167.751007,241.391006,1.901657,1694,124.969025,0,,,,,,,
7/31/2001 00:00:00,,,695.719971,70.672997,15.477208,110.920001,390.889989,8.98,55,11.141001,20.02472,691.439026,230.212006,300.549006,1.847046,1806,140.280945,8.98,,,,,,,
7/31/2002 00:00:00,,,772.963989,87.901001,16.449329,136.838007,460.314984,30,97.262001,11.363171,21.200058,855.682007,297.643005,395.367006,1.9069,1842,171.120972,30,,,,,,,
7/31/2003 00:00:00,,,954.197021,118.564003,18.607389,176.392993,557.046986,0,130,12.804676,23.391631,996.203979,269.359985,439.156986,1.856555,1880,214.718018,0,,,,,,,
7/31/2004 00:00:00,,,1092.571045,143.835007,18.190997,216.859993,674.985025,15,160,13.143065,23.038424,1192.555054,336.817993,517.569994,1.776361,2020,262.973022,15,,,,,,,
7/31/2005 00:00:00,,,1178.063,152.763,15.934841,232.717,796.118,2,236,11.871463,20.790981,1381.062,327.471,584.944,1.773398,2286,280.402,2,,,,,,,
7/31/2006 00:00:00,,,1240.192993,155.742004,13.868969,241.329004,903.50001,17.024,159,10.833228,18.543474,1494.203003,396.028992,590.702991,1.711722,2446,292.271973,17.024,,,,,,,
