Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/2004 00:00:00,,,1421.900024,115.800003,,218.699997,52.2,4,382.600006,,,996.799988,411.100006,944.600006,,,,4,,,,,,,
12/31/2005 00:00:00,,,1647.199951,151.100006,,264.400005,204.299994,18.799999,454.299988,12.978313,123.649762,1331.699951,497.200012,1127.399994,9.527414,,,18.799999,,,,,,,
12/31/2006 00:00:00,,,1846.199951,154,,289.800007,228.100005,62.599998,449.799988,11.193081,73.719483,1420,564.200012,1191.899994,6.586166,,,62.599998,,,,,,,
12/31/2007 00:00:00,,,2066.9,158.4,47.004587,307.5,165.5,93.7,742.2,9.724951,84.188147,1837.6,739.6,1672.1,8.656923,33018,,93.7,,,,,,,
12/31/2008 00:00:00,,,2549.4,217.2,65.261717,429.2,283.8,103.3,978.6,10.527336,101.971831,2288.8,779.8,2005,9.686385,40053,,103.3,7.185,9.1012,14.18,14.075,True,True,True
12/31/2009 00:00:00,0,1.300559,2647.8,252.7,46.066868,478,501.2,95.6,742.7,11.018335,66.491251,2298.1,828.2,1796.9,6.034601,39067,,95.6,9.1012,14.18,14.075,21.1625,True,True,True
12/31/2010 00:00:00,0,1.338347,2929.7,290.4,24.696966,552.9,859.9,121.7,1186,10.425979,43.534967,3272.6,942.9,2412.7,4.175624,47969,,121.7,14.18,14.075,21.1625,21.245,False,True,True
12/31/2011 00:00:00,0,1.408434,3358.6,297.6,18.085663,609.4,1084.2,292.7,1002.1,8.817517,31.165567,3477.6,1119.6,2393.4,3.534506,52148,,292.7,14.075,21.1625,21.245,18.31,True,True,False
12/31/2012 00:00:00,0,1.708586,3902.3,297.6,14.29929,686.2,1167.8,177.1,1285.4,8.172905,26.933345,3805,1044.9,2637.2,3.295443,58924,,177.1,21.1625,21.245,18.31,18.39,False,False,False
12/31/2013 00:00:00,0,1.377826,3933.1,345.1,13.777016,739,982.1,146.4,1408.9,9.175629,32.857279,3717.1,1020.8,2735,3.580929,61581,,146.4,21.245,18.31,18.39,18.41,False,False,False
12/31/2014 00:00:00,0,1.432263,4171.5,294.6,8.245725,779.8,1140.7,196.4,1994.4,6.934294,28.545129,4779.8,1190.5,3639.1,4.116516,66494,,196.4,18.31,18.39,18.41,22.79,False,False,False
12/31/2015 00:00:00,0,1.52932,4634.8,255.3,4.130168,870.2,1124.9,195.8,2363.1,5.138372,23.174329,5157.2,1234.3,4032.3,4.510053,65995,,195.8,18.39,18.41,22.79,,False,True,
12/31/2016 00:00:00,0,1.743,4549.2,319.4,6.655908,812.1,1243,589.5,2492.9,5.677011,27.862346,6095.2,1811.7,4852.2,4.907925,69042,,589.5,18.41,22.79,,,True,,
12/31/2017 00:00:00,0,1.478715,4689.4,308,6.147134,810,1032.7,323.1,2240,5.372874,28.172879,5369.8,1527.2,4337.1,5.24354,73417,,323.1,22.79,,,,,,
12/31/2017 00:00:00,,1.478715,4689.4,,,,,,,,,,,,,,,,22.79,,,,,,
