Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/1990 00:00:00,,,1544.043353,84.336001,,180.475494,442.8529,132.59621,560.670619,,,1495.026379,444.941634,1052.173546,,11746,481.174778,132.59621,,,,,,,
12/31/1991 00:00:00,,,1454.936941,64.003689,8.809122,149.302146,478.97441,102.239306,569.419133,4.254273,14.020928,1513.887073,407.385318,1034.912744,3.298739,11222,435.468082,102.239306,,,,,,,
12/31/1992 00:00:00,,,1414.403126,59.23709,7.260366,133.234886,473.180593,117.638697,628.187686,3.820267,12.549004,1587.314886,437.883134,1114.134216,3.288092,10552,425.630169,117.638697,,,,,,,
12/31/1993 00:00:00,,,1812.113085,78.788516,7.964008,181.755384,739.575456,162.219202,733.935269,4.275048,13.089956,2098.656172,567.751943,1359.080643,3.064314,11751,539.56506,162.219202,,,,,,,
12/31/1994 00:00:00,,,2047.466601,117.991684,10.964492,223.124722,770.668792,396.283983,514.892741,5.431985,15.825332,2245.674079,903.758939,1475.005195,2.914866,13691,633.247612,396.283983,,,,,,,
12/31/1995 00:00:00,,,2425.917057,160.244758,14.614742,295.332197,881.052229,214.879048,574.870118,7.104061,19.718803,2265.682529,748.798815,1384.630329,2.776787,15331,759.64111,214.879048,,,,,,,
12/31/1996 00:00:00,,,3202.045698,195.731396,15.284633,374.066095,1069.598157,117.749161,1203.288866,7.218909,20.338947,3157.058965,777.852986,2087.460832,2.81835,19184,967.617759,117.749161,,,,,,,
12/31/1997 00:00:00,,,4079.640546,243.54466,15.771435,462.147849,1323.273994,131.741671,1512.120879,6.781432,20.596753,4025.632349,1014.937202,2702.358117,3.03802,22708,1236.187978,131.741671,,,,,,,
12/31/1998 00:00:00,,,5034.299805,305.700012,16.543339,590.399994,1839.299976,188.899994,1854.800049,6.513788,21.153323,5273.899902,1157.699951,3434.600006,3.248532,27303,1620.899902,188.899994,,,,,,,
12/31/1999 00:00:00,,,6347.5,454.100006,19.326363,909.200012,2238.700061,260,2381.5,7.623925,24.192044,6638.600098,1396.900024,4399.900024,3.173874,36665,2050.399902,260,,,,,,,
