Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/1990 00:00:00,,,5752,149,,,8419,57816,22373,,,215599,,207180,,44183,,57816,,,,,,,
12/31/1991 00:00:00,,,22241,980,8.232243,,9233,52842,25037,0.449762,12.644346,220187,,210954,28.113412,44353,,52842,,,,,,,
12/31/1992 00:00:00,,,20796,1028,7.642389,,10472,73211,27773,0.438174,11.889891,249033,,238561,27.135091,45416,,73211,,,,,,,
12/31/1993 00:00:00,,,28328,1709,9.387503,,14925,112823,35006,0.574933,14.598727,345471,,330546,25.392047,51323,,112823,,,,,,,
12/31/1994 00:00:00,,,26501,1331,4.407836,,16967,115868,36794,0.361484,8.808736,390938,,373971,24.368266,34985,,115868,,,,,,,
12/31/1995 00:00:00,,,28067,1401,4.070512,,16620,118294,34229,0.34936,8.821029,411099,,394479,25.249079,33527,,118294,,,,,,,
12/31/1996 00:00:00,,,34602,-2589,,,12143,127735,30869,-0.556739,-18.964254,518959,,506816,34.063068,,,127735,,,,,,,
12/31/1997 00:00:00,,,42730,397,-1.511292,,20808,198702,45300,0.065892,2.597403,686051,,665243,39.419346,62412,,198702,,,,,,,
12/31/1998 00:00:00,,,43366,3068,5.516126,,23770,168417,50769,0.459367,15.168595,649699,,625929,33.020617,62296,,168417,,,,,,,
12/31/1999 00:00:00,,,47328,4250,10.469283,,24956,220963,50400,0.618194,18.785776,725273,,700317,30.388136,63963,,220963,,,,,,,
12/31/2000 00:00:00,,,71558,5785,21.051674,,33729,398371,52157,0.678834,21.051674,979121,,945392,31.011536,80538,,398371,,,,,,,
12/31/2001 00:00:00,,,74290,-563,,,31235,371934,66706,-0.056435,-2.223647,1016078,,984843,33.661746,79699,,371934,,,,,,,
12/31/2002 00:00:00,,,52487,-3309,,,27299,321440,71521,-0.336308,-12.597316,951761,,924462,37.457676,78457,,321440,,,,,,,
12/31/2003 00:00:00,,,67990,770,,,34734,11497,89697,0.078729,2.636445,1004308,,969574,33.487451,60477,,11497,,,,,,,
12/31/2004 00:00:00,,,73021,5628,10.932487,,42451,15343,106261,0.537589,16.019583,1089485,,1047034,29.798944,60532,,15343,,,,,,,
12/31/2005 00:00:00,,,59366,5850,6.868354,,49965,19472,132975,0.481772,14.925183,1339052,,1289087,30.979794,63523,,19472,,,,,,,
12/31/2006 00:00:00,,,82160,11327,18.049928,,58904,21556,147832,0.872984,26.432839,1255956,,1197052,30.278727,44871,,21556,,,,,,,
12/31/2007 00:00:00,,,93174,7760,11.446311,,59839,110254,163223,0.593128,17.883275,1360680,,1300841,30.150786,48100,,110254,,,,,,,
12/31/2008 00:00:00,,2.86,48753,-8218,,,47221,129163,180168,-0.64938,-22.40765,1170350,,1123129,33.523132,47800,,129163,,,,,,,
12/31/2009 00:00:00,,19.2,51571,6724,10.789625,,48328,179770,196881,0.610779,17.771667,1031427,,983099,31.535499,47600,,179770,,,,,,,
12/31/2010 00:00:00,,12.76,50169,5098,8.913016,,43015,197016,215899,0.494128,13.192277,1032005,,988990,29.144931,50100,,197016,,,,,,,
12/31/2011 00:00:00,,5.82,42653,1953,2.164929,,41085,201936,192846,0.187683,4.898739,1049165,,1008080,31.082651,49700,,201936,,,,,,,
12/31/2012 00:00:00,,7.77,38408,1349,2.658286,,42284,165634,178179,0.136715,3.018562,924280,,881996,28.529535,47400,,165634,,,,,,,
12/31/2013 00:00:00,,9.79,37046,2326,1.701281,,47166,156616,152842,0.258864,4.810589,872806,,825640,23.139837,46030,,156616,,,,,,,
12/31/2014 00:00:00,,9.7,36017,1875,1.28354,,45001,144691,204752,0.208999,4.045377,921462,,876461,20.833784,45840,,144691,,,,,,,
12/31/2015 00:00:00,,4.57,33596,-2944,,,45018,92649,226119,-0.33795,-6.696777,820805,,775787,19.722066,48210,,92649,20.9291,14.0975,17.4,,False,False,
12/31/2016 00:00:00,,11.9,29927,-2710,,,42311,102602,225879,-0.330354,-6.2889,819861,,777550,19.015821,47170,,102602,14.0975,17.4,,,True,,
12/31/2017 00:00:00,,9.7,31167,-983,,,42189,109070,173032,-0.121647,-2.34609,796289,,754100,19.28603,46840,,109070,17.4,,,,,,
12/31/2017 00:00:00,,9.7,31167,-983,,,42189,109070,173032,-0.121647124338706,-2.34609004880727,796289,,754100,18.4815648320896,46840,,109070,17.4,,,,,,
