Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
3/31/1994 00:00:00,0.052723,,228.516653,12.699471,,22.149303,97.376402,13.214693,25.653018,,,193.287952,65.442911,95.911543,,1551,58.020891,13.214693,,,,,,,
3/31/1995 00:00:00,0.072987,,276.336039,15.739624,13.110486,26.345474,116.212546,17.13814,28.409476,7.325829,18.224489,236.658866,85.664572,120.446333,2.487703,1720,65.332569,17.13814,,,,,,,
3/31/1996 00:00:00,0.025643,,352.053969,18.989969,14.237764,29.156791,91.666478,24.998824,65.663413,7.513586,20.724008,265.306522,97.374368,173.640061,2.758205,2081,75.928103,24.998824,,,,,,,
3/31/1997 00:00:00,0,,420.236288,27.03755,21.831732,35.205996,96.724547,10.357454,90.971047,9.500592,29.365048,294.202818,98.756495,197.478273,3.090865,2170,88.096961,10.357454,,,,,,,
3/31/1998 00:00:00,,,449.069012,26.304807,19.669167,38.464961,101.637397,11.111213,168.934577,7.620824,27.092966,379.995874,104.312768,278.358406,3.555123,2294,95.304759,11.111213,,,,,,,
3/31/1999 00:00:00,,,531.76683,32.957229,20.344179,47.391946,134.077751,28.59822,193.372669,7.283904,27.468095,485.923419,150.365561,351.845656,3.771068,2664,110.149354,28.59822,,,,,,,
3/31/2000 00:00:00,,,771.407862,76.798067,39.381099,52.587396,200.465888,115.326383,162.564968,13.062516,45.524426,666.856954,292.004293,466.391085,3.485119,2933,134.059099,115.326383,,,,,,,
3/31/2001 00:00:00,,,1051.143365,41.791556,14.584246,60.521703,222.154307,124.396615,105.862464,6.15698,19.881555,683.672602,346.833663,461.518309,3.229109,3056,159.363049,124.396615,,,,,,,
3/31/2002 00:00:00,,,1165.89963,47.096424,14.591693,67.239863,242.39507,66.499826,81.168358,7.02884,20.417213,652.963566,316.093468,410.568516,2.904777,3361,180.854472,66.499826,,,,,,,
3/31/2003 00:00:00,,,1355.801267,51.898399,13.671513,76.451061,299.76599,150.79501,79.745947,7.251564,19.634875,801.182081,412.664621,501.416058,2.707675,3685,214.594586,150.79501,,,,,,,
3/31/2004 00:00:00,,,1441.602414,58.601136,12.816104,98.555981,317.198851,96.021782,76.270553,7.276946,18.712554,773.064509,373.660699,455.865641,2.571484,3768,232.849336,96.021782,,,,,,,
3/31/2005 00:00:00,,,1803.577092,59.848092,12.632655,99.419029,338.016098,31.282107,217.445424,6.840474,18.310131,967.400164,379.544051,629.384067,2.676734,4441,263.593476,31.282107,,,,,,,
3/31/2006 00:00:00,,,2343.962993,84.421881,17.25612,110.899728,408.614054,46.871715,204.370895,8.192569,23.164633,1125.633116,457.315239,717.019062,2.827517,,302.896685,46.871715,,,,,,,
3/31/2007 00:00:00,,,2742.648161,95.024632,15.933908,128.003913,467.091879,85.561631,182.413258,8.086412,22.205872,1259.575095,539.36605,792.483216,2.746072,,340.08591,85.561631,,,,,,,
3/31/2008 00:00:00,,0.794015487404,3907.736,116.195195,16.717984,150.546352,590.816214,173.119134,284.98456,7.902014,23.15832,1837.231643,881.367268,1246.415428,2.930686,6638,417.982988,173.119134,,,,,,,
3/31/2009 00:00:00,0,1.511404146493,5343.355285,97.108561,8.911979,171.957476,671.886838,94.049965,486.08873,5.146854,15.919097,2045.63971,808.971067,1373.752872,3.092977,7182,554.952459,94.049965,,,,,,,
3/31/2010 00:00:00,0,1.438075503752,5957.134627,115.868318,9.638591,203.761458,745.580907,51.820228,707.039785,5.075845,16.809192,2621.650604,1052.365135,1876.069697,3.311605,7396,593.850488,51.820228,,,,,,,
3/31/2011 00:00:00,0,1.224542999857,7378.370209,123.340697,9.450371,229.390967,823.163101,35.812437,673.32186,4.791659,16.45864,2750.628679,1115.265629,1927.465578,3.434852,7925,641.548591,35.812437,,,,,,,
3/31/2012 00:00:00,0,1.33073323926,9226.321305,88.400701,3.85046,188.235116,845.373524,59.193213,707.297991,2.969318,10.554349,3155.794701,1463.545291,2310.421177,3.554469,8355,652.6167,59.193213,,,,,,,
3/31/2013 00:00:00,0,2.036305355396,10572.686,106.295,5.362498,217.279,892.342,154.06,672.715,3.249459,12.266387,3386.526,1680.511,2494.184,3.774902,9153,740.994,154.06,,,,,,,
3/31/2014 00:00:00,0,2.532440771079,11044.763,121.234,6.13925,248.297,946.255,316.726,725.831,3.419806,13.239713,3703.584,1879.882,2757.329,3.871481,9341,761.374,316.726,,,,,,,
3/31/2015 00:00:00,0,3.472006817637,10606.08,144.427,6.726329,262.91,986.993,149.472,1314.386,3.790035,15.011906,3917.823,1505.152,2930.83,3.960889,9756,824.17,149.472,,,,,,,
3/31/2016 00:00:00,0,3.513930341271,10447.63,178.031,7.481684,345.91,1350.476,192.804,1260.421,4.085482,15.46488,4797.476,1756.813,3447,3.785325,10502,1009.987,192.804,6150,7025,6560,,True,False,
3/31/2017 00:00:00,0,4.667640640424,12269.802,216.197,7.822744,400.096,1507.721,148.445,1319.967,4.226787,15.454913,5432.375,2126.327,3924.654,3.656421,10848,1262.997,148.445,7025,6560,,,False,,
9/30/2017 00:00:00,0,4.66764064042418,13122.73,239.31,6.14271277680761,397.411,1568.502,118.359,1680.507,4.42444621624432,16.468922830871,5764.677,2026.888,4196.175,3.71470088453063,,1303.93196972656,118.359,7245,,,,,,
