Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/1998 00:00:00,,,333.511016,56.277001,,85.549999,332.333005,3.454,18.208001,,,449.904004,80.510999,117.571,,930,,3.454,,,,,,,
12/31/1999 00:00:00,,,366.002014,53.301998,7.943896,86.421003,373.855005,14.589,17.118,10.576263,15.227849,558.052002,134.475006,184.197006,1.439814,905,,14.589,,,,,,,
12/31/2000 00:00:00,,,434.041992,52.831001,7.122858,84.780998,403.688986,13.101,15.241,9.128483,13.766516,599.445984,130.651993,195.756991,1.508084,932,,13.101,,,,,,,
12/31/2001 00:00:00,,,494.270996,63.405998,9.706494,112.438,401.633998,114.071999,14.664,9.596522,15.890372,721.991028,255.972,320.357001,1.655847,1140,195.023996,114.071999,,,,,,,
12/31/2002 00:00:00,,,782.63,86.669,14.628389,153.116,457.889998,122.130997,181.024994,9.850547,20.459066,1037.687988,353.601013,579.79799,2.076947,1346,296.043,122.130997,,,,,,,
12/31/2003 00:00:00,,,851.991028,79.821999,11.428045,167.055,521.878991,30.113001,398.041992,7.088062,16.541414,1214.605957,241.307999,692.72699,2.3337,1545,550.791028,30.113001,,,,,,,
12/31/2004 00:00:00,,,751.129,96.921,12.051807,182.266,629.164,62.568,405.165,7.584494,16.973861,1341.161,252.279,711.997,2.237969,1545,434.565,62.568,,,,,,,
12/31/2005 00:00:00,,,809.944,118.013,13.634698,196.552,695.78,120.129,423.384,8.022477,17.903041,1600.898,340.043,905.118,2.23161,1536,464.871,120.129,,,,,,,
12/31/2006 00:00:00,,,932.358,117.059,11.824341,209.741,797.783,230.876,392.841,7.037001,15.718388,1726.059,455.808,928.276,2.233677,1605,522.155,230.876,,,,,,,
12/31/2007 00:00:00,,,957.51,125.15,11.159368,220.116,878.554,135.263,303.354,7.288065,14.965495,1708.323,386.125,829.769,2.053425,1589,516.154,135.263,,,,,,,
12/31/2008 00:00:00,,,942.329,126.547,10.36859,214.688,954.997,132.174,329.173,7.20262,13.834151,1805.593,384.999,850.596,1.920711,1646,514.118,132.174,,,,,,,
12/31/2009 00:00:00,0,,1008.4,137.1,10.268684,261,1046,38.1,814.3,6.585658,13.734991,2358,339.9,1312,2.085591,2176,572.8,38.1,,,,,,,
12/31/2010 00:00:00,0,,1163,156.2,10.59516,295.3,1253,60.1,851.8,6.236649,13.621103,2651.1,374.2,1398.1,2.184042,2207,666.8,60.1,,,,,,,
12/31/2011 00:00:00,0,,1274.2,159.2,9.090213,325.8,1367.5,243.7,797.1,5.734767,12.181498,2901,548.4,1533.5,2.124149,2278,734.6,243.7,,,,,,,
12/31/2012 00:00:00,0,,1340.8,156.7,8.321696,320.2,1433.1,148.5,1182.1,4.971604,11.222115,3402.8,519.2,1969.7,2.257242,2450,769.5,148.5,,,,,,,
12/31/2013 00:00:00,0,,1524.1,149.8,7.800035,328.8,1396.1,163.8,1133.1,4.468107,10.62223,3302.5,485,1906.4,2.377344,3996,810.4,163.8,3.0325,2.58,4,4.645,False,True,True
12/31/2014 00:00:00,0,,1560,128.9,5.582524,294.4,1579.9,144,1101.2,3.779948,8.690669,3517.7,511.5,1937.8,2.29915,4229,831.7,144,2.58,4,4.645,6.445,True,True,True
12/31/2015 00:00:00,0,,1656.8,175.4,7.426012,357.2,1745.8,474.2,1285.6,4.531304,10.56531,4224,858.9,2478.2,2.331627,4196,917,474.2,4,4.645,6.445,,True,True,
12/31/2016 00:00:00,0,2.00487951,1726.5,166.3,6.26245,372.1,1900,114.4,1305.4,3.790789,9.123577,4549.9,585.4,2649.9,2.406775,4172,984.6,114.4,4.645,6.445,,,True,,
12/31/2017 00:00:00,0,,1816,356.4,15.550547,451.4,1942.6,26.6,1319.5,7.947374,18.54994,4419.1,465.1,2476.5,2.334097,4020,1075,26.6,6.445,,,,,,
12/31/2017 00:00:00,0,2.00487951,1816,,,,1942.6,26.6,1319.5,,,4419.1,465.1,2476.5,,4020,1075.00000915527,26.6,6.445,,,,,,
