Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/1988 00:00:00,,,6056.445565,39.594445,,,1163.795911,108.508408,1082.086853,,,5307.300601,1573.656673,4143.504787,,49056,,108.508408,,,,,,,
12/31/1989 00:00:00,,,6675.04483,54.624379,2.756054,,1667.87908,117.284737,1101.985919,0.944041,3.914805,6265.159505,1773.034418,4597.28045,4.146859,51942,,117.284737,,,,,,,
12/31/1990 00:00:00,,,7386.677747,5.670738,,450.951762,1607.544683,200.938739,1937.43835,0.082872,0.351882,7420.405036,2029.077684,5812.860546,4.246105,57567,,200.938739,,,,,,,
12/31/1991 00:00:00,,,8232.096376,-222.962628,,461.688892,1373.717603,154.839117,2504.980452,-2.865225,-15.195921,8142.955333,2327.873488,6769.237502,5.30357,61791,,154.839117,,,,,,,
12/31/1992 00:00:00,,,8814.163736,-201.258297,,191.070282,1166.183719,248.509839,2674.345389,-2.402209,-16.009389,8613.148134,2898.947324,7446.964752,6.664445,63645,,248.509839,,,,,,,
12/31/1993 00:00:00,,,9065.562558,-51.591907,,703.743687,1092.381258,151.931409,2936.594185,-0.589465,-4.590897,8891.5206,2895.970447,7799.139379,7.788249,58854,,151.931409,,,,,,,
12/31/1994 00:00:00,,,9630.535094,149.458802,7.35323,1090.633142,1866.148855,307.656096,1888.852764,1.646222,10.147009,9266.271585,2990.430124,7400.122127,6.163815,58044,,307.656096,,,,,,,
12/31/1995 00:00:00,,,10174.897174,749.541602,23.093465,962.246202,2527.329015,476.320534,1227.93798,8.023396,34.232655,9417.627962,3562.156805,6890.299835,4.266604,57586,,476.320534,,,,,,,
12/31/1996 00:00:00,,,10666.934722,283.248025,7.077299,944.429737,2737.071229,78.444958,1187.683481,2.985535,10.795373,9557.06285,3258.716308,6819.993207,3.615892,57999,,78.444958,,,,,,,
12/31/1997 00:00:00,,,11048.907705,550.47424,13.832704,1782.40338,2693.376679,632.562676,2410.457862,5.189038,20.31106,11659.750711,3543.710353,8966.372683,3.914225,58250,,632.562676,,,,,,,
12/31/1998 00:00:00,,,11582.678454,731.50271,17.24531,2020.425104,3313.677545,152.593523,2251.167972,6.108234,24.406866,12291.615604,3531.115796,8977.936167,3.995732,54867,,152.593523,,,,,,,
12/31/1999 00:00:00,,,12794.772752,630.371773,11.886059,2025.533904,3733.044281,557.51268,1762.780994,5.007177,18.022779,12887.111866,4088.596707,9154.067608,3.599389,66207,,557.51268,,,,,,,
12/31/2000 00:00:00,,,15200.4,689,11.787274,2222.8,4164.8,548.9,1859.5,4.975176,17.655287,14810.4,1612.9,10645.6,3.548676,69523,,548.9,,,,,,,
12/31/2001 00:00:00,,,16690,-633.2,,1325.8,3528.2,1143.6,3905.1,-3.835681,-16.637763,18205.9,4394,14677.7,4.337629,90008,,1143.6,,,,,,,
12/31/2002 00:00:00,11,,16971.4,716.8,12.798657,2843.1,4172,1685.3,3028.1,3.839027,18.805504,19136.9,4141,14964.9,4.898509,94135,,1685.3,,,,,,,
12/31/2003 00:00:00,4,,15957,-984,,1674,2696,294,3018,-5.486647,-29.034257,16732,5499,14036,5.291803,93426,,294,,,,,,,
12/31/2004 00:00:00,2,,16965,404,8.057945,1694,4014,284,3085,2.321706,12.192546,18070,5629,14056,5.251547,90673,,284,,,,,,,
12/31/2005 00:00:00,1,,18065,71,-3.804479,2348,4522,91,2363,0.38086,1.709608,19214,5752,12740,4.488803,92303,,91,,,,,,,
12/31/2006 00:00:00,1,,19849,803,9.949578,2213,4903,226,2782,4.152553,17.934115,19461,6688,14558,4.318816,94510,,226,,,,,,,
12/31/2007 00:00:00,3,2.605996,22420,1655,14.521658,2908,6900,247,3153,7.922261,28.862923,22320,8271,15420,3.643268,105261,,247,,,,,,,
12/31/2008 00:00:00,6,3.125638,24842,542,3.311902,2546,6594,420,3212,2.423538,8.104067,22408,8059,15814,3.3439,107800,,420,,,,,,,
12/31/2009 00:00:00,7,2.503685,22283,-34,,2776,6202,693,6196,-0.139344,-0.538614,26392,8776,20190,3.865347,117521,,693,,,,,,,
12/31/2010 00:00:00,8,3.491689,26459,1131,12.398942,3117,8340,957,6337,4.060167,15.77846,29320,9826,20980,3.886161,117066,,957,,,,,,,
12/31/2011 00:00:00,13,2.25989,28734,-13,-0.092985,2784,8044,616,5936,-0.045295,-0.160583,28081,9783,20037,3.545241,120055,,616,,,,,,,
12/31/2012 00:00:00,10,2.587794,30135,1228,19.29604,3504,4839,963,6145,4.336158,19.29604,28559,9742,23720,4.450031,116957,,963,,,,,,,
12/31/2013 00:00:00,10,1.967441,30027,313,1.956622,2422,6108,1514,4971,1.085543,5.777573,29108,10956,23000,5.322289,118285,,1514,,,,,,,
12/31/2014 00:00:00,10,3.912,30011,55,1.097366,2523,4031,594,5500,0.18462,1.097366,30474,10974,26443,5.943935,118781,,594,13.83,14.565,12.27,30.72,False,False,True
12/31/2015 00:00:00,15,4.457,32056,1698,30.115037,3429,5845,1339,5152,5.395958,34.880855,32462,12437,26617,6.464256,120652,,1339,14.565,12.27,30.72,,False,True,
12/31/2016 00:00:00,24,5.131,31660,1776,24.04116,4034,7149,764,5935,5.288941,27.689429,34697,11009,27548,5.235345,124306,,764,12.27,30.72,,,True,,
12/31/2017 00:00:00,30,5.22,35579,2364,24.004832,5035,9598,672,6385,6.662533,28.559348,36267,12639,26669,4.28656,129424,,672,30.72,,,,,,
12/31/2017 00:00:00,,5.22,35579,2364,,5041,9598,672,6385,6.66253311538245,28.5593476291151,36267,12639,26669,4.16291884671045,,,672,30.72,,,,,,
