Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/1988 00:00:00,,,651.794006,65.010002,,129.962997,837.235967,4.023,442.243011,,,1541.572021,178.822006,704.336021,,2387,,4.023,,,,,,,
12/31/1989 00:00:00,,,740.471008,142.171005,15.235331,144.031998,1038.946025,31.24,402.674011,8.615166,15.235331,1758.910034,219.332993,719.964005,1.768432,2584,,31.24,,,,,,,
12/31/1990 00:00:00,,,741.421021,51.358002,4.923442,132.360996,1059.298982,58.924,352.152008,2.916973,4.923442,1762.411987,253.934998,703.113007,1.68786,2576,,58.924,,,,,,,
12/31/1991 00:00:00,,,758.794983,98.728996,9.047986,168.782997,1133.975967,12.311,343.753998,5.581678,9.047986,1775.197998,188.880997,641.221992,1.621015,2505,,12.311,,,,,,,
12/31/1992 00:00:00,44.77,,844.848999,176.25,18.190845,154.350998,813.438019,113.671997,152.699005,11.145925,18.190845,1387.392944,386.686005,573.955009,1.632062,2689,,113.671997,,,,,,,
12/31/1993 00:00:00,44.849998,,830.455017,201.628998,22.998434,167.987999,947.936989,64.003998,90.922997,14.476771,22.998434,1398.159058,324.485992,450.221989,1.588644,2644,,64.003998,,,,,,,
12/31/1994 00:00:00,47.110001,,856.526978,143.949997,9.068636,173.630997,850.665987,333.346008,48.046001,9.56967,16.074549,1610.303955,643.247986,759.637989,1.679739,2666,,333.346008,,,,,,,
12/31/1995 00:00:00,48.029999,,923.698975,204.151001,12.237164,176.786999,955.746984,118.439003,83.912003,13.282243,22.7023,1463.73999,368.636993,507.992996,1.709222,2662,,118.439003,,,,,,,
12/31/1996 00:00:00,50.099998,,945.237976,229.095001,14.186445,194.452999,955.378989,46.412998,74.206001,15.912326,24.076716,1415.725952,342.476013,460.347015,1.513086,2658,,46.412998,,,,,,,
12/31/1997 00:00:00,52.320999,,1025.909058,300.108002,32.125493,228.457996,929.144003,179.832993,52.537998,19.943905,32.125493,1593.795044,545.356018,664.65102,1.610793,2565,,179.832993,,,,,,,
12/31/1998 00:00:00,54.252998,,1063.776978,160.597,19.823951,235.459,722.981005,628.893982,54.84,9.160477,19.823951,1912.506958,895.794983,1189.52599,2.164074,2633,,628.893982,,,,,,,
12/31/1999 00:00:00,55.419998,,1086.656006,209.528,25.805069,259.148003,943.366976,200.567001,512.612976,10.28075,25.805069,2163.615967,461.640991,1220.248962,2.510038,2713,,200.567001,,,,,,,
12/31/2000 00:00:00,59.174999,,1160.291016,252.738007,24.175843,280.778996,1197.500025,211.399994,680,10.572344,24.175843,2617.5,488.700012,1420.000015,2.286706,2751,,211.399994,,,,,,,
12/31/2001 00:00:00,63.852001,,1251.991943,176.287994,13.522648,246.092003,1469.89995,13.3,676.5,6.631981,13.522648,2698.800049,268.899994,1228.899994,2.039006,2731,,13.3,,,,,,,
12/31/2002 00:00:00,64.708,,1220.906006,160.947998,-2.740125,181.270996,1319.800024,127.900002,1036.699951,5.487768,11.807064,3166.899902,440,1847.099945,2.151524,2702,,127.900002,,,,,,,
12/31/2003 00:00:00,41.470001,,1220.707031,106.876999,-7.459013,208.794003,1476.200024,59,992.900024,3.401289,7.829243,3117.600098,360.700012,1641.400024,2.301846,2637,,59,,,,,,,
12/31/2004 00:00:00,38.618999,,1149.035034,183.425995,6.396023,245.272003,1118.199975,48.599998,874.900024,6.424616,14.545497,2592.5,313.100006,1474.300018,2.264026,2078,,48.599998,,,,,,,
12/31/2005 00:00:00,46.110001,,1253.329956,177.134003,5.927915,275.629997,1082.850953,15.624,752.857971,7.167192,16.693597,2350.412109,314.984985,1267.560959,2.329168,2055,,15.624,,,,,,,
12/31/2006 00:00:00,50.005001,,1395.946045,297.44101,16.458584,303.563,1102.713032,15.689,686.901978,12.713827,28.379555,2328.604004,339.044006,1225.890991,2.23218,2061,,15.689,,,,,,,
12/31/2007 00:00:00,53.431999,,1552.392944,283.334991,9.431865,327.035999,1276.652035,298.617004,202.766998,12.303752,24.483758,2277.063965,614.179993,1000.411987,1.989942,2231,,298.617004,,,,,,,
12/31/2008 00:00:00,48.154999,1.111,1503.947021,211.802994,9.004308,283.229008,975.301986,16.507,315.141998,10.706608,19.084084,1679.427002,221.195999,704.125,1.782458,2165,,16.507,,,,,,,
12/31/2009 00:00:00,39.149,0.715,1197.732,216.138,10.612862,279.597,1021.724,164.355,150,12.748808,21.999395,1711.29,417.019,689.566,1.725604,2106,,164.355,,,,,,,
12/31/2010 00:00:00,35.953,1.23,1595.603,225.879,-6.323745,335.078,1110.364,111.961,50.058,13.364787,21.495039,1668.921,391.255,558.557,1.608334,2256,,111.961,,,,,,,
12/31/2011 00:00:00,35.916,1.093,1657.676,237.131,6.866228,345.992,1056.502,62.705,100.061,14.357484,22.180142,1634.318,363.046,577.816,1.544849,2242,,62.705,,,,,,,
12/31/2012 00:00:00,35.887,1.219,1755.363,267.89,3.1411,373.963,1138.167,19.042,100.053,16.258894,24.749299,1660.986,304.164,522.819,1.522201,2371,,19.042,,,,,,,
12/31/2013 00:00:00,39.962,1.219,1885.187,317.618,5.262426,424.021,1199.312,100,0.042,18.689799,27.519372,1737.852,415.286,538.54,1.472427,2670,,100,,,,,,,
12/31/2014 00:00:00,44.079,1.219,1971.887,342.871,5.108962,478.282,1268.211,11.597,0.041,19.136213,28.161415,1845.626,388.19,577.415,1.471629,2726,,11.597,,,,,,,
