Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/1988 00:00:00,,,314.403595,7.741982,,,96.97213,32.496178,12.087452,,,228.240693,100.31751,131.268564,,2562,,32.496178,,,,,,,
12/31/1989 00:00:00,,,344.490582,6.366606,2.015797,,165.659592,5.313856,24.08236,2.43365,4.848504,294.974004,80.845985,129.314411,1.992277,2812,,5.313856,,,,,,,
12/31/1990 00:00:00,,,526.828988,6.36814,1.320232,,153.76592,54.233241,28.294382,1.879555,4.055114,382.648297,168.650644,228.882363,2.157487,4862,,54.233241,,,,,,,
12/31/1991 00:00:00,,,627.671637,7.7926,1.93168,,152.233067,71.809414,28.056631,1.962548,5.219065,411.482582,197.946649,259.249524,2.659331,5684,,71.809414,,,,,,,
12/31/1992 00:00:00,,,793.421705,11.709607,3.286985,,219.571737,78.556928,30.47453,2.477763,6.378455,533.693106,239.201778,314.121378,2.57428,7001,,78.556928,,,,,,,
12/31/1993 00:00:00,,,894.35941,21.915503,2.869054,,237.913831,108.216975,38.500791,3.771508,9.711463,628.468222,303.706348,390.554387,2.574955,7352,,108.216975,,,,,,,
12/31/1994 00:00:00,,,1045.491162,35.308283,8.818816,,294.563438,111.098609,25.185726,5.119044,13.576499,751.019243,373.25075,456.455833,2.652155,8285,,111.098609,,,,,,,
12/31/1995 00:00:00,,,1143.472586,44.514092,9.98299,,329.32873,118.426445,8.141301,5.663744,14.8231,820.877056,412.141638,491.548333,2.617191,9064,,118.426445,,,,,,,
12/31/1996 00:00:00,,,1858.547985,59.353829,11.691634,249.626496,1069.691146,274.088742,1143.28235,2.588443,16.674974,3765.187116,1432.204204,2695.495963,6.442086,32521,,274.088742,,,,,,,
12/31/1997 00:00:00,62.888901,,3811.666744,59.10483,8.582774,647.958166,1003.141857,175.977981,1910.366968,1.421858,13.907918,4548.556431,1483.422894,3545.414493,9.781507,35543,,175.977981,,,,,,,
12/31/1998 00:00:00,78.227658,,4317.348645,102.769668,16.86403,774.6072,1020.538595,544.014562,1847.808859,2.161848,22.714816,4959.019956,1929.61556,3938.481361,10.50713,39923,,544.014562,,,,,,,
12/31/1999 00:00:00,106,,4952,107,13.017382,933,1053,308,2285,2.005075,18.496548,5714,2119,4661,9.224866,43783,,308,,,,,,,
12/31/2000 00:00:00,114,,6099,122,11.194927,1141,1786,489,2389,2.002133,17.553957,6473,2109,4687,8.767626,49974,,489,,,,,,,
12/31/2001 00:00:00,123,,7307,18,-2.028863,960,3689,710,3028,0.220318,1.471791,9867,2502,6178,6.680294,60667,2446,710,,,,,,,
12/31/2002 00:00:00,138,,7507,134,5.183789,1178,3369,601,2677,1.426898,7.957245,8915,2245,5546,5.576603,63638,2436,601,,,,,,,
12/31/2003 00:00:00,121,,7064,115,4.072097,1106,3214,627,2393,1.332406,7.317849,8347,2127,5133,5.492205,66264,2276,627,,,,,,,
12/31/2004 00:00:00,133,,7271,168,7.142402,1164,3347,583,2152,2.032053,10.704046,8188,2056,4841,5.267601,68494,2376,583,,,,,,,
12/31/2005 00:00:00,149,,7889,222,6.579658,1293,5130,447,3055,2.244465,9.990999,11594,2497,6464,4.451395,91971,2689,447,,,,,,,
12/31/2006 00:00:00,167,,10777,330,8.027958,1843,5728,596,5276,2.479525,10.983525,15024,3058,9296,4.429689,,3426,596,,,,,,,
12/31/2007 00:00:00,184,,11358,410,9.345018,2030,6059,477,5093,2.70199,12.456327,15324,3503,9265,4.610056,114000,3678,477,,,,,,,
12/31/2008 00:00:00,479,2.819,12336,270,4.292133,2260,6943,1162,8079,1.50552,7.372014,20544,4169,13601,4.896655,122217,3928,1162,,,,,,,
12/31/2009 00:00:00,240,2.313,14164,494,9.100244,2616,7652,550,8303,2.384976,12.07824,20882,3528,13230,5.064303,130510,4636,550,,,,,,,
